,Rank,Streams,Year,Country,Title,Artist
0,1,39491,2017,hn,Reggaetón Lento (Bailemos), CNCO
1,2,37637,2017,hn,Chantaje (feat. Maluma), Shakira
2,3,36866,2017,hn,Otra vez (feat. J Balvin), Zion & Lennox
3,4,34719,2017,hn,Shape of You, Ed Sheeran
4,5,30372,2017,hn,Safari, J Balvin
5,6,29456,2017,hn,Let Me Love You, DJ Snake
6,7,29169,2017,hn,Closer, The Chainsmokers
7,8,27242,2017,hn,Starboy, The Weeknd
8,9,25066,2017,hn,Dile Que Tu Me Quieres, Ozuna
9,10,25055,2017,hn,Cuatro Ba,s (feat. Trap Capos
10,11,24568,2017,hn,Vente Pa' Ca (feat. Maluma), Ricky Martin
11,12,22815,2017,hn,24K Magic, Bruno Mars
12,13,22414,2017,hn,One Dance, Drake
13,14,22197,2017,hn,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
14,15,22081,2017,hn,Don't Wanna Know, Maroon 5
15,16,21742,2017,hn,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
16,17,20041,2017,hn,Shaky Shaky, Daddy Yankee
17,18,19262,2017,hn,In the Name of Love, Martin Garrix
18,19,19254,2017,hn,La Bicicleta, Carlos Vives
19,20,18988,2017,hn,Cold Water (feat. Justin Bieber & MØ), Major Lazer
20,21,18788,2017,hn,Sola, Anuel AA
21,22,18510,2017,hn,Castle on the Hill, Ed Sheeran
22,23,17218,2017,hn,Chillax (feat. Ky-Mani Marley), Farruko
23,24,16998,2017,hn,Traicionera, Sebastian Yatra
24,25,16972,2017,hn,Don't Let Me Down (feat. Daya), The Chainsmokers
25,26,16905,2017,hn,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
26,27,16861,2017,hn,Vacaciones, Wisin
27,28,16787,2017,hn,Side To Side, Ariana Grande
28,29,16421,2017,hn,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
29,30,15632,2017,hn,I Feel It Coming, The Weeknd
30,31,15621,2017,hn,Heathens, Twenty One Pilots
31,32,15423,2017,hn,My Way, Calvin Harris
32,33,15364,2017,hn,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
33,34,15007,2017,hn,Rocka,e (feat. Sean Paul & Anne-Marie)  
34,35,14570,2017,hn,Me Ama Me Odia, Ozuna
35,36,14390,2017,hn,Black Beatles, Rae Sremmurd
36,37,14143,2017,hn,Treat You Better, Shawn Mendes
37,38,14066,2017,hn,Andas En Mi Cabeza, Chino & Nacho
38,39,13772,2017,hn,Fake Love, Drake
39,40,13652,2017,hn,Ride, Twenty One Pilots
40,41,13092,2017,hn,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
41,42,12927,2017,hn,Middle, DJ Snake
42,43,12413,2017,hn,Bailame Despacio, Xantos
43,44,12317,2017,hn,Cheap Thrills, Sia
44,45,12211,2017,hn,Me llamas (feat. Maluma) - Remix, Piso 21
45,46,11690,2017,hn,Photograph, Ed Sheeran
46,47,11474,2017,hn,This Is What You Came For (feat. Rihanna), Calvin Harris
47,48,11365,2017,hn,Borro Cassette, Maluma
48,49,10907,2017,hn,All We Know, The Chainsmokers
49,50,10897,2017,hn,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
50,51,10609,2017,hn,Cake By The Ocean, DNCE
51,52,10426,2017,hn,Me Rehúso, Danny Ocean
52,53,10271,2017,hn,La Ocasion (feat. Arcangel Ozuna & Anuel Aa), De La Ghetto
53,54,10012,2017,hn,Te Vas, Ozuna
54,55,9622,2017,hn,Te Quiero Pa´Mi, Don Omar
55,56,9381,2017,hn,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
56,57,9196,2017,hn,Just Hold On, Steve Aoki
57,58,9183,2017,hn,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian), Arcangel
58,59,8787,2017,hn,Mercy, Shawn Mendes
59,60,8785,2017,hn,Thinking out Loud, Ed Sheeran
60,61,8716,2017,hn,Soy Peor, Bad Bunny
61,62,8684,2017,hn,Faded, Alan Walker
62,63,8631,2017,hn,Bobo, J Balvin
63,64,8606,2017,hn,Háblame De Ti, Banda MS de Sergio Lizárraga
64,65,8606,2017,hn,Stressed Out, Twenty One Pilots
65,66,8514,2017,hn,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
66,67,8492,2017,hn,Say You Won't Let Go, James Arthur
67,68,8136,2017,hn,Gyal You A Party Animal - Remix, Charly Black
68,69,7902,2017,hn,Starving, Hailee Steinfeld
69,70,7666,2017,hn,Desde Esa Noche (feat. Maluma), Thalia
70,71,7620,2017,hn,Too Good, Drake
71,72,7532,2017,hn,Me Vas a Extrañar, Banda MS de Sergio Lizárraga
72,73,7500,2017,hn,En La Intimidad, Ozuna
73,74,7447,2017,hn,Mi tesoro (feat. Nicky Jam), Zion & Lennox
74,75,7436,2017,hn,Work, Rihanna
75,76,7394,2017,hn,By Your Side, Jonas Blue
76,77,7390,2017,hn,Call On Me - Ryan Riback Extended Remix, Starley
77,78,7331,2017,hn,Manicomio, Cosculluela
78,79,7311,2017,hn,Si me dices que sí (feat. Nicky Jam), Cosculluela
79,80,7167,2017,hn,Corazon De Seda (feat. Ozuna), Klasico
80,81,7028,2017,hn,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
81,82,6990,2017,hn,De Pies A Cabeza, Maná
82,83,6987,2017,hn,Solo Con Verte, Banda MS de Sergio Lizárraga
83,84,6977,2017,hn,Bad Things (with Camila Cabello), Machine Gun Kelly
84,85,6967,2017,hn,Gyal You A Party Animal, Charly Black
85,86,6949,2017,hn,Privado, Rvssian
86,87,6939,2017,hn,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix, Jacob Forever
87,88,6869,2017,hn,Hasta el Amanecer, Nicky Jam
88,89,6865,2017,hn,Love Yourself, Justin Bieber
89,90,6832,2017,hn,Hymn for the Weekend - Seeb Remix, Coldplay
90,91,6688,2017,hn,Perfect Strangers, Jonas Blue
91,92,6620,2017,hn,Un Polvo (feat. Bad Bunny Arcángel Ñengo Flow & De La Ghetto), Maluma
92,93,6582,2017,hn,Traicionera - Remix, Sebastian Yatra
93,94,6574,2017,hn,Sorry, Justin Bieber
94,95,6520,2017,hn,Shed a Light, Robin Schulz
95,96,6497,2017,hn,Scars To Your Beautiful, Alessia Cara
96,97,6480,2017,hn,Panda, Desiigner
97,98,6440,2017,hn,La Gozadera (feat. Marc Anthony), Gente De Zona
98,99,6333,2017,hn,Tengo Que Colgar, Banda MS de Sergio Lizárraga
99,100,6221,2017,hn,Ella y Yo (feat. Farruko Tempo Anuel Aa Almighty & Bryant Myers), Pepe Quintana
100,101,6161,2017,hn,Encantadora (feat. Farruko & Zion & Lennox) - Remix, Yandel
101,102,6144,2017,hn,Alone, Alan Walker
102,103,6035,2017,hn,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
103,104,6027,2017,hn,Love Me Now, John Legend
104,105,6006,2017,hn,The Greatest (feat. Kendrick Lamar), Sia
105,106,6003,2017,hn,Hear Me Now, Alok
106,107,5925,2017,hn,El Chisme, Reykon
107,108,5771,2017,hn,The Scientist, Coldplay
108,109,5687,2017,hn,Fuego, Juanes
109,110,5595,2017,hn,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
110,111,5589,2017,hn,7 Years, Lukas Graham
111,112,5587,2017,hn,Bad and Boujee (feat. Lil Uzi Vert), Migos
112,113,5585,2017,hn,Adventure of a Lifetime, Coldplay
113,114,5580,2017,hn,Sex, Cheat Codes
114,115,5543,2017,hn,Pa Que Me Invitan - Spanglish Version, JENCARLOS
115,116,5464,2017,hn,Fast Car, Jonas Blue
116,117,5461,2017,hn,Mi Razón De Ser, Banda MS de Sergio Lizárraga
117,118,5414,2017,hn,Caile (feat. Zion & De La Ghetto), Revol
118,119,5391,2017,hn,El Perdedor (feat. Yandel) - The Remix, Maluma
119,120,5355,2017,hn,Send My Love (To Your New Lover), Adele
120,121,5287,2017,hn,Ya Me Enteré, Reik
121,122,5279,2017,hn,Deja Que Te Bese, Alejandro Sanz
122,123,5277,2017,hn,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
123,124,5263,2017,hn,Hotline Bling, Drake
124,125,5262,2017,hn,Lean On (feat. MØ & DJ Snake), Major Lazer
125,126,5177,2017,hn,Cheap Thrills (feat. Sean Paul), Sia
126,127,5176,2017,hn,Acércate (feat. Nicky Jam) - Remix, De La Ghetto
127,128,5143,2017,hn,Controlla, Drake
128,129,5131,2017,hn,Sugar, Maroon 5
129,130,5119,2017,hn,"How Far I'll Go - From ""Moana""", Alessia Cara
130,131,5113,2017,hn,All Night, The Vamps
131,132,5086,2017,hn,Into You, Ariana Grande
132,133,5084,2017,hn,Te busco (feat. Nicky Jam), Cosculluela
133,134,5030,2017,hn,Ruleta Rusa, Kevin Roldan
134,135,5001,2017,hn,PILLOWTALK, ZAYN
135,136,4998,2017,hn,No Me Pidas Perdón, Banda MS de Sergio Lizárraga
136,137,4992,2017,hn,Roses (feat. ROZES), The Chainsmokers
137,138,4978,2017,hn,All of Me, John Legend
138,139,4943,2017,hn,El Perdedor, Maluma
139,140,4897,2017,hn,Stitches, Shawn Mendes
140,141,4885,2017,hn,The Greatest, Sia
141,142,4869,2017,hn,Now and Later, Sage The Gemini
142,143,4850,2017,hn,Encantadora, Yandel
143,144,4846,2017,hn,Hello, Adele
144,145,4794,2017,hn,Setting Fires, The Chainsmokers
145,146,4792,2017,hn,A Lo Mejor, Banda MS de Sergio Lizárraga
146,147,4791,2017,hn,I Would Like, Zara Larsson
147,148,4757,2017,hn,Si No Te Quiere Remix (feat. Arcangel & Farruko), Ozuna
148,149,4755,2017,hn,Nunca Me Olvides, Yandel
149,150,4715,2017,hn,I Got You, Bebe Rexha
150,151,4712,2017,hn,Can't Feel My Face, The Weeknd
151,152,4703,2017,hn,Falsas Mentiras (feat. Ozuna), Los De La Nazza
152,153,4694,2017,hn,Que Raro, Feid
153,154,4689,2017,hn,Quiero Que Vuelvas, Alejandro Fernández
154,155,4684,2017,hn,i hate u i love u (feat. olivia o'brien), Garrett Nash
155,156,4614,2017,hn,DM, Mueka
156,157,4576,2017,hn,Firestone, Kygo
157,158,4569,2017,hn,The Mack, Nevada
158,159,4560,2017,hn,What Do You Mean?, Justin Bieber
159,160,4548,2017,hn,Por Fin Te Encontré, Cali Y El Dandee
160,161,4537,2017,hn,Ginza, J Balvin
161,162,4492,2017,hn,Obsesionado, Farruko
162,163,4468,2017,hn,Embriágame (feat. Don Omar) - Remix, Zion & Lennox
163,164,4411,2017,hn,Juju on That Beat (TZ Anthem), Zay Hilfigerrr
164,165,4399,2017,hn,DM - Remix, Mueka
165,166,4394,2017,hn,Me Myself & I, G-Eazy
166,167,4366,2017,hn,Me Reclama, Mambo Kingz
167,168,4317,2017,hn,A Thousand Years, Christina Perri
168,169,4301,2017,hn,Kill Em With Kindness, Selena Gomez
169,170,4294,2017,hn,Final Song, MØ
170,171,4281,2017,hn,Hermosa Experiencia, Banda MS de Sergio Lizárraga
171,172,4273,2017,hn,Lush Life, Zara Larsson
172,173,4270,2017,hn,Hymn for the Weekend, Coldplay
173,174,4224,2017,hn,Bohemian Rhapsody - Remastered 2011, Queen
174,175,4209,2017,hn,No Money, Galantis
175,176,4175,2017,hn,Million Reasons, Lady Gaga
176,177,4142,2017,hn,Sin Contrato (feat. Fifth Harmony), Maluma
177,178,4139,2017,hn,Water Under the Bridge, Adele
178,179,4078,2017,hn,Propuesta Indecente, Romeo Santos
179,180,4063,2017,hn,Pa Ti, Bad Bunny
180,181,4055,2017,hn,Needed Me, Rihanna
181,182,4046,2017,hn,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana, Reik
182,183,3942,2017,hn,Caroline, Aminé
183,184,3915,2017,hn,Baila Conmigo, Juan Magán
184,185,3907,2017,hn,Ando buscando (feat. Piso 21), Carlos Baute
185,186,3878,2017,hn,Stay With Me, Sam Smith
186,187,3869,2017,hn,Stole the Show, Kygo
187,188,3866,2017,hn,Let Me Hold You (Turn Me On), Dante Klein
188,189,3840,2017,hn,Hello, KAROL G
189,190,3827,2017,hn,Dueles, Jesse & Joy
190,191,3757,2017,hn,Tan Fácil, CNCO
191,192,3741,2017,hn,Let Her Go, Passenger
192,193,3725,2017,hn,Pumped Up Kicks, Foster The People
193,194,3717,2017,hn,Counting Stars, OneRepublic
194,195,3704,2017,hn,Stay (feat. Maty Noyes), Kygo
195,196,3690,2017,hn,All Time Low, Jon Bellion
196,197,3683,2017,hn,Sweet Child O' Mine, Guns N' Roses
197,198,3676,2017,hn,El Pecado, Ozuna
198,199,3655,2017,hn,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016), David Guetta
199,200,3643,2017,hn,La Carretera, Prince Royce
