,Rank,Streams,Year,Country,Title,Artist
0,1,180488,2020,hu,Dance Monkey, Tones And I
1,2,102544,2020,hu,Falling, Trevor Daniel
2,3,84775,2020,hu,bad guy, Billie Eilish
3,4,84226,2020,hu,Don't Start Now, Dua Lipa
4,5,84112,2020,hu,Így hagysz el, ByeAlex és a Slepp
5,6,80101,2020,hu,everything i wanted, Billie Eilish
6,7,79149,2020,hu,My Oh My (feat. DaBa,)  
7,8,76378,2020,hu,Memories, Maroon 5
8,9,75637,2020,hu,ROXANNE, Arizona Zervas
9,10,74682,2020,hu,Yummy, Justin Bieber
10,11,74052,2020,hu,Señorita, Shawn Mendes
11,12,69178,2020,hu,Circles, Post Malone
12,13,67797,2020,hu,Blinding Lights, The Weeknd
13,14,60847,2020,hu,The Box, Roddy Ricch
14,15,60204,2020,hu,Olyan Ő, Bagossy Brothers Company
15,16,57583,2020,hu,Lose Control, MEDUZA
16,17,57155,2020,hu,Ride It, Regard
17,18,54270,2020,hu,Kicsi lány, Manuel
18,19,53991,2020,hu,Someone You Loved, Lewis Capaldi
19,20,50058,2020,hu,Lose You To Love Me, Selena Gomez
20,21,49059,2020,hu,Messziről jöttem, Manuel
21,22,48555,2020,hu,Roses - Imanbek Remix, SAINt JHN
22,23,47971,2020,hu,Mint egy filmben, Manuel
23,24,46767,2020,hu,hot girl bummer, blackbear
24,25,46326,2020,hu,Lucid Dreams, Juice WRLD
25,26,46229,2020,hu,Beautiful People (feat. Khalid), Ed Sheeran
26,27,45134,2020,hu,Piece Of Your Heart, MEDUZA
27,28,45128,2020,hu,I Don't Care (with Justin Bieber), Ed Sheeran
28,29,45033,2020,hu,Adore You, Harry Styles
29,30,44610,2020,hu,Ketten, Manuel
30,31,43914,2020,hu,HIGHEST IN THE ROOM, Travis Scott
31,32,43315,2020,hu,Mostantól, Rácz Gergõ
32,33,42751,2020,hu,No Idea, Don Toliver
33,34,42015,2020,hu,Old Town Road - Remix, Lil Nas X
34,35,41733,2020,hu,Watermelon Sugar, Harry Styles
35,36,41443,2020,hu,Ayy Macarena, Tyga
36,37,39857,2020,hu,Lalala, Y2K
37,38,39302,2020,hu,7 rings, Ariana Grande
38,39,39160,2020,hu,Look Back at It, A Boogie Wit da Hoodie
39,40,38476,2020,hu,Trampoline (with ZAYN), SHAED
40,41,38404,2020,hu,Sweet but Psycho, Ava Max
41,42,38378,2020,hu,Shallow, Lady Gaga
42,43,38254,2020,hu,Yaay, Bsw
43,44,37788,2020,hu,How Do You Sleep?, Sam Smith
44,45,37473,2020,hu,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
45,46,37037,2020,hu,Bandit (with YoungBoy Never Broke Again), Juice WRLD
46,47,37002,2020,hu,Anyu büszke, Manuel
47,48,36578,2020,hu,Lombok, ByeAlex és a Slepp
48,49,36009,2020,hu,Aranybula, Pamkutya
49,50,35203,2020,hu,Don't Call Me Up, Mabel
50,51,34976,2020,hu,Nem tudja senki, Follow The Flow
51,52,34059,2020,hu,High Hopes, Panic! At The Disco
52,53,34055,2020,hu,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
53,54,33328,2020,hu,Heartless, The Weeknd
54,55,32681,2020,hu,when the party's over, Billie Eilish
55,56,32595,2020,hu,RITMO (Bad Boys For Life), Black Eyed Peas
56,57,32032,2020,hu,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
57,58,31688,2020,hu,Sucker, Jonas Brothers
58,59,31278,2020,hu,Before You Go, Lewis Capaldi
59,60,30684,2020,hu,lovely (with Khalid), Billie Eilish
60,61,30455,2020,hu,BOP, DaBa
61,62,29073,2020,hu,Amikor Feladnád, Halott Pénz
62,63,29020,2020,hu,Rescue Me, OneRepublic
63,64,27927,2020,hu,Alone Pt. II, Alan Walker
64,65,27520,2020,hu,Futsal Shuffle 2020, Lil Uzi Vert
65,66,27463,2020,hu,Ritual, Tiësto
66,67,27346,2020,hu,Higher Love, Kygo
67,68,27260,2020,hu,Liar, Camila Cabello
68,69,27085,2020,hu,Hate Me (with Juice WRLD), Ellie Goulding
69,70,26476,2020,hu,Maradok távol, Follow The Flow
70,71,26153,2020,hu,Turn Me On (feat. Vula), Riton
71,72,26044,2020,hu,Youngblood, 5 Seconds of Summer
72,73,26021,2020,hu,Téged, Manuel
73,74,25536,2020,hu,Happier, Marshmello
74,75,25209,2020,hu,bury a friend, Billie Eilish
75,76,25190,2020,hu,Takeaway, The Chainsmokers
76,77,25099,2020,hu,Valahol Itt, Bagossy Brothers Company
77,78,24994,2020,hu,rockstar (feat. 21 Savage), Post Malone
78,79,24868,2020,hu,Wow., Post Malone
79,80,24730,2020,hu,Loco Contigo (feat. J. Balvin & Tyga), DJ Snake
80,81,24483,2020,hu,Csöcsök És Segg, Bsw
81,82,24419,2020,hu,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy), Martin Garrix
82,83,24131,2020,hu,Good,es (Feat. Young Thug)  
83,84,23913,2020,hu,Anyám mondta, Follow The Flow
84,85,23891,2020,hu,Good as Hell (feat. Ariana Grande) - Remix, Lizzo
85,86,23856,2020,hu,Füttyös, Majka
86,87,23792,2020,hu,Ransom, Lil Tecca
87,88,23744,2020,hu,Believer, Imagine Dragons
88,89,23548,2020,hu,Suicidal, YNW Melly
89,90,23541,2020,hu,Let Me Down Slowly, Alec Benjamin
90,91,23066,2020,hu,Lej, Dzsúdló
91,92,23023,2020,hu,Visszajövök, Bagossy Brothers Company
92,93,22636,2020,hu,Family, The Chainsmokers
93,94,22222,2020,hu,KIADATLAN, LMEN PRALA
94,95,22174,2020,hu,Never Really Over, Katy Perry
