,Rank,Streams,Year,Country,Title,Artist
0,1,1867898,2022,id,Easy On Me, Adele
1,2,1671009,2022,id,Every Summertime, NIKI
2,3,1669367,2022,id,Heat Waves, Glass Animals
3,4,1655565,2022,id,Runtuh, Fe
4,5,1589917,2022,id,Sisa Rasa, Mahalini
5,6,1581693,2022,id,I Love You So, The Walters
6,7,1578989,2022,id,abcdefu, GAYLE
7,8,1461926,2022,id,It's Only Me - Studio Version, Kaleb J
8,9,1409117,2022,id,Pesan Terakhir, Lyodra
9,10,1386731,2022,id,Merasa Indah, Tiara Andini
10,11,1367744,2022,id,Bagaimana Kalau Aku Tidak Baik Baik Saja, Judika
11,12,1352416,2022,id,Takut, Idgitaf
12,13,1347256,2022,id,Ghost, Justin Bieber
13,14,1269823,2022,id,To the Bone, Pamungkas
14,15,1236530,2022,id,traitor, Olivia Rodrigo
15,16,1229473,2022,id,Melawan Restu, Mahalini
16,17,1183779,2022,id,STAY (with Justin Bieber), The Kid LAROI
17,18,1159737,2022,id,Dandelions, Ruth B.
18,19,1148803,2022,id,Roman Picisan, Hanin Dhiya
19,20,1138563,2022,id,ELEVEN, IVE
20,21,1136079,2022,id,Here's Your Perfect, Jamie Miller
21,22,1123110,2022,id,W.H.U.T, Aisha Retno
22,23,1091491,2022,id,Blue Jeans, GANGGA
23,24,1084633,2022,id,happier, Olivia Rodrigo
24,25,1056704,2022,id,Duka, Last Child
25,26,1033750,2022,id,Yang Terdalam, Noah
26,27,1030734,2022,id,Favorite Girl, Justin Bieber
27,28,1019424,2022,id,Aku Bukan Jodohnya, Tri Suaka
28,29,989582,2022,id,It's You, Sezairi
29,30,970940,2022,id,Reckless, Madison Beer
30,31,968957,2022,id,Happier Than Ever, Billie Eilish
31,32,964774,2022,id,Step Back, GOT the beat
32,33,948781,2022,id,double take, dhruv
33,34,930938,2022,id,ONLY, LeeHi
34,35,927992,2022,id,Infinity, Jaymes Young
35,36,926442,2022,id,Bahaya, Arsy Widianto
36,37,887933,2022,id,My Universe, Coldplay
37,38,879786,2022,id,Lantas, Juicy Luicy
38,39,865383,2022,id,if u could see me cryin' in my room, Arash Buana
39,40,858127,2022,id,Pelangi, Hivi!
40,41,851188,2022,id,Terlukis Indah, Rizky Febian
41,42,847189,2022,id,MONEY, LISA
42,43,836190,2022,id,Shouldn't Be, Luke Chiang
43,44,818992,2022,id,Cheating on You, Charlie Puth
44,45,762973,2022,id,24/7, Celina Sharma
45,46,761660,2022,id,Rapsodi, JKT48
46,47,760917,2022,id,Secret Love Song (feat. Jason Derulo), Little Mix
47,48,751607,2022,id,Bertaut, Nadin Amizah
48,49,751157,2022,id,Mesin Waktu, Budi Doremi
49,50,719444,2022,id,Janji Manis, Masdo
50,51,706795,2022,id,Sahabat Dulu - From Layangan Putus, Prinsa Mandagie
51,52,661651,2022,id,Akhir Tak Bahagia, Misellia
52,53,654212,2022,id,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
53,54,631415,2022,id,Sanctuary, Joji
54,55,628016,2022,id,Dreams Come True, aespa
