,Rank,Streams,Year,Country,Title,Artist
0,1,327584,2022,ie,Fingers Crossed, Lauren Spencer-Smith
1,2,258044,2022,ie,Cold Heart - PNAU Remix, Elton John
2,3,257268,2022,ie,abcdefu, GAYLE
3,4,247279,2022,ie,Easy On Me, Adele
4,5,211950,2022,ie,Shivers, Ed Sheeran
5,6,197937,2022,ie,Sacrifice, The Weeknd
6,7,191841,2022,ie,Where Are You Now, Lost Frequencies
7,8,182984,2022,ie,Do It To It, ACRAZE
8,9,181610,2022,ie,Bad Habits, Ed Sheeran
9,10,180286,2022,ie,STAY (with Justin Bieber), The Kid LAROI
10,11,177635,2022,ie,Heat Waves, Glass Animals
11,12,176235,2022,ie,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
12,13,162798,2022,ie,Seventeen Going Under, Sam Fender
13,14,138022,2022,ie,Better Days, Dermot Kennedy
14,15,138005,2022,ie,good 4 u, Olivia Rodrigo
15,16,137433,2022,ie,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
16,17,129464,2022,ie,Make Me Feel Good, Belters Only
17,18,129234,2022,ie,Ghost, Justin Bieber
18,19,125658,2022,ie,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
19,20,119944,2022,ie,Woman, Doja Cat
20,21,119004,2022,ie,My Heart Goes (La Di Da) (feat. Topic), Becky Hill
21,22,116527,2022,ie,Gasoline, The Weeknd
22,23,116422,2022,ie,Miserable Man, David Kushner
23,24,114337,2022,ie,How Do I Make You Love Me?, The Weeknd
24,25,114310,2022,ie,Tell Me Something Good, Ewan McVicar
25,26,112735,2022,ie,The Motto, Tiësto
26,27,112635,2022,ie,Surface Pressure, Jessica Darrow
27,28,112575,2022,ie,love nwantiti (ah ah ah), CKay
28,29,110923,2022,ie,THATS WHAT I WANT, Lil Nas X
29,30,109936,2022,ie,Oh My God, Adele
30,31,109002,2022,ie,OUT OUT (feat. Charli XCX & Saweetie), Joel Corry
31,32,105966,2022,ie,Meet Me At Our Spot, THE ANXIETY
32,33,103756,2022,ie,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift
33,34,100221,2022,ie,Take My Breath, The Weeknd
34,35,98819,2022,ie,Overseas, D-Block Europe
35,36,98139,2022,ie,Infinity, Jaymes Young
36,37,98091,2022,ie,Is There Someone Else?, The Weeknd
37,38,97348,2022,ie,I Wish (feat. Mabel), Joel Corry
38,39,96496,2022,ie,Love Grows (Where My Rosemary Goes), Edison Lighthouse
39,40,95370,2022,ie,drivers license, Olivia Rodrigo
40,41,93789,2022,ie,Coming for You (feat. A1 x J1), SwitchOTR
41,42,93476,2022,ie,My Universe, Coldplay
42,43,92466,2022,ie,Out of Time, The Weeknd
43,44,91355,2022,ie,traitor, Olivia Rodrigo
44,45,88264,2022,ie,Just A Little While, The 502s
45,46,87935,2022,ie,Mr. Brightside, The Killers
46,47,85739,2022,ie,Lost, Frank Ocean
