,Rank,Streams,Year,Country,Title,Artist
0,1,141997,2021,il,רסיסים, Raviv Kaner
1,2,132865,2021,il,רוצה שלום, Raviv Kaner
2,3,130852,2021,il,שלמים, Idan Rafael Haviv
3,4,129370,2021,il,שקיעות אדומות, Eden Hason
4,5,105242,2021,il,שרק תחייך, Yuval Dayan
5,6,102829,2021,il,חיים מאושרים, Nathan Goshen
6,7,101932,2021,il,Blinding Lights, The Weeknd
7,8,90749,2021,il,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
8,9,89809,2021,il,על מה בנות חושבות בלילה, Omer Adam
9,10,87904,2021,il,מסיבה, Jasmin Moallem
10,11,85058,2021,il,Mood (feat. iann dior), 24kGoldn
11,12,84623,2021,il,אם תרצי, Hanan Ben Ari
12,13,84565,2021,il,ג'וני, Bar Tzabary
13,14,82516,2021,il,positions, Ariana Grande
14,15,82301,2021,il,תל אביב זה אני ואת, Amir Ve Ben
15,16,78912,2021,il,ואז את תראי, Doli & Penn
16,17,77022,2021,il,Watermelon Sugar, Harry Styles
17,18,76672,2021,il,סיבובים, Eden Hason
18,19,76377,2021,il,אמן על הילדים, Hanan Ben Ari
19,20,73803,2021,il,אלוף העולם, Hanan Ben Ari
20,21,72493,2021,il,בחלומות שלנו, Dudu Aharon
21,22,72490,2021,il,Therefore I Am, Billie Eilish
22,23,71690,2021,il,מה אתה רוצה, Ella Lee
23,24,71605,2021,il,אור הירח, Jasmin Moallem
24,25,70489,2021,il,Lonely (with benny blanco), Justin Bieber
25,26,69286,2021,il,ביחד, Marina Maximilian
26,27,68478,2021,il,צמאה לאהבה, Liran Danino
27,28,68135,2021,il,נשמה שלי, Idan Rafael Haviv
28,29,65575,2021,il,Take You Dancing, Jason Derulo
29,30,64449,2021,il,הנשיקות שלי, Omer Adam
30,31,63187,2021,il,מסע, Eliad
31,32,62218,2021,il,HOLIDAY, Lil Nas X
32,33,62125,2021,il,Whoopty, CJ
33,34,61717,2021,il,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
34,35,60322,2021,il,אל תעזבי ידיים, Akiva
35,36,59261,2021,il,נחכה לך, Nathan Goshen
36,37,59208,2021,il,34+35, Ariana Grande
37,38,59138,2021,il,לא ביקשתי מלחמה, Kobi Maman
38,39,59034,2021,il,תחזרי מהר, Osher Cohen
39,40,58768,2021,il,שבוע טוב, Avraham Tal
40,41,58545,2021,il,Alien, Dennis Lloyd
41,42,56969,2021,il,לשוב הביתה, Ishay Ribo
42,43,56556,2021,il,קטן עלינו - אמני ישראל, Static & Ben El
43,44,56254,2021,il,את חסרה לי, Eden Hason
44,45,55101,2021,il,Afterglow, Ed Sheeran
45,46,53237,2021,il,Prisoner (feat. Dua Lipa), Miley Cyrus
46,47,52395,2021,il,עד מחר, Eviatar Banai
47,48,51820,2021,il,Head & Heart (feat. MNEK), Joel Corry
48,49,51778,2021,il,שמש, Hanan Ben Ari
49,50,51427,2021,il,ROCKSTAR (feat. Roddy Ricch), DaBa
50,51,51343,2021,il,willow, Taylor Swift
51,52,50888,2021,il,כמה רקדנו, Benaia Barabi
52,53,48577,2021,il,Dance Monkey, Tones And I
53,54,48486,2021,il,אל תשברי לי את הלב, Eden Hason
54,55,48129,2021,il,Anyone, Justin Bieber
55,56,47996,2021,il,מורידים את הירח, Shlomi Shabat
56,57,47515,2021,il,WITHOUT YOU, The Kid LAROI
57,58,46301,2021,il,מיליון דולר, Noa Kirel
58,59,45916,2021,il,you broke me first, Tate McRae
59,60,45632,2021,il,יש לי חור בלב בצורה שלך, Girafot
60,61,45127,2021,il,Someone You Loved, Lewis Capaldi
61,62,45042,2021,il,As a Stone, Full Trunk
62,63,44607,2021,il,מי עוד יחבק, Osher Cohen
