,Rank,Streams,Year,Country,Title,Artist
0,1,1047851,2020,in,"Muqabla (From ""Street Dancer 3D"")", Yash Narvekar
1,2,984525,2020,in,Yummy, Justin Bieber
2,3,970860,2020,in,Falling, Trevor Daniel
3,4,907110,2020,in,Makhna, Tanishk Bagchi
4,5,896824,2020,in,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)", Badshah
5,6,892697,2020,in,"Ghungroo (From ""War"")", Vishal-Shekhar
6,7,818885,2020,in,Yaad Piya Ki Aane Lagi, Neha Kakkar
7,8,784176,2020,in,Memories, Maroon 5
8,9,752488,2020,in,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")", Arijit Singh
9,10,742911,2020,in,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")", Jasmine Sandlas
10,11,656629,2020,in,Señorita, Shawn Mendes
11,12,646837,2020,in,ROXANNE, Arizona Zervas
12,13,639430,2020,in,"Tum Hi Aana (From ""Marjaavaan"")", Payal Dev
13,14,548221,2020,in,Blinding Lights, The Weeknd
14,15,546688,2020,in,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")", Rochak Kohli
15,16,519212,2020,in,"O Saki Saki (From ""Batla House"")", Neha Kakkar
16,17,506939,2020,in,Filhall, B Praak
17,18,502176,2020,in,Circles, Post Malone
18,19,501556,2020,in,Pal Pal Dil Ke Paas- Title Track, Arijit Singh
19,20,482856,2020,in,"Shaitan Ka Saala (From ""Housefull 4"")", Sohail Sen
20,21,482240,2020,in,"Duniyaa (From ""Luka Chuppi"")", Akhil
21,22,478938,2020,in,My Oh My (feat. DaBa,)  
22,23,477323,2020,in,"Bekhayali (From ""Kabir Singh"")", Sachet Tandon
23,24,460728,2020,in,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")", Tony Kakkar
24,25,453215,2020,in,Ve Maahi, Arijit Singh
25,26,449622,2020,in,"Tera Ban Jaunga (From ""Kabir Singh"")", Akhil Sachdeva
26,27,449523,2020,in,"Mere Sohneya (From ""Kabir Singh"")", Sachet Tandon
27,28,431762,2020,in,Chandigarh Mein, Badshah
28,29,431719,2020,in,Sauda Khara Khara, Diljit Dosanjh
29,30,402379,2020,in,8 Parche, Baani Sandhu
30,31,386530,2020,in,"Pachtaoge (From ""Jaani Ve"")", Arijit Singh
31,32,381744,2020,in,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
32,33,381250,2020,in,"Kaise Hua (From ""Kabir Singh"")", Vishal Mishra
33,34,380905,2020,in,"Mummy Nu Pasand (From ""Jai Mummy Di"")", Sunanda Sharma
34,35,373026,2020,in,"Naah Goriye (From ""Bala"")", B Praak
35,36,363043,2020,in,everything i wanted, Billie Eilish
36,37,360634,2020,in,Trampoline (with ZAYN), SHAED
37,38,360561,2020,in,On My Way, Alan Walker
38,39,360458,2020,in,"Lamborghini (From ""Jai Mummy Di"")", Meet Bros.
39,40,360113,2020,in,Sakhiyaan, Maninder Buttar
40,41,351665,2020,in,hot girl bummer, blackbear
41,42,349910,2020,in,Kamaal, Badshah
42,43,343866,2020,in,"Don't Be Shy Again (From ""Bala"")", Sachin-Jigar
43,44,339559,2020,in,Proper Patola, Badshah
44,45,335970,2020,in,"Jai Jai Shivshankar (From ""War"")", Vishal Dadlani
45,46,335458,2020,in,bad guy, Billie Eilish
46,47,334313,2020,in,Chal Bombay, DIVINE
47,48,326378,2020,in,Ik Tera, Maninder Buttar
48,49,319141,2020,in,Lose You To Love Me, Selena Gomez
49,50,318878,2020,in,Vaaste, Dhvani Bhanushali
50,51,317653,2020,in,Dance Like, Harrdy Sandhu
51,52,317594,2020,in,Kalank (Title Track), Pritam
52,53,309180,2020,in,Can We Kiss Forever?, Kina
53,54,303042,2020,in,"Hauli Hauli (From ""De De Pyaar De"")", Garry Sandhu
54,55,302355,2020,in,Heartless, The Weeknd
55,56,297719,2020,in,"Ek Toh Kum Zindagani (From ""Marjaavaan"")", Neha Kakkar
56,57,294824,2020,in,Laare, Maninder Buttar
57,58,287857,2020,in,"Thodi Jagah (From ""Marjaavaan"")", Arijit Singh
58,59,286309,2020,in,Adore You, Harry Styles
59,60,285726,2020,in,Alone Pt. II, Alan Walker
60,61,284892,2020,in,Ik Mulaqaat, Meet Bros.
61,62,282219,2020,in,Believer, Imagine Dragons
62,63,278380,2020,in,Buttabomma - Telugu, Armaan Malik
63,64,277490,2020,in,Takeaway, The Chainsmokers
64,65,276176,2020,in,Someone You Loved, Lewis Capaldi
65,66,264885,2020,in,Naagin, Vayu
66,67,264851,2020,in,I Like Me Better, Lauv
67,68,260428,2020,in,Without Me, Halsey
68,69,260281,2020,in,Tujhe Kitna Chahein Aur (Film Version), Jubin Nautiyal
69,70,258884,2020,in,Laal Ghaghra, Neha Kakkar
70,71,258242,2020,in,"Psycho Saiyaan (From ""Saaho"")", Sachet Tandon
71,72,257743,2020,in,Dhakka, Sidhu Moose Wala
72,73,256835,2020,in,"Odhani (From ""Made in China"")", Sachin-Jigar
73,74,249470,2020,in,Maana Dil, B Praak
74,75,246114,2020,in,7 rings, Ariana Grande
75,76,245187,2020,in,The Hook Up Song, Vishal-Shekhar
76,77,240929,2020,in,Samajavaragamana, Sid Sriram
77,78,238574,2020,in,"Coca Cola (From ""Luka Chuppi"")", Tony Kakkar
78,79,237989,2020,in,Lucid Dreams, Juice WRLD
79,80,234688,2020,in,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]", Arijit Singh
80,81,234246,2020,in,Watermelon Sugar, Harry Styles
81,82,230853,2020,in,Kohinoor, DIVINE
82,83,229779,2020,in,"Ek Chumma (From ""Housefull 4"")", Sohail Sen
83,84,229432,2020,in,Udd Gaye - Bacardi House Party Sessions, Ritviz
84,85,225741,2020,in,Pal, Javed-Mohsin
85,86,225288,2020,in,"Chale Aana (From ""De De Pyaar De"")", Amaal Mallik
86,87,225135,2020,in,"Kinna Sona (From ""Marjaavaan"")", Meet Bros.
87,88,223985,2020,in,Yaen Ennai Pirindhaai - Male, Sid Sriram
88,89,221238,2020,in,Paagal, Badshah
89,90,221031,2020,in,Good,es (Feat. Young Thug)  
90,91,216323,2020,in,Old Town Road - Remix, Lil Nas X
91,92,215432,2020,in,Baari, Bilal Saeed
92,93,213404,2020,in,She Move It Like, Badshah
93,94,212178,2020,in,Look At Her Now, Selena Gomez
94,95,211351,2020,in,Faded, Alan Walker
95,96,210382,2020,in,"Bad Boy (From ""Saaho"")", Badshah
96,97,210334,2020,in,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")", Arijit Singh
97,98,207392,2020,in,Yaari, Nikk
98,99,207372,2020,in,Same Beef, Bohemia
99,100,206548,2020,in,Liggi, Ritviz
100,101,203887,2020,in,"Dilbara (B Praak Version) [From ""Pati Patni Aur Woh""]", B Praak
101,102,203798,2020,in,Gaddi Pichhe Naa, Khan Bhaini
102,103,202336,2020,in,The Wakhra Song, Navv Inder
103,104,200941,2020,in,Pehla Pyaar, Armaan Malik
104,105,200520,2020,in,Hawa Banke, Darshan Raval
105,106,197994,2020,in,Dil Hi Toh Hai, Pritam
106,107,197668,2020,in,Tareefan - Original, Chdry Saqib
107,108,196031,2020,in,"Dilbar (From ""Satyameva Jayate"")", Neha Kakkar
108,109,195573,2020,in,Hate Me (with Juice WRLD), Ellie Goulding
109,110,195483,2020,in,Dil Ka Telephone, Meet Bros.
110,111,193714,2020,in,"Photo (From ""Luka Chuppi"")", Karan Sehmbi
111,112,192416,2020,in,Happier, Marshmello
112,113,192117,2020,in,Closer, The Chainsmokers
113,114,191681,2020,in,Apna Time Aayega, Ranveer Singh
114,115,191347,2020,in,Dil Na Jaaneya, Rochak Kohli
115,116,187718,2020,in,Haaye ve, Ammy Virk
116,117,187368,2020,in,rockstar (feat. 21 Savage), Post Malone
117,118,187234,2020,in,Paniyon Sa, Rochak Kohli
118,119,185744,2020,in,Cradles, Sub Urban
119,120,185516,2020,in,HIGHEST IN THE ROOM, Travis Scott
120,121,185053,2020,in,Rula Ke Gaya Ishq, Stebin Ben
121,122,185000,2020,in,Satisfya, Imran Khan
122,123,184932,2020,in,Dil Diyan Gallan, Vishal-Shekhar
123,124,184666,2020,in,"Pyaar Toh Tha (From ""Bala"")", Sachin-Jigar
124,125,184104,2020,in,Dooriyan, Dino James
125,126,184073,2020,in,"Morni Banke (From ""Badhaai Ho"")", Guru Randhawa
126,127,183584,2020,in,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
127,128,181772,2020,in,Thunder, Imagine Dragons
128,129,181602,2020,in,The Jawaani Song, Vishal-Shekhar
129,130,181380,2020,in,Illegal Weapon, Garry Sandhu
130,131,180374,2020,in,Graveyard, Halsey
131,132,179719,2020,in,Qaafirana, Arijit Singh
132,133,179586,2020,in,"Koka (From ""Khandaani Shafakhana"")", Jasbir Jassi
133,134,179283,2020,in,Naina Da Kya Kasoor, Amit Trivedi
134,135,179092,2020,in,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
135,136,177233,2020,in,Call You Mine, The Chainsmokers
136,137,177174,2020,in,Khaab, Akhil
137,138,176610,2020,in,Khairiyat, Pritam
138,139,176454,2020,in,Prada, The Doorbeen
139,140,175908,2020,in,"Aankh Marey (From ""Simmba"")", Neha Kakkar
140,141,174814,2020,in,Intezaar, Mithoon
141,142,173605,2020,in,Lamberghini, The Doorbeen
142,143,172660,2020,in,Let Me Love You, DJ Snake
143,144,172187,2020,in,Chitta Kurta, Karan Aujla
144,145,172121,2020,in,Chhapaak Title Track, Arijit Singh
145,146,169998,2020,in,Sucker, Jonas Brothers
146,147,169654,2020,in,First Class, Pritam
147,148,169095,2020,in,Samjhawan, Jawad Ahmad
148,149,168819,2020,in,"Rula Diya (From ""Batla House"")", Ankit Tiwari
149,150,168764,2020,in,Mean It, Lauv
150,151,164339,2020,in,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")", Atif Aslam
151,152,164162,2020,in,Kya Baat Ay, Harrdy Sandhu
152,153,163149,2020,in,changes, XXXTENTACION
153,154,163066,2020,in,"Agar Tum Saath Ho (From ""Tamasha"")", BollyKex
154,155,162280,2020,in,Ramuloo Ramulaa - Duet, Anurag Kulkarni
155,156,161321,2020,in,Liar, Camila Cabello
156,157,161279,2020,in,Bombay to Punjab, Deep Jandu
157,158,161071,2020,in,i'm so tired..., Lauv
158,159,160591,2020,in,Lily, Alan Walker
159,160,160333,2020,in,Eastside (with Halsey & Khalid), benny blanco
160,161,158112,2020,in,Viah, Jass Manak
161,162,157820,2020,in,"Chashni (From ""Bharat"")", Abhijeet Srivastava
162,163,156646,2020,in,How Do You Sleep?, Sam Smith
163,164,156573,2020,in,If I Can't Have You, Shawn Mendes
164,165,156495,2020,in,Before You Go, Lewis Capaldi
165,166,156372,2020,in,Channa Mereya, Pritam
166,167,156330,2020,in,"Slow Motion (From ""Bharat"")", Shreya Ghoshal
167,168,156102,2020,in,Ishq Di Feeling, Stebin Ben
168,169,156091,2020,in,"For Aisha (Featured in ""The Sky Is Pink"")", MEMBA
169,170,155280,2020,in,Sage, Ritviz
170,171,153951,2020,in,Gal Karke, Inder Chahal
171,172,153860,2020,in,lovely (with Khalid), Billie Eilish
172,173,152429,2020,in,Enna Sona, A.R. Rahman
173,174,152302,2020,in,Kaam 25 - Sacred Games, DIVINE
174,175,152124,2020,in,Family, The Chainsmokers
175,176,151218,2020,in,cold/mess, Prateek Kuhad
176,177,150459,2020,in,Dheeme Dheeme, Tony Kakkar
177,178,150178,2020,in,"Dariyaganj (From ""Jai Mummy Di"")", Arijit Singh
178,179,150080,2020,in,Boy With Luv (feat. Halsey), BTS
179,180,149788,2020,in,"Dil Mein Ho Tum (From ""Cheat India"")", Armaan Malik
180,181,149771,2020,in,Hawayein, Pritam
181,182,149669,2020,in,Treat You Better, Shawn Mendes
182,183,149066,2020,in,Lalala, Y2K
183,184,147764,2020,in,fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”, Lauv
184,185,147756,2020,in,Wow., Post Malone
185,186,147569,2020,in,Love Mashup 2019, Akhil Sachdeva
186,187,147330,2020,in,Leja Re, Tanishk Bagchi
187,188,146911,2020,in,"Tere Bin (From ""Simmba"")", Rahat Fateh Ali Khan
