,Rank,Streams,Year,Country,Title,Artist
0,1,41607,2021,is,Rólegur Kúreki, BRÍET
1,2,26319,2021,is,Esjan, BRÍET
2,3,21767,2021,is,WITHOUT YOU, The Kid LAROI
3,4,19783,2021,is,HOLIDAY, Lil Nas X
4,5,19781,2021,is,Anyone, Justin Bieber
5,6,18811,2021,is,Djúp Sár Gróa Hægt, BRÍET
6,7,17043,2021,is,Blinding Lights, The Weeknd
7,8,16972,2021,is,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
8,9,16585,2021,is,Sólblóm, BRÍET
9,10,16182,2021,is,Dvel ég í draumahöll, Hafdís Huld
10,11,16113,2021,is,Therefore I Am, Billie Eilish
11,12,15941,2021,is,Lonely (with benny blanco), Justin Bieber
12,13,15388,2021,is,Mood (feat. iann dior), 24kGoldn
13,14,15246,2021,is,Whoopty, CJ
14,15,14580,2021,is,What You Know Bout Love, Pop Smoke
15,16,14025,2021,is,positions, Ariana Grande
16,17,13910,2021,is,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
17,18,13876,2021,is,WAP (feat. Megan Thee Stallion), Cardi B
18,19,13754,2021,is,Óskasteinar, Hafdís Huld
19,20,13518,2021,is,Rauðar Rósir Fölna, BRÍET
20,21,13395,2021,is,For The Night (feat. Lil Ba, & DaBa
21,22,13251,2021,is,Fljúgðu burt dúfa, Auður
22,23,13232,2021,is,Litlar stjörnur, Hafdís Huld
23,24,13116,2021,is,Stjörnurnar, Herra Hnetusmjör
24,25,13046,2021,is,Sofðu unga ástin mín, Hafdís Huld
25,26,12413,2021,is,Afterglow, Ed Sheeran
26,27,11867,2021,is,Hann Er Ekki Þú, BRÍET
27,28,11859,2021,is,Sofa urtubörn, Hafdís Huld
28,29,11832,2021,is,Watermelon Sugar, Harry Styles
29,30,11734,2021,is,Good Days, SZA
30,31,11676,2021,is,Ljós, Hafdís Huld
31,32,11674,2021,is,Show Out (with Skepta & Pop Smoke), Kid Cudi
32,33,11547,2021,is,you broke me first, Tate McRae
33,34,11505,2021,is,Bíum bíum bambaló, Hafdís Huld
34,35,11366,2021,is,Fimm, BRÍET
35,36,11230,2021,is,Flýg (feat. Bubbi Morthens), Haki
36,37,11058,2021,is,Head & Heart (feat. MNEK), Joel Corry
37,38,10918,2021,is,Put Your Records On, Ritt Momney
38,39,10861,2021,is,Ævintýralönd, Hafdís Huld
39,40,10754,2021,is,34+35, Ariana Grande
40,41,10680,2021,is,Mood Swings (feat. Lil Tjay), Pop Smoke
41,42,10450,2021,is,Góða nótt, Hafdís Huld
42,43,10446,2021,is,Í kvöld er gigg, Ingó Veðurguð
43,44,10357,2021,is,Sólskin, Hafdís Huld
44,45,10249,2021,is,Bí bí og blaka, Hafdís Huld
45,46,10112,2021,is,Frost er úti fuglinn minn, Hafdís Huld
46,47,10111,2021,is,Snowman, Sia
47,48,10099,2021,is,Rómeó og Júlía, Bubbi Morthens
48,49,9823,2021,is,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
49,50,9793,2021,is,Nóttin læðist inn, Hafdís Huld
50,51,9688,2021,is,Sofðu, Hafdís Huld
51,52,9608,2021,is,SO DONE, The Kid LAROI
52,53,9605,2021,is,Roses - Imanbek Remix, SAINt JHN
53,54,9397,2021,is,Þú ert, Hafdís Huld
54,55,9313,2021,is,Dior, Pop Smoke
55,56,9118,2021,is,Það bera sig allir vel, Helgi Björnsson
56,57,9113,2021,is,Wonder, Shawn Mendes
57,58,9010,2021,is,Goosebumps, HVME
58,59,8661,2021,is,Levitating (feat. DaBa,)  
59,60,8579,2021,is,Take You Dancing, Jason Derulo
60,61,8517,2021,is,Element, Pop Smoke
61,62,8460,2021,is,Enginn eins og þú, Auður
62,63,8379,2021,is,ROCKSTAR (feat. Roddy Ricch), DaBa
63,64,8364,2021,is,Nær Þér, BRÍET
64,65,8273,2021,is,Prisoner (feat. Dua Lipa), Miley Cyrus
65,66,8262,2021,is,Tequila Shots, Kid Cudi
66,67,8231,2021,is,Savage Love (Laxed - Siren Beat), Jawsh 685
67,68,7998,2021,is,Someone You Loved, Lewis Capaldi
68,69,7988,2021,is,Takk fyrir mig, Ingó Veðurguð
69,70,7981,2021,is,Malbik, Emmsjé Gauti
70,71,7856,2021,is,Holy (feat. Chance The Rapper), Justin Bieber
71,72,7798,2021,is,Hata að hafa þig ekki hér (SAMSUNG SESSJÓN), Friðrik Dór
72,73,7577,2021,is,Midnight Sky, Miley Cyrus
73,74,7561,2021,is,Train Wreck, James Arthur
74,75,7556,2021,is,Shallow, Lady Gaga
75,76,7483,2021,is,Laugh Now Cry Later (feat. Lil Durk), Drake
76,77,7379,2021,is,The Business, Tiësto
