,Rank,Streams,Year,Country,Title,Artist
0,1,1051142,2017,it,Shape of You, Ed Sheeran
1,2,759626,2017,it,Rocka,e (feat. Sean Paul & Anne-Marie)  
2,3,715171,2017,it,Castle on the Hill, Ed Sheeran
3,4,504232,2017,it,Closer, The Chainsmokers
4,5,478975,2017,it,Assenzio (feat. Stash & Levante), J-AX
5,6,465659,2017,it,Let Me Love You, DJ Snake
6,7,465585,2017,it,Human, Rag'n'Bone Man
7,8,451514,2017,it,Don't Wanna Know, Maroon 5
8,9,436884,2017,it,Tutto Molto Interessante, Fabio Rovazzi
9,10,410620,2017,it,Chantaje (feat. Maluma), Shakira
10,11,398142,2017,it,Starboy, The Weeknd
11,12,364741,2017,it,Say You Won't Let Go, James Arthur
12,13,362744,2017,it,In the Name of Love, Martin Garrix
13,14,351248,2017,it,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
14,15,343252,2017,it,Mercy, Shawn Mendes
15,16,340681,2017,it,My Way, Calvin Harris
16,17,336193,2017,it,Just Hold On, Steve Aoki
17,18,329075,2017,it,Ulisse, lowlow
18,19,326804,2017,it,Call On Me - Ryan Riback Extended Remix, Starley
19,20,310675,2017,it,The Greatest (feat. Kendrick Lamar), Sia
20,21,306550,2017,it,I Feel It Coming, The Weeknd
21,22,306509,2017,it,Cold Water (feat. Justin Bieber & MØ), Major Lazer
22,23,301187,2017,it,Love Me Now, John Legend
23,24,300659,2017,it,One Dance, Drake
24,25,297121,2017,it,24K Magic, Bruno Mars
25,26,292662,2017,it,Don't Let Me Down (feat. Daya), The Chainsmokers
26,27,292566,2017,it,All We Know, The Chainsmokers
27,28,292425,2017,it,Lot to Learn, Luke Christopher
28,29,280227,2017,it,Scars To Your Beautiful, Alessia Cara
29,30,277833,2017,it,Treat You Better, Shawn Mendes
30,31,275366,2017,it,Ninna Nanna, Ghali
31,32,265705,2017,it,Million Reasons, Lady Gaga
32,33,263900,2017,it,Shed a Light, Robin Schulz
33,34,260408,2017,it,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
34,35,256176,2017,it,Cheap Thrills, Sia
35,36,255490,2017,it,Alone, Alan Walker
36,37,253952,2017,it,All Night, The Vamps
37,38,241989,2017,it,Bad Things (with Camila Cabello), Machine Gun Kelly
38,39,241353,2017,it,By Your Side, Jonas Blue
39,40,236732,2017,it,i hate u i love u (feat. olivia o'brien), Garrett Nash
40,41,236509,2017,it,Il sentiero dei nidi di ragno, lowlow
41,42,236065,2017,it,Heathens, Twenty One Pilots
42,43,231925,2017,it,Black Beatles, Rae Sremmurd
43,44,225566,2017,it,Side To Side, Ariana Grande
44,45,225430,2017,it,Safari, J Balvin
45,46,214283,2017,it,The Mack, Nevada
46,47,213412,2017,it,Photograph, Ed Sheeran
47,48,212391,2017,it,Starving, Hailee Steinfeld
48,49,207059,2017,it,Hear Me Now, Alok
49,50,201684,2017,it,Potremmo Ritornare, Tiziano Ferro
50,51,192299,2017,it,Let's Hurt Tonight, OneRepublic
51,52,179800,2017,it,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
52,53,171899,2017,it,What U Do to Me, Roshelle
53,54,167631,2017,it,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
54,55,159365,2017,it,Sai che, Marco Mengoni
55,56,155291,2017,it,Now and Later, Sage The Gemini
56,57,155256,2017,it,"Faith - From ""Sing"" Original Motion Picture Soundtrack", Stevie Wonder
57,58,152202,2017,it,Fake Love, Drake
58,59,148926,2017,it,Lost on You, LP
59,60,147281,2017,it,"How Far I'll Go - From ""Moana""", Alessia Cara
60,61,134004,2017,it,Alarm, Anne-Marie
61,62,131614,2017,it,New Dawns, Gaia
62,63,124018,2017,it,Ride, Twenty One Pilots
63,64,117648,2017,it,Scooteroni - RMX, Marracash
64,65,117481,2017,it,Faded, Alan Walker
65,66,113715,2017,it,Visiera A Becco, Sfera Ebbasta
66,67,112749,2017,it,Hymn for the Weekend - Seeb Remix, Coldplay
67,68,111823,2017,it,Thinking out Loud, Ed Sheeran
68,69,111783,2017,it,Completamente, Thegiornalisti
69,70,110499,2017,it,I Would Like, Zara Larsson
70,71,108018,2017,it,I Got You, Bebe Rexha
71,72,107179,2017,it,Water Under the Bridge, Adele
72,73,105739,2017,it,Vorrei ma non posto, J-AX
73,74,105576,2017,it,Figli Di Papà, Sfera Ebbasta
74,75,104737,2017,it,Love Yourself, Justin Bieber
75,76,104663,2017,it,Don Medellín (feat. Rose Villain), Salmo
76,77,103328,2017,it,Perfect Strangers, Jonas Blue
77,78,102217,2017,it,Catch & Release - Deepend Remix, Matt Simons
78,79,102024,2017,it,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
79,80,97891,2017,it,This Is What You Came For (feat. Rihanna), Calvin Harris
80,81,96736,2017,it,Insta Lova, Marracash
81,82,96473,2017,it,Kill Em With Kindness, Selena Gomez
82,83,95450,2017,it,The Ocean (feat. Shy Martin), Mike Perry
