,Rank,Streams,Year,Country,Title,Artist
0,1,171111,2018,jp,Shape of You, Ed Sheeran
1,2,143587,2018,jp,打上花火, Daoko
2,3,119912,2018,jp,Wolves, Selena Gomez
3,4,118902,2018,jp,TT - Japanese ver., TWICE
4,5,109717,2018,jp,What Lovers Do (feat. SZA), Maroon 5
5,6,107924,2018,jp,Finesse - Remix; feat. Cardi B, Bruno Mars
6,7,105719,2018,jp,New Rules, Dua Lipa
7,8,103465,2018,jp,Havana (feat. Young Thug), Camila Cabello
8,9,101984,2018,jp,Wherever you are, ONE OK ROCK
9,10,100208,2018,jp,LIKEY, TWICE
10,11,99904,2018,jp,愛をこめて花束を, Superfly
11,12,99332,2018,jp,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
12,13,97663,2018,jp,RAIN, SEKAI NO OWARI
13,14,94800,2018,jp,ゲリラ × 向井太一, AKKOGORILLA
14,15,93073,2018,jp,インフルエンサー, Nogizaka46
15,16,92709,2018,jp,恋音と雨空, AAA
16,17,90237,2018,jp,Stay, Zedd
17,18,89742,2018,jp,My Boo, Shota Shimizu
18,19,88475,2018,jp,ワタリドリ, [Alexandros]
19,20,86309,2018,jp,愛唄, GReeeeN
20,21,85622,2018,jp,How Long, Charlie Puth
21,22,78366,2018,jp,小さな恋のうた, MONGOL800
22,23,78085,2018,jp,Perfect, Ed Sheeran
23,24,77895,2018,jp,さよならの前に, AAA
24,25,76196,2018,jp,I LOVE YOU, Chris Hart
25,26,75958,2018,jp,Too Good At Good,es  
26,27,75056,2018,jp,Closer, The Chainsmokers
27,28,74839,2018,jp,キセキ, GReeeeN
28,29,74518,2018,jp,君が好き, Shota Shimizu
29,30,74297,2018,jp,BIG CITY RODEO, GENERATIONS from EXILE TRIBE
30,31,73728,2018,jp,DNA, BTS
31,32,72912,2018,jp,I Miss You (feat. Julia Michaels), Clean Bandit
32,33,72799,2018,jp,Attention, Charlie Puth
33,34,72267,2018,jp,Something Just Like This, The Chainsmokers
34,35,71812,2018,jp,DREAM, Shota Shimizu
35,36,71383,2018,jp,楓, SPITZ
36,37,70034,2018,jp,Heart Shaker, TWICE
37,38,69531,2018,jp,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
38,39,68994,2018,jp,Symphony (feat. Zara Larsson), Clean Bandit
39,40,68198,2018,jp,One More Time, TWICE
40,41,65708,2018,jp,Despacito - Remix, Luis Fonsi
41,42,64709,2018,jp,rockstar, Post Malone
42,43,64253,2018,jp,The Beginning, ONE OK ROCK
43,44,63984,2018,jp,WanteD! WanteD!, Mrs. GREEN APPLE
44,45,62651,2018,jp,Friends (with BloodPop®), Justin Bieber
45,46,61036,2018,jp,花, ORANGE RANGE
46,47,60869,2018,jp,Mama, Jonas Blue
47,48,60712,2018,jp,There's Nothing Holdin' Me Back, Shawn Mendes
48,49,60583,2018,jp,River (feat. Ed Sheeran), Eminem
49,50,57064,2018,jp,Sorry Not Sorry, Demi Lovato
50,51,54914,2018,jp,What Do You Mean?, Justin Bieber
51,52,53826,2018,jp,ONE, Aimer
