,Rank,Streams,Year,Country,Title,Artist
0,1,22246,2022,lu,abcdefu, GAYLE
1,2,20314,2022,lu,Heat Waves, Glass Animals
2,3,18633,2022,lu,Shivers, Ed Sheeran
3,4,18391,2022,lu,Pepas, Farruko
4,5,18079,2022,lu,Cold Heart - PNAU Remix, Elton John
5,6,17353,2022,lu,STAY (with Justin Bieber), The Kid LAROI
6,7,16364,2022,lu,Easy On Me, Adele
7,8,15976,2022,lu,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
8,9,15699,2022,lu,Do It To It, ACRAZE
9,10,15660,2022,lu,L’enfer, Stromae
10,11,15366,2022,lu,Where Are You Now, Lost Frequencies
11,12,15155,2022,lu,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
12,13,13924,2022,lu,love nwantiti (ah ah ah), CKay
13,14,13584,2022,lu,Sacrifice, The Weeknd
14,15,13019,2022,lu,Jefe, Ninho
15,16,13011,2022,lu,Bad Habits, Ed Sheeran
16,17,11817,2022,lu,TO THE MOON, Jnr Choi
17,18,11435,2022,lu,Woman, Doja Cat
18,19,11330,2022,lu,Infinity, Jaymes Young
19,20,10629,2022,lu,Fingers Crossed, Lauren Spencer-Smith
20,21,10500,2022,lu,My Universe, Coldplay
21,22,9382,2022,lu,Moth To A Flame (with The Weeknd), Swedish House Mafia
22,23,9040,2022,lu,THATS WHAT I WANT, Lil Nas X
23,24,8906,2022,lu,The Motto, Tiësto
24,25,8611,2022,lu,It'll Be Okay, Shawn Mendes
25,26,8599,2022,lu,Acapulco, Jason Derulo
26,27,8121,2022,lu,Wenn ich will, Gzuz
27,28,7705,2022,lu,MONTERO (Call Me By Your Name), Lil Nas X
28,29,7691,2022,lu,10von10 - Remix, Pajel
29,30,7633,2022,lu,Is There Someone Else?, The Weeknd
30,31,7595,2022,lu,Softcore, The Neighbourhood
31,32,7581,2022,lu,LA FAMA (with The Weeknd), ROSALÍA
32,33,7553,2022,lu,VVS, Ninho
33,34,7545,2022,lu,Because You Move Me, Tinlicker
34,35,7523,2022,lu,How Do I Make You Love Me?, The Weeknd
35,36,7465,2022,lu,good 4 u, Olivia Rodrigo
36,37,7369,2022,lu,Beggin', Måneskin
37,38,7323,2022,lu,Santé, Stromae
38,39,7009,2022,lu,Gasoline, The Weeknd
39,40,6987,2022,lu,Out of Time, The Weeknd
40,41,6839,2022,lu,Peru, Fireboy DML
41,42,6839,2022,lu,Blinding Lights, The Weeknd
42,43,6835,2022,lu,I Heard You’re Married (feat. Lil Wayne), The Weeknd
43,44,6782,2022,lu,pushin P (feat. Young Thug), Gunna
44,45,6617,2022,lu,Thunder, Gabry Ponte
45,46,6339,2022,lu,One Right Now (with The Weeknd), Post Malone
46,47,6278,2022,lu,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
47,48,6215,2022,lu,La kiffance, Naps
48,49,6125,2022,lu,Take My Breath, The Weeknd
49,50,6087,2022,lu,D O D O, Tayc
50,51,5985,2022,lu,Vérité, Ninho
51,52,5960,2022,lu,Dawn FM, The Weeknd
52,53,5835,2022,lu,Kiss Me More (feat. SZA), Doja Cat
53,54,5804,2022,lu,Less Than Zero, The Weeknd
54,55,5790,2022,lu,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
55,56,5700,2022,lu,Retail Therapy, Central Cee
56,57,5664,2022,lu,Best Friends, The Weeknd
57,58,5644,2022,lu,Levitating (feat. DaBa,)  
58,59,5600,2022,lu,Wrecked, Imagine Dragons
59,60,5596,2022,lu,Miserable Man, David Kushner
60,61,5559,2022,lu,Here We Go… Again (feat. Tyler the Creator), The Weeknd
61,62,5534,2022,lu,I AM WOMAN, Emmy Meli
62,63,5532,2022,lu,Démons, Angèle
63,64,5462,2022,lu,Love Tonight - Edit, Shouse
64,65,5435,2022,lu,Ghost, Justin Bieber
65,66,5407,2022,lu,Bruxelles je t’aime, Angèle
66,67,5366,2022,lu,Toxic, BoyWithUke
67,68,5318,2022,lu,Oh My God, Adele
68,69,5300,2022,lu,Sweater Weather, The Neighbourhood
69,70,5287,2022,lu,alotta cake, Gunna
70,71,5285,2022,lu,Need to Know, Doja Cat
71,72,5216,2022,lu,Jour meilleur, Orelsan
72,73,5160,2022,lu,Another Love, Tom Odell
73,74,5121,2022,lu,thought i was playing, Gunna
74,75,5074,2022,lu,Starry Eyes, The Weeknd
75,76,5064,2022,lu,Daddy chocolat, Koba LaD
76,77,5061,2022,lu,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
77,78,5018,2022,lu,Obsessed With You, Central Cee
78,79,4941,2022,lu,TDB, OBOY
79,80,4798,2022,lu,Little Bit of Love, Tom Grennan
80,81,4770,2022,lu,private island, Gunna
81,82,4703,2022,lu,Best life, Naps
82,83,4677,2022,lu,OUT OUT (feat. Charli XCX & Saweetie), Joel Corry
83,84,4671,2022,lu,Save Your Tears, The Weeknd
84,85,4656,2022,lu,drivers license, Olivia Rodrigo
85,86,4636,2022,lu,25k jacket (feat. Lil Ba,)  
86,87,4597,2022,lu,MONEY, LISA
87,88,4586,2022,lu,Watermelon Sugar, Harry Styles
88,89,4583,2022,lu,Never Going Home, Kungs
89,90,4580,2022,lu,Take My Breath - Single Version, The Weeknd
90,91,4568,2022,lu,MAUVAIS 2X (feat. Ninho), Gazo
91,92,4510,2022,lu,love nwantiti (feat. Dj Yo! & AX'EL) - Remix, CKay
92,93,4506,2022,lu,Shallow, Lady Gaga
93,94,4456,2022,lu,paris freestyle - skrilla remix, Pashanim
94,95,4451,2022,lu,Run, OneRepublic
95,96,4420,2022,lu,how you did that (feat. Kodak Black), Gunna
96,97,4397,2022,lu,2055, Sleepy Hallow
97,98,4395,2022,lu,Hurricane, Ofenbach
98,99,4354,2022,lu,Sommergewitter, Pashanim
99,100,4330,2022,lu,The Business, Tiësto
100,101,4294,2022,lu,Love & Lové, Kim
101,102,4257,2022,lu,A Tale By Quincy, The Weeknd
102,103,4214,2022,lu,Emiliana, CKay
103,104,4207,2022,lu,too easy, Gunna
104,105,4189,2022,lu,Don’t Break My Heart, The Weeknd
105,106,4189,2022,lu,Peaches (feat. Daniel Caesar & Giveon), Justin Bieber
106,107,4176,2022,lu,Someone You Loved, Lewis Capaldi
107,108,4174,2022,lu,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
108,109,4167,2022,lu,Gasolina (feat. Ninho), Hornet La Frappe
109,110,4136,2022,lu,mop (feat. Young Thug), Gunna
110,111,4133,2022,lu,Happier Than Ever, Billie Eilish
111,112,4125,2022,lu,Super Gremlin, Kodak Black
112,113,4124,2022,lu,Mood (feat. iann dior), 24kGoldn
113,114,4102,2022,lu,poochie gown, Gunna
114,115,4095,2022,lu,Dopamine (feat. Eyelar), Purple Disco Machine
115,116,4071,2022,lu,CANADA, 1PLIKÉ140
116,117,4015,2022,lu,Malvadão 3, Xamã
117,118,3995,2022,lu,allein allein, Ufo361
118,119,3963,2022,lu,HAINE&SEX, Gazo
119,120,3953,2022,lu,Meet Me At Our Spot, THE ANXIETY
120,121,3920,2022,lu,Fixette - Bonus, Ziak
121,122,3918,2022,lu,SG (with Ozuna Megan Thee Stallion & LISA of BLACKPINK), DJ Snake
122,123,3865,2022,lu,Gangsta's Paradise, Coolio
123,124,3856,2022,lu,Head & Heart (feat. MNEK), Joel Corry
124,125,3854,2022,lu,livin wild, Gunna
125,126,3819,2022,lu,MIDDLE OF THE NIGHT, Elley Duhé
126,127,3801,2022,lu,Better Days (NEIKED x Mae Muller x Polo G), NEIKED
127,128,3800,2022,lu,Don't Go Yet, Camila Cabello
128,129,3787,2022,lu,south to west, Gunna
129,130,3786,2022,lu,Overpass Graffiti, Ed Sheeran
130,131,3782,2022,lu,Lost in the Fire (feat. The Weeknd), Gesaffelstein
131,132,3781,2022,lu,I WANNA BE YOUR SLAVE, Måneskin
132,133,3766,2022,lu,Can't Hold Us (feat. Ray Dalton), Macklemore & Ryan Lewis
133,134,3762,2022,lu,Bande organisée, 13 Organisé
134,135,3745,2022,lu,I Love You So, The Walters
135,136,3737,2022,lu,Arcade, Duncan Laurence
136,137,3712,2022,lu,lovely (with Khalid), Billie Eilish
137,138,3707,2022,lu,I Hate U, SZA
138,139,3673,2022,lu,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
139,140,3667,2022,lu,Alors on danse - Radio Edit, Stromae
140,141,3650,2022,lu,Cover Me In Sunshine, P!nk
141,142,3638,2022,lu,Astronaut In The Ocean, Masked Wolf
142,143,3637,2022,lu,Don't Be Shy, Tiësto
143,144,3616,2022,lu,Every Angel is Terrifying, The Weeknd
144,145,3616,2022,lu,Life Goes On, Oliver Tree
145,146,3615,2022,lu,Loading, Central Cee
146,147,3607,2022,lu,Rasputin, Majestic
147,148,3601,2022,lu,Tu le sais, Kalash
148,149,3600,2022,lu,Pourquoi, Samra
149,150,3594,2022,lu,idk that bitch (feat. G Herbo), Gunna
150,151,3565,2022,lu,Love Again, Dua Lipa
151,152,3560,2022,lu,Without Me, Eminem
152,153,3550,2022,lu,you broke me first, Tate McRae
153,154,3532,2022,lu,Smokin Out The Window, Bruno Mars
154,155,3526,2022,lu,Coming for You (feat. A1 x J1), SwitchOTR
155,156,3522,2022,lu,Good,e  
156,157,3514,2022,lu,Dance Monkey, Tones And I
157,158,3505,2022,lu,Späti, Gzuz
158,159,3439,2022,lu,Young Right Now, Robin Schulz
159,160,3421,2022,lu,Before You Go, Lewis Capaldi
160,161,3413,2022,lu,Surface Pressure, Jessica Darrow
161,162,3408,2022,lu,Mon Amour - Remix, zzoilo
162,163,3386,2022,lu,Dior, Pop Smoke
163,164,3376,2022,lu,The Real Slim Shady, Eminem
164,165,3365,2022,lu,BM (London View), OTP
165,166,3345,2022,lu,Je te laisserai des mots, Patrick Watson
166,167,3330,2022,lu,Papaoutai, Stromae
167,168,3314,2022,lu,All of Me, John Legend
168,169,3310,2022,lu,SUVs, Luciano
169,170,3291,2022,lu,Down Under (feat. Colin Hay), Luude
170,171,3270,2022,lu,Lucid Dreams, Juice WRLD
171,172,3269,2022,lu,GHOST TOWN, Benson Boone
172,173,3237,2022,lu,Blaues Licht, RAF Camora
173,174,3232,2022,lu,traitor, Olivia Rodrigo
174,175,3227,2022,lu,WITHOUT YOU, The Kid LAROI
175,176,3226,2022,lu,Sunshine, OneRepublic
176,177,3224,2022,lu,Le temps, Tayc
177,178,3218,2022,lu,Smells Like Teen Spirit - Remastered, Nirvana
178,179,3201,2022,lu,Paradise (feat. Dermot Kennedy), MEDUZA
