,Rank,Streams,Year,Country,Title,Artist
0,1,37598,2021,lv,Cristal & МОЁТ, MORGENSHTERN
1,2,20815,2021,lv,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
2,3,20466,2021,lv,Снова я напиваюсь, SLAVA MARLOW
3,4,20408,2021,lv,Mood (feat. iann dior), 24kGoldn
4,5,18431,2021,lv,WITHOUT YOU, The Kid LAROI
5,6,17825,2021,lv,Whoopty, CJ
6,7,17753,2021,lv,Therefore I Am, Billie Eilish
7,8,17451,2021,lv,HOLIDAY, Lil Nas X
8,9,17221,2021,lv,Blinding Lights, The Weeknd
9,10,16981,2021,lv,Sweater Weather, The Neighbourhood
10,11,16597,2021,lv,The Business, Tiësto
11,12,14233,2021,lv,you broke me first, Tate McRae
12,13,13940,2021,lv,For The Night (feat. Lil Ba, & DaBa
13,14,13933,2021,lv,What You Know Bout Love, Pop Smoke
14,15,13647,2021,lv,Окей, Tima Belorusskih
15,16,13564,2021,lv,Head & Heart (feat. MNEK), Joel Corry
16,17,13448,2021,lv,positions, Ariana Grande
17,18,13384,2021,lv,Draugs mans, $ourJ
18,19,13029,2021,lv,Roses - Imanbek Remix, SAINt JHN
19,20,12797,2021,lv,Watermelon Sugar, Harry Styles
20,21,12661,2021,lv,Cadillac, MORGENSHTERN
21,22,12645,2021,lv,Levitating (feat. DaBa,)  
22,23,12472,2021,lv,ROCKSTAR (feat. Roddy Ricch), DaBa
23,24,12445,2021,lv,Daddy Issues, The Neighbourhood
24,25,12167,2021,lv,Star Shopping, Lil Peep
25,26,12071,2021,lv,WAP (feat. Megan Thee Stallion), Cardi B
26,27,12051,2021,lv,Paradise (feat. Dermot Kennedy), MEDUZA
27,28,11992,2021,lv,По Глазам, SLAVA MARLOW
28,29,11983,2021,lv,Быстро, SLAVA MARLOW
29,30,11957,2021,lv,Deep End, Fousheé
30,31,11923,2021,lv,34+35, Ariana Grande
31,32,11607,2021,lv,Snowman, Sia
32,33,11149,2021,lv,Afterglow, Ed Sheeran
33,34,11043,2021,lv,El Problema - prod. SLAVA MARLOW, MORGENSHTERN
34,35,10926,2021,lv,Hayloft, Mother Mother
35,36,10792,2021,lv,Why'd You Only Call Me When You're High?, Arctic Monkeys
36,37,10693,2021,lv,Goosebumps, HVME
37,38,10664,2021,lv,No Role Modelz, J. Cole
38,39,10335,2021,lv,Поболело и прошло, HENSY
39,40,10007,2021,lv,E-GIRLS ARE RUINING MY LIFE!, CORPSE
40,41,9892,2021,lv,The Box, Roddy Ricch
41,42,9834,2021,lv,Golden, Harry Styles
42,43,9764,2021,lv,HIGHEST IN THE ROOM, Travis Scott
43,44,9617,2021,lv,Blueberry Faygo, Lil Mosey
44,45,9320,2021,lv,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
45,46,9258,2021,lv,Wonder, Shawn Mendes
46,47,9212,2021,lv,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
47,48,9189,2021,lv,Dynamite, BTS
48,49,9058,2021,lv,Prisoner (feat. Dua Lipa), Miley Cyrus
49,50,9007,2021,lv,Put Your Records On, Ritt Momney
50,51,8986,2021,lv,Anyone, Justin Bieber
51,52,8761,2021,lv,Do I Wanna Know?, Arctic Monkeys
52,53,8758,2021,lv,Take You Dancing, Jason Derulo
53,54,8736,2021,lv,Lucid Dreams, Juice WRLD
54,55,8730,2021,lv,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
55,56,8726,2021,lv,goosebumps, Travis Scott
56,57,8640,2021,lv,All Girls Are The Same, Juice WRLD
57,58,8577,2021,lv,Daisy, Ashnikko
58,59,8540,2021,lv,Good Days, SZA
59,60,8503,2021,lv,Heather, Conan Gray
60,61,8433,2021,lv,SO DONE, The Kid LAROI
61,62,8419,2021,lv,Laugh Now Cry Later (feat. Lil Durk), Drake
62,63,8369,2021,lv,Dior, Pop Smoke
63,64,8320,2021,lv,Lonely (with benny blanco), Justin Bieber
64,65,8314,2021,lv,Breaking Me, Topic
65,66,8205,2021,lv,Нет Проблем, SLAVA MARLOW
66,67,8115,2021,lv,willow, Taylor Swift
67,68,8099,2021,lv,Someone You Loved, Lewis Capaldi
68,69,8088,2021,lv,Heat Waves, Glass Animals
69,70,8057,2021,lv,Your New Boyfriend, Wilbur Soot
70,71,7959,2021,lv,Memories (feat. Kid Cudi), David Guetta
71,72,7803,2021,lv,YEAH RIGHT, Joji
72,73,7797,2021,lv,Wishing Well, Juice WRLD
73,74,7791,2021,lv,Circles, Post Malone
74,75,7762,2021,lv,death bed (coffee for your head), Powfu
75,76,7755,2021,lv,After Party, Don Toliver
76,77,7740,2021,lv,Falling, Trevor Daniel
77,78,7696,2021,lv,X.O, The Limba
78,79,7642,2021,lv,Adore You, Harry Styles
79,80,7633,2021,lv,Robbery, Juice WRLD
80,81,7589,2021,lv,Come & Go (with Marshmello), Juice WRLD
81,82,7550,2021,lv,Life Is Good (feat. Drake), Future
82,83,7472,2021,lv,Dancing in My Room, 347aidan
83,84,7435,2021,lv,Rolls Royce, Geegun
84,85,7354,2021,lv,Body, Megan Thee Stallion
85,86,7252,2021,lv,Reminds Me Of You, Juice WRLD
86,87,7226,2021,lv,GOSHA, $NOT
87,88,7221,2021,lv,Still Don't Know My Name, Labrinth
88,89,7211,2021,lv,hot girl bummer, blackbear
89,90,7202,2021,lv,I Got Love, MiyaGi & Endspiel
90,91,7202,2021,lv,ICE (feat. MORGENSHTERN), MORGENSHTERN
91,92,7153,2021,lv,Blood // Water, grandson
92,93,7012,2021,lv,Jocelyn Flores, XXXTENTACION
93,94,7006,2021,lv,Riptide, Vance Joy
94,95,7003,2021,lv,РАТАТАТАТА, MORGENSHTERN
95,96,6864,2021,lv,Ride It, Regard
96,97,6835,2021,lv,WHATS POPPIN, Jack Harlow
97,98,6820,2021,lv,Fendi, Rakhim
98,99,6806,2021,lv,WATAFUK?!, MORGENSHTERN
99,100,6753,2021,lv,Way Out (feat. Big Sean), Jack Harlow
100,101,6751,2021,lv,Electric Love, BØRNS
