,Rank,Streams,Year,Country,Title,Artist
0,1,11636,2018,ma,Dalida, Soolking
1,2,9641,2018,ma,Vroom vroom, Soolking
2,3,8587,2018,ma,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
3,4,8562,2018,ma,Guerilla, Soolking
4,5,8390,2018,ma,thank u next, Ariana Grande
5,6,8019,2018,ma,Rockstar, Soolking
6,7,7118,2018,ma,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
7,8,6990,2018,ma,Piccola, ElGrandeToto
8,9,6876,2018,ma,Amsterdam, Soolking
9,10,6754,2018,ma,Without Me, Halsey
10,11,6663,2018,ma,Cosa Nostra, Soolking
11,12,6517,2018,ma,MIA (feat. Drake), Bad Bunny
12,13,6266,2018,ma,SICKO MODE, Travis Scott
13,14,6119,2018,ma,Bambina, Soolking
14,15,5858,2018,ma,Fruit de la zone - Bonus Track, Soolking
15,16,5658,2018,ma,Bouheli, Balti
16,17,5478,2018,ma,Tata, Soolking
17,18,5416,2018,ma,Mirage, Soolking
18,19,5282,2018,ma,Décapotable, Zouhair Bahaoui
19,20,5209,2018,ma,Slay (feat. ElGrandeToto), Manal
20,21,5176,2018,ma,ZEZE (feat. Travis Scott & Offset), Kodak Black
21,22,5085,2018,ma,Moonlight, XXXTENTACION
22,23,4972,2018,ma,Soso, Lbenj
23,24,4756,2018,ma,BAD!, XXXTENTACION
24,25,4756,2018,ma,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
25,26,4429,2018,ma,Yema, 7liwa
26,27,4426,2018,ma,Choukran, 7ari
27,28,4396,2018,ma,SAD!, XXXTENTACION
28,29,4366,2018,ma,Chopin, ElGrandeToto
29,30,4326,2018,ma,Amoureux tombé, Lbenj
30,31,4297,2018,ma,Déjà-vu, ElGrandeToto
31,32,4285,2018,ma,when the party's over, Billie Eilish
32,33,4272,2018,ma,Youv, Soolking
33,34,4151,2018,ma,Nodawanod, ElGrandeToto
34,35,4143,2018,ma,Happier, Marshmello
35,36,4138,2018,ma,Better, Khalid
36,37,3980,2018,ma,Waste It On Me, Steve Aoki
37,38,3920,2018,ma,Picanto, ElGrandeToto
38,39,3865,2018,ma,Pablo, ElGrandeToto
39,40,3824,2018,ma,HLM, Soolking
40,41,3751,2018,ma,Ruin My Life, Zara Larsson
