,Rank,Streams,Year,Country,Title,Artist
0,1,3116146,2018,mx,Corazón, Maluma
1,2,3060940,2018,mx,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
2,3,2921504,2018,mx,Bella, Wolfine
3,4,2842962,2018,mx,Criminal, Natti Natasha
4,5,2319928,2018,mx,Sensualidad, Bad Bunny
5,6,2276907,2018,mx,Échame La Culpa, Luis Fonsi
6,7,2199089,2018,mx,Downtown, Anitta
7,8,2061204,2018,mx,Se Preparó, Ozuna
8,9,1826475,2018,mx,Mayores, Becky G
9,10,1790959,2018,mx,Perro Fiel (feat. Nicky Jam), Shakira
10,11,1724702,2018,mx,Que Va, Alex Sensation
11,12,1723383,2018,mx,SUTRA, Sebastian Yatra
12,13,1639260,2018,mx,Me Rehúso, Danny Ocean
13,14,1546936,2018,mx,Bonita, J Balvin
14,15,1470309,2018,mx,Robarte un Beso, Carlos Vives
15,16,1438161,2018,mx,GPS (feat. French Montana), Maluma
16,17,1419285,2018,mx,Una Lady Como Tú, Manuel Turizo
17,18,1381442,2018,mx,New Rules, Dua Lipa
18,19,1375617,2018,mx,Báilame - Remix, Nacho
19,20,1328028,2018,mx,Suena El Dembow, Joey Montana
20,21,1295763,2018,mx,3 A.M., Jesse & Joy
21,22,1258220,2018,mx,Escápate Conmigo (feat. Ozuna), Wisin
22,23,1237226,2018,mx,Dembow, Danny Ocean
23,24,1195391,2018,mx,rockstar, Post Malone
24,25,1181037,2018,mx,Déjate Llevar, Juan Magán
25,26,1146846,2018,mx,El Color de Tus Ojos, Banda MS de Sergio Lizárraga
26,27,1127337,2018,mx,Wolves, Selena Gomez
27,28,1122807,2018,mx,Felices los 4, Maluma
28,29,1097917,2018,mx,#Natural, Paty Cantú
29,30,1083687,2018,mx,Mi Gente, J Balvin
30,31,1075122,2018,mx,Vuelve, Daddy Yankee
31,32,1028939,2018,mx,Bella y Sensual, Romeo Santos
32,33,1019428,2018,mx,Havana (feat. Young Thug), Camila Cabello
33,34,1002399,2018,mx,What Lovers Do (feat. SZA), Maroon 5
34,35,986066,2018,mx,Havana - Remix, Camila Cabello
35,36,976158,2018,mx,Shape of You, Ed Sheeran
36,37,950669,2018,mx,Perfect, Ed Sheeran
37,38,949299,2018,mx,Ahora Dice, Chris Jedi
38,39,947254,2018,mx,Esperándote, Manuel Turizo
39,40,928278,2018,mx,Tú Foto, Ozuna
40,41,921767,2018,mx,Besos En Guerra, Morat
41,42,921031,2018,mx,Probablemente, Christian Nodal
42,43,906079,2018,mx,El Farsante, Ozuna
43,44,905794,2018,mx,Gucci Gang, Lil Pump
44,45,882853,2018,mx,This Is Me, Keala Settle
45,46,882827,2018,mx,Amigos No por Favor (Primera Fila) - En Vivo, Yuridia
46,47,853807,2018,mx,Thunder, Imagine Dragons
47,48,828867,2018,mx,Too Good At Good,es  
48,49,806306,2018,mx,Bum Bum Tam Tam, MC Fioti
49,50,803994,2018,mx,Explícale (feat. Bad Bunny), Yandel
50,51,748464,2018,mx,Rewrite The Stars, Zac Efron
51,52,722594,2018,mx,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
52,53,719772,2018,mx,100 Años, Ha*Ash
53,54,680974,2018,mx,La Rompe Corazones, Daddy Yankee
54,55,672089,2018,mx,Quiero Repetir, Ozuna
55,56,665770,2018,mx,Hey DJ, CNCO
56,57,661796,2018,mx,Como Antes (feat. Wisin), Yandel
57,58,642992,2018,mx,The Greatest Show, Hugh Jackman
58,59,629305,2018,mx,Adiós Amor, Christian Nodal
59,60,613569,2018,mx,Otra vez (feat. J Balvin), Zion & Lennox
60,61,599799,2018,mx,Never Enough, Loren Allred
61,62,597445,2018,mx,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
62,63,587817,2018,mx,Síguelo Bailando, Ozuna
63,64,583106,2018,mx,Chambea, Bad Bunny
64,65,575786,2018,mx,Despacito (Featuring Daddy Yankee), Luis Fonsi
65,66,569860,2018,mx,Traicionera, Sebastian Yatra
66,67,567242,2018,mx,How Long, Charlie Puth
67,68,558962,2018,mx,River (feat. Ed Sheeran), Eminem
68,69,549467,2018,mx,Me llamas (feat. Maluma) - Remix, Piso 21
69,70,541541,2018,mx,A Million Dreams, Ziv Zaifman
70,71,531760,2018,mx,Krippy Kush, Farruko
71,72,525398,2018,mx,Loco Enamorado, Abraham Mateo
72,73,523883,2018,mx,Besame, Valentino
73,74,512617,2018,mx,Amárrame, Mon Laferte
74,75,510557,2018,mx,Regálame, Mario Bautista
