,Rank,Streams,Year,Country,Title,Artist
0,1,374971,2019,my,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
1,2,311424,2019,my,thank u next, Ariana Grande
2,3,274108,2019,my,Without Me, Halsey
3,4,253282,2019,my,SOLO, JENNIE
4,5,243016,2019,my,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version, Skylar Grey
5,6,220030,2019,my,Be Alright, Dean Lewis
6,7,190228,2019,my,Love Someone, Lukas Graham
7,8,179980,2019,my,Wow., Post Malone
8,9,171618,2019,my,Beautiful (feat. Camila Cabello), Bazzi
9,10,170552,2019,my,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
10,11,167204,2019,my,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
11,12,166154,2019,my,Saturday Nights, Khalid
12,13,161026,2019,my,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
13,14,153464,2019,my,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
14,15,146855,2019,my,Better, Khalid
15,16,144174,2019,my,Eastside (with Halsey & Khalid), benny blanco
16,17,139456,2019,my,Kiss and Make Up, Dua Lipa
17,18,136697,2019,my,Happier, Marshmello
18,19,134747,2019,my,8 Letters, Why Don't We
19,20,133784,2019,my,imagine, Ariana Grande
20,21,130375,2019,my,High Hopes, Panic! At The Disco
21,22,129952,2019,my,Sweet but Psycho, Ava Max
22,23,119564,2019,my,Pulang, Insomniacks
23,24,115098,2019,my,Thunderclouds, Sia
24,25,114969,2019,my,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
25,26,113585,2019,my,Bad Liar, Imagine Dragons
26,27,108149,2019,my,Love Shot, EXO
27,28,108025,2019,my,You Are The Reason, Calum Scott
28,29,107095,2019,my,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
29,30,106532,2019,my,Shallow, Lady Gaga
30,31,106286,2019,my,Empty Space, James Arthur
31,32,103276,2019,my,DDU-DU DDU-DU - KR Ver., BLACKPINK
32,33,103120,2019,my,Waste It On Me, Steve Aoki
33,34,102010,2019,my,when the party's over, Billie Eilish
34,35,100084,2019,my,2002, Anne-Marie
35,36,96770,2019,my,Say You Won't Let Go, James Arthur
36,37,95007,2019,my,Let Me Down Slowly, Alec Benjamin
37,38,94568,2019,my,This Feeling, The Chainsmokers
38,39,93410,2019,my,YES or YES, TWICE
39,40,93088,2019,my,Better Now, Post Malone
40,41,92198,2019,my,lovely, Billie Eilish
41,42,92099,2019,my,I’M OK, iKON
42,43,92041,2019,my,Hope, The Chainsmokers
43,44,90091,2019,my,Too Good At Good,es  
44,45,89889,2019,my,Kepuraanmu, Luqman Faiz
45,46,89623,2019,my,I Like Me Better, Lauv
46,47,86841,2019,my,Ruin My Life, Zara Larsson
47,48,85356,2019,my,"Fire On Fire - From ""Watership Down""", Sam Smith
