,Rank,Streams,Year,Country,Title,Artist
0,1,20018,2018,ni,Sensualidad, Bad Bunny
1,2,17013,2018,ni,Criminal, Natti Natasha
2,3,16386,2018,ni,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
3,4,15519,2018,ni,Quiero Repetir, Ozuna
4,5,15295,2018,ni,Échame La Culpa, Luis Fonsi
5,6,14157,2018,ni,Se Preparó, Ozuna
6,7,14049,2018,ni,Downtown, Anitta
7,8,13751,2018,ni,Que Va, Alex Sensation
8,9,13525,2018,ni,Corazón, Maluma
9,10,12339,2018,ni,Mayores, Becky G
10,11,12062,2018,ni,Chambea, Bad Bunny
11,12,11697,2018,ni,Me Rehúso, Danny Ocean
12,13,11676,2018,ni,Vuelve, Daddy Yankee
13,14,11200,2018,ni,Robarte un Beso, Carlos Vives
14,15,10776,2018,ni,Báilame - Remix, Nacho
15,16,9716,2018,ni,New Rules, Dua Lipa
16,17,9639,2018,ni,Perro Fiel (feat. Nicky Jam), Shakira
17,18,9616,2018,ni,Perfect, Ed Sheeran
18,19,9090,2018,ni,Havana (feat. Young Thug), Camila Cabello
19,20,8990,2018,ni,rockstar, Post Malone
20,21,8980,2018,ni,Suena El Dembow, Joey Montana
21,22,8931,2018,ni,Escápate Conmigo (feat. Ozuna), Wisin
22,23,8685,2018,ni,Shape of You, Ed Sheeran
23,24,8442,2018,ni,Ahora Dice, Chris Jedi
24,25,8387,2018,ni,Bonita, J Balvin
25,26,8373,2018,ni,Mi Gente, J Balvin
26,27,8015,2018,ni,Bella y Sensual, Romeo Santos
27,28,7753,2018,ni,El Farsante, Ozuna
28,29,7750,2018,ni,Cásate Conmigo, Silvestre Dangond
29,30,7730,2018,ni,Havana - Remix, Camila Cabello
30,31,7525,2018,ni,Dembow, Danny Ocean
31,32,7491,2018,ni,Una Lady Como Tú, Manuel Turizo
32,33,7486,2018,ni,Bum Bum Tam Tam, MC Fioti
33,34,7312,2018,ni,Sola, Anuel AA
34,35,7210,2018,ni,Adiós Amor, Christian Nodal
35,36,6986,2018,ni,Explícale (feat. Bad Bunny), Yandel
36,37,6869,2018,ni,Olha a Explosão, MC Kevinho
37,38,6732,2018,ni,3 A.M., Jesse & Joy
38,39,6653,2018,ni,Felices los 4, Maluma
39,40,6437,2018,ni,Wolves, Selena Gomez
40,41,6082,2018,ni,Tú Foto, Ozuna
41,42,5948,2018,ni,What Lovers Do (feat. SZA), Maroon 5
42,43,5749,2018,ni,SUTRA, Sebastian Yatra
