,Rank,Streams,Year,Country,Title,Artist
0,1,1654509,2020,nl,Blinding Lights, The Weeknd
1,2,1580882,2020,nl,Dance Monkey, Tones And I
2,3,1378339,2020,nl,Pa Olvidarte, Emma Heesters
3,4,1286614,2020,nl,ROXANNE, Arizona Zervas
4,5,1199909,2020,nl,Memories, Maroon 5
5,6,1117345,2020,nl,Don't Start Now, Dua Lipa
6,7,1062986,2020,nl,Yummy, Justin Bieber
7,8,1048230,2020,nl,everything i wanted, Billie Eilish
8,9,984371,2020,nl,Circles, Post Malone
9,10,952711,2020,nl,Ride It, Regard
10,11,935854,2020,nl,Falling, Trevor Daniel
11,12,891955,2020,nl,Before You Go, Lewis Capaldi
12,13,850885,2020,nl,Ze Huilt Maar Ze Lacht, Maan
13,14,848726,2020,nl,My Oh My (feat. DaBa,)  
14,15,833541,2020,nl,Roller Coaster, Danny Vera
15,16,793663,2020,nl,3 Nights, Dominic Fike
16,17,735567,2020,nl,Ze Kent Mij, Snelle
17,18,731293,2020,nl,HYENA’S, Idaly
18,19,727498,2020,nl,Lose Control, MEDUZA
19,20,726825,2020,nl,Lose You To Love Me, Selena Gomez
20,21,700981,2020,nl,Stil In Mij (Verspijkerd), Josylvio
21,22,698411,2020,nl,In Die Life, JoeyAK
22,23,687201,2020,nl,Adore You, Harry Styles
23,24,664219,2020,nl,Reünie, Snelle
24,25,656006,2020,nl,Someone You Loved, Lewis Capaldi
25,26,646740,2020,nl,Lippenstift, Marco Borsato
26,27,642842,2020,nl,The Box, Roddy Ricch
27,28,594814,2020,nl,Liar, Camila Cabello
28,29,592604,2020,nl,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
29,30,578102,2020,nl,hot girl bummer, blackbear
30,31,571081,2020,nl,Hoe Het Danst, Marco Borsato
31,32,569276,2020,nl,Narcotic, YouNotUs
32,33,546183,2020,nl,DomDoen, Henkie T
33,34,544742,2020,nl,Post Malone (feat. RANI), Sam Feldt
34,35,544351,2020,nl,Used To Love (with Dean Lewis), Martin Garrix
35,36,538543,2020,nl,Señorita, Shawn Mendes
36,37,520110,2020,nl,Mami So Bad, Frenna
37,38,515832,2020,nl,My Love., Inez
38,39,501190,2020,nl,10000 Hours (with Justin Bieber), Dan + Shay
39,40,498643,2020,nl,My Bébé, Bryan Mg
40,41,496616,2020,nl,Uncharted, Kensington
41,42,489356,2020,nl,Nu Heb Ik Paper, Glades
42,43,486435,2020,nl,Turn Me On (feat. Vula), Riton
43,44,482135,2020,nl,If the World Was Ending (feat. Julia Michaels), JP Saxe
44,45,480711,2020,nl,Voor Je Deur, Snelle
45,46,467408,2020,nl,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
46,47,467002,2020,nl,bad guy, Billie Eilish
47,48,463424,2020,nl,Roses - Imanbek Remix, SAINt JHN
48,49,461466,2020,nl,How Do You Sleep?, Sam Smith
49,50,457712,2020,nl,Only Human, Jonas Brothers
50,51,423803,2020,nl,Sterling, Broederliefde
51,52,421686,2020,nl,Lucid Dreams, Juice WRLD
52,53,418234,2020,nl,Blauwe Dag, Suzan & Freek
53,54,416539,2020,nl,Duurt Te Lang, Davina Michelle
54,55,410897,2020,nl,Nice To Meet Ya, Niall Horan
55,56,404988,2020,nl,Zo Kan Het Dus Ook, Maan
