,Rank,Streams,Year,Country,Title,Artist
0,1,1371925,2017,no,Shape of You, Ed Sheeran
1,2,933624,2017,no,Alone, Alan Walker
2,3,862188,2017,no,Castle on the Hill, Ed Sheeran
3,4,838204,2017,no,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
4,5,767308,2017,no,Rocka,e (feat. Sean Paul & Anne-Marie)  
5,6,568677,2017,no,Make Me (Cry), Noah Cyrus
6,7,567663,2017,no,Hear Me Now, Alok
7,8,539268,2017,no,I Feel It Coming, The Weeknd
8,9,536820,2017,no,Call On Me - Ryan Riback Extended Remix, Starley
9,10,501674,2017,no,Lighthouse - Andrelli Remix, Hearts & Colors
10,11,491690,2017,no,Solo Dance, Martin Jensen
11,12,465216,2017,no,Say You Won't Let Go, James Arthur
12,13,441247,2017,no,Move Your Body - Alan Walker Remix, Sia
13,14,433330,2017,no,All Night, The Vamps
14,15,408408,2017,no,Starboy, The Weeknd
15,16,374695,2017,no,En Siste Gang, Staysman & Lazz
16,17,372797,2017,no,What Do You Love, Seeb
17,18,344919,2017,no,Just Hold On, Steve Aoki
18,19,339052,2017,no,Sexual, NEIKED
19,20,337258,2017,no,Closer, The Chainsmokers
20,21,326851,2017,no,Black Beatles, Rae Sremmurd
21,22,317367,2017,no,Don't Wanna Know, Maroon 5
22,23,309979,2017,no,Don't Leave, Snakehips
23,24,304998,2017,no,I Would Like, Zara Larsson
24,25,282810,2017,no,Shed a Light, Robin Schulz
25,26,273047,2017,no,Let Me Love You, DJ Snake
26,27,268777,2017,no,Nervous (The Ooh Song) - Mark McCabe Remix, Gavin James
27,28,268149,2017,no,Side To Side, Ariana Grande
28,29,263609,2017,no,Inside the Lines (feat. Casso), Mike Perry
29,30,257291,2017,no,All We Know, The Chainsmokers
30,31,251211,2017,no,Faded, Alan Walker
31,32,250349,2017,no,24K Magic, Bruno Mars
32,33,244762,2017,no,Mercy, Shawn Mendes
33,34,240768,2017,no,Our City (feat. Emilie Adams), TRXD
34,35,240348,2017,no,Starving, Hailee Steinfeld
35,36,231213,2017,no,Places, Martin Solveig
36,37,229611,2017,no,Heart Won't Forget, Matoma
37,38,227357,2017,no,Bad Things (with Camila Cabello), Machine Gun Kelly
38,39,224934,2017,no,Dynamite (feat. Pretty Sister), Nause
39,40,221273,2017,no,In the Name of Love, Martin Garrix
40,41,221122,2017,no,The Greatest (feat. Kendrick Lamar), Sia
41,42,214153,2017,no,Beast, Tungevaag
42,43,212361,2017,no,Kjærlighet er mer enn forelskelse, LOKE
43,44,206403,2017,no,Tårnet til Carlsen (feat. Simen Agdestein), Staysman & Lazz
44,45,203887,2017,no,Cold Water (feat. Justin Bieber & MØ), Major Lazer
45,46,203502,2017,no,Fake Love, Drake
46,47,203145,2017,no,Sing Me to Sleep, Alan Walker
47,48,193246,2017,no,Starboy - Kygo Remix, The Weeknd
