,Rank,Streams,Year,Country,Title,Artist
0,1,169778,2020,pa,Tusa, KAROL G
1,2,130563,2020,pa,Sigues Con El, Arcangel
2,3,112876,2020,pa,Vete, Bad Bunny
3,4,87958,2020,pa,Fantasias, Rauw Alejandro
4,5,85724,2020,pa,Hola - Remix, Dalex
5,6,83250,2020,pa,China, Anuel AA
6,7,81747,2020,pa,Si Te Vas, Sech
7,8,76911,2020,pa,RITMO (Bad Boys For Life), Black Eyed Peas
8,9,76058,2020,pa,LA CANCIÓN, J Balvin
9,10,71626,2020,pa,Whine Up, Nicky Jam
10,11,70583,2020,pa,Adicto (with Anuel AA & Ozuna), Tainy
11,12,68110,2020,pa,Quizas, Rich Music LTD
12,13,65423,2020,pa,Callaita, Bad Bunny
13,14,64500,2020,pa,Bellaquita - Remix, Dalex
14,15,60992,2020,pa,Dance Monkey, Tones And I
15,16,60542,2020,pa,Infeliz, Arcangel
16,17,60063,2020,pa,No Me Conoce - Remix, Jhay Cortez
17,18,59275,2020,pa,Que Tire Pa Lante, Daddy Yankee
18,19,56665,2020,pa,Loco, Beéle
19,20,54479,2020,pa,Aventura, Lunay
20,21,54019,2020,pa,Yummy, Justin Bieber
21,22,52877,2020,pa,Tutu, Camilo
22,23,46831,2020,pa,Yo x Ti Tu x Mi, ROSALÍA
23,24,46425,2020,pa,Pa Mí - Remix, Dalex
24,25,45688,2020,pa,Cuerpo en Venta, Noriel
25,26,45429,2020,pa,Bellaquita, Dalex
26,27,43804,2020,pa,Soltera - Remix, Lunay
27,28,43601,2020,pa,Imaginate, Rich Music LTD
28,29,43427,2020,pa,Fantasía, Ozuna
29,30,43109,2020,pa,Cuaderno, Dalex
30,31,42894,2020,pa,Otro Trago - Remix, Sech
31,32,42340,2020,pa,Perreo en La Luna, Rich Music LTD
32,33,41971,2020,pa,Si Se Da - Remix, Myke Towers
33,34,41234,2020,pa,El Favor (with Nicky Jam & Sech feat. Farruko Zion & Lunay), Dímelo Flow
34,35,40428,2020,pa,Indeciso, Reik
35,36,40303,2020,pa,Que Mas Pues - Remix, Sech
36,37,39539,2020,pa,Atrévete, Nicky Jam
37,38,37169,2020,pa,Uniforme, Rich Music LTD
38,39,36759,2020,pa,Blanco, J Balvin
39,40,36283,2020,pa,Verte Ir, DJ Luian
40,41,35406,2020,pa,Coronao Now, El Alfa
41,42,35003,2020,pa,La Isla (with Sech & Dalex feat. Justin Quiles La Exce Feid Zion), Dímelo Flow
42,43,34538,2020,pa,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
43,44,34398,2020,pa,Señorita, Shawn Mendes
44,45,34130,2020,pa,La Playa - Remix, Myke Towers
45,46,33953,2020,pa,QUE PRETENDES, J Balvin
46,47,33373,2020,pa,Otro Trago, Sech
47,48,32837,2020,pa,Con Altura, ROSALÍA
48,49,32659,2020,pa,Falling, Trevor Daniel
49,50,31471,2020,pa,Gan-Ga - Remix, Bryant Myers
