,Rank,Streams,Year,Country,Title,Artist
0,1,1200914,2021,pe,BICHOTA, KAROL G
1,2,1139042,2021,pe,DÁKITI, Bad Bunny
2,3,836966,2021,pe,Hecha Pa' Mi, Boza
3,4,828194,2021,pe,BEBÉ, Camilo
4,5,738507,2021,pe,Chica Ideal, Sebastian Yatra
5,6,738272,2021,pe,Reloj, Rauw Alejandro
6,7,722868,2021,pe,LA NOCHE DE ANOCHE, Bad Bunny
7,8,695095,2021,pe,Hawái, Maluma
8,9,614476,2021,pe,Jeans, Justin Quiles
9,10,597210,2021,pe,Relación - Remix, Sech
10,11,584202,2021,pe,Vida de Rico, Camilo
11,12,572919,2021,pe,Bandido, Myke Towers
12,13,561488,2021,pe,Parce (feat. Justin Quiles), Maluma
13,14,531050,2021,pe,La Tóxica, Farruko
14,15,509661,2021,pe,Ay DiOs Mío!, KAROL G
15,16,493106,2021,pe,Despeinada, Ozuna
16,17,486086,2021,pe,La Curiosidad, Jay Wheeler
17,18,481056,2021,pe,Mi Niña, Wisin
18,19,477825,2021,pe,La Nota, Manuel Turizo
19,20,467597,2021,pe,Se Te Nota (with Guaynaa), Lele Pons
20,21,437553,2021,pe,Tattoo - Remix with Camilo, Rauw Alejandro
21,22,433822,2021,pe,Si Me Tomo Una Cerveza, Migrantes
22,23,409745,2021,pe,Una Locura, Ozuna
23,24,394210,2021,pe,Mi Cuarto, Jerry Di
24,25,373606,2021,pe,La Jeepeta - Remix, Nio Garcia
25,26,348494,2021,pe,Nada, Cali Y El Dandee
26,27,337034,2021,pe,TE MUDASTE, Bad Bunny
27,28,335372,2021,pe,Ponte Pa' Mi, Justin Quiles
28,29,329879,2021,pe,Tan Enamorados, CNCO
29,30,317531,2021,pe,Miedito o Qué? (feat. KAROL G), Ovy On The Drums
30,31,305457,2021,pe,Polvo, Nicky Jam
31,32,293909,2021,pe,GIRL LIKE ME, Black Eyed Peas
32,33,291668,2021,pe,Más De La Una, Piso 21
33,34,284580,2021,pe,De Cora <3, Rauw Alejandro
34,35,268738,2021,pe,Elegí (feat. Dímelo Flow), Rauw Alejandro
35,36,266907,2021,pe,Blinding Lights, The Weeknd
36,37,263186,2021,pe,Tusa, KAROL G
37,38,258943,2021,pe,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
38,39,256537,2021,pe,La Luz, Sech
39,40,255073,2021,pe,Dynamite, BTS
40,41,249303,2021,pe,Los Besos, Greeicy
41,42,247238,2021,pe,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
42,43,246974,2021,pe,De Vuelta Pa' La Vuelta, Daddy Yankee
43,44,243125,2021,pe,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
44,45,240767,2021,pe,Favorito, Camilo
45,46,234487,2021,pe,Travesuras, Flow La Movie
46,47,218721,2021,pe,Caramelo - Remix, Ozuna
47,48,218162,2021,pe,Azul, J Balvin
48,49,217456,2021,pe,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
49,50,209021,2021,pe,Hola - Remix, Dalex
50,51,188975,2021,pe,Tú Me Dejaste De Querer, C. Tangana
51,52,187304,2021,pe,No Te Enamores - Remix, Milly
52,53,186283,2021,pe,Quiéreme Mientras Se Pueda, Manuel Turizo
53,54,181538,2021,pe,Aparentemente 2, Arcangel
54,55,179323,2021,pe,Caramelo, Ozuna
55,56,176544,2021,pe,En Peligro de Extinción, Bembe Orquesta
56,57,175275,2021,pe,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
57,58,175101,2021,pe,Amor a Primera Vista, Deyvis Orosco
58,59,173859,2021,pe,No Bailes Sola, Danna Paola
59,60,173280,2021,pe,Safaera, Bad Bunny
60,61,171241,2021,pe,Hasta Abajo, Kevin Roldan
61,62,164087,2021,pe,BOOKER T, Bad Bunny
62,63,160559,2021,pe,Ayer Me Llamó Mi Ex – Remix, KHEA
63,64,158796,2021,pe,Seguro Te Pierdo, Sergi
64,65,156177,2021,pe,Por Primera Vez, Camilo
65,66,155082,2021,pe,Vamos a Escapar - Salsa Version, Alvaro Rod
66,67,153268,2021,pe,HACIENDO QUE ME AMAS, Bad Bunny
67,68,153253,2021,pe,Djadja (feat. Maluma) - Remix, Aya Nakamura
68,69,151617,2021,pe,Te Vi, Piso 21
69,70,150788,2021,pe,Como Si Nada, ADSO
70,71,147945,2021,pe,Life Goes On, BTS
71,72,144512,2021,pe,Madrid (feat. Myke Towers), Maluma
72,73,140933,2021,pe,El Efecto - Remix, Rauw Alejandro
73,74,140896,2021,pe,Don't Start Now, Dua Lipa
74,75,138674,2021,pe,Si Veo a Tu Mamá, Bad Bunny
