,Rank,Streams,Year,Country,Title,Artist
0,1,2380123,2020,ph,Catriona, Matthaios
1,2,1865670,2020,ph,Memories, Maroon 5
2,3,1767014,2020,ph,Imahe, Magnus Haven
3,4,1717009,2020,ph,ROXANNE, Arizona Zervas
4,5,1520026,2020,ph,Yummy, Justin Bieber
5,6,1468753,2020,ph,Pagtingin, Ben&Ben
6,7,1432757,2020,ph,Tala, Sarah Geronimo
7,8,1428742,2020,ph,Make It With You, Ben&Ben
8,9,1333379,2020,ph,Mean It, Lauv
9,10,1238036,2020,ph,Binalewala - Original Version, Michael Dutchi Libranda
10,11,1230738,2020,ph,10000 Hours (with Justin Bieber), Dan + Shay
11,12,1186796,2020,ph,Neneng B, Nik Makino
12,13,1171198,2020,ph,Zebbiana, Skusta Clee
13,14,1114975,2020,ph,Psycho, Red Velvet
14,15,1094640,2020,ph,Hindi Tayo Pwede, The Juans
15,16,1089400,2020,ph,Don't Start Now, Dua Lipa
16,17,1063375,2020,ph,Circles, Post Malone
17,18,1033658,2020,ph,Ayy Macarena, Tyga
18,19,971157,2020,ph,Masyado Pang Maaga, Ben&Ben
19,20,905607,2020,ph,Sa Susunod Na Lang, PDL
20,21,895611,2020,ph,Someone You Loved, Lewis Capaldi
21,22,846556,2020,ph,Kathang Isip, Ben&Ben
22,23,843485,2020,ph,comethru, Jeremy Zucker
23,24,830532,2020,ph,Beautiful People (feat. Khalid), Ed Sheeran
24,25,829137,2020,ph,Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack), December Avenue
25,26,790743,2020,ph,Lose You To Love Me, Selena Gomez
26,27,786230,2020,ph,I Don't Care (with Justin Bieber), Ed Sheeran
27,28,771256,2020,ph,Dance Monkey, Tones And I
28,29,735439,2020,ph,I.F.L.Y., Bazzi
29,30,722613,2020,ph,Sana - Single Version, I Belong to the Zoo
30,31,720595,2020,ph,Kung 'Di Rin Lang Ikaw, December Avenue
31,32,717229,2020,ph,Ikaw At Ako, Moira Dela Torre
32,33,713221,2020,ph,Sanctuary, Joji
33,34,710877,2020,ph,Dahan, December Avenue
34,35,703826,2020,ph,It's You, Ali Gatie
35,36,701568,2020,ph,Adore You, Harry Styles
36,37,694720,2020,ph,Maybe The Night, Ben&Ben
37,38,691957,2020,ph,Get You The Moon (feat. Snøw), Kina
38,39,665155,2020,ph,I Want You Back, Matthaios
39,40,632261,2020,ph,Araw-Araw, Ben&Ben
40,41,626748,2020,ph,Señorita, Shawn Mendes
41,42,620177,2020,ph,Feelings, Lauv
42,43,619157,2020,ph,Dalaga, Arvey
43,44,602995,2020,ph,Make It Right (feat. Lauv), BTS
44,45,599222,2020,ph,How Do You Sleep?, Sam Smith
45,46,597384,2020,ph,fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”, Lauv
46,47,576550,2020,ph,Sa Ngalan Ng Pag-Ibig, December Avenue
47,48,572256,2020,ph,Into the Unknown, Idina Menzel
48,49,565928,2020,ph,Nobody Knows, Russ
49,50,565469,2020,ph,Miracle Nights, ALLMO$T
50,51,550486,2020,ph,Falling, Trevor Daniel
51,52,542439,2020,ph,Can We Kiss Forever?, Kina
