,Rank,Streams,Year,Country,Title,Artist
0,1,1100151,2022,pl,Rozmazana kreska, Kinny Zimmer
1,2,1094255,2022,pl,Origami, Ronnie Ferrari
2,3,1047444,2022,pl,Powww!, Sentino
3,4,1046358,2022,pl,Szafir, Mata
4,5,1037256,2022,pl,Harnaś ice tea, Gawryle
5,6,904613,2022,pl,Duże Oczy, Smolasty
6,7,898244,2022,pl,YO MAMALE, FRIZ
7,8,863225,2022,pl,Benz-Dealer, Kinny Zimmer
8,9,828922,2022,pl,COCO, mgng
9,10,810480,2022,pl,Sebiksy, Kacperczyk
10,11,790851,2022,pl,Cześć jak się masz?, Sobel
11,12,784221,2022,pl,Parapetówa, SB Maffija
12,13,782478,2022,pl,Ostatnia nocka ale to DRILL, młody klakson
13,14,675595,2022,pl,LOUDA, MASNY BEN
14,15,669689,2022,pl,Szmata, Mata
15,16,669099,2022,pl,Disney, Kizo
16,17,638747,2022,pl,Kiss cam, Mata
17,18,606173,2022,pl,kolońska i szlugi, sanah
18,19,600797,2022,pl,MC, Mata
19,20,599233,2022,pl,Heat Waves, Glass Animals
20,21,584005,2022,pl,THC, Young Igi
21,22,573489,2022,pl,I Ciebie też bardzo (feat. Daria Zawiałow Dawid Podsiadło & Vito Bambino), Męskie Granie Orkiestra 2021
22,23,570131,2022,pl,abcdefu, GAYLE
23,24,561776,2022,pl,Papuga, Mata
24,25,552482,2022,pl,Antonio Banderas, Diho
25,26,551503,2022,pl,Blask, Reto
26,27,550763,2022,pl,Szy,  
27,28,539625,2022,pl,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
28,29,484358,2022,pl,Cold Heart - PNAU Remix, Elton John
29,30,479465,2022,pl,Jungle Girl, Young Leosia
30,31,469804,2022,pl,Jeszcze pięć minut, Kizo
31,32,465241,2022,pl,3 Telefony, Malik Montana
32,33,464907,2022,pl,Deszcz, Qry
33,34,453388,2022,pl,STAY (with Justin Bieber), The Kid LAROI
34,35,451225,2022,pl,Do It To It, ACRAZE
35,36,447149,2022,pl,Drobna zabawa, Magiera
36,37,430753,2022,pl,BELWEDER (omamale), mgng
37,38,430483,2022,pl,The Motto, Tiësto
38,39,426119,2022,pl,Paranoia, Daria
39,40,417683,2022,pl,Where Are You Now, Lost Frequencies
40,41,416943,2022,pl,Blok, Mata
41,42,407373,2022,pl,BLUEBERRY, Guzior
42,43,402425,2022,pl,Patolove, Zdechły Osa
43,44,396390,2022,pl,Shivers, Ed Sheeran
44,45,395123,2022,pl,Easy On Me, Adele
45,46,393433,2022,pl,Pepas, Farruko
46,47,393248,2022,pl,Zero Calorie Cookie, Marie
47,48,390330,2022,pl,Ratuj, Smolasty
48,49,386911,2022,pl,Cały hajs, Kabe
49,50,386371,2022,pl,Sacrifice, The Weeknd
50,51,382140,2022,pl,Baila Ella, Young Leosia
51,52,376316,2022,pl,Stonerki, Young Leosia
52,53,360801,2022,pl,45, Sentino
53,54,354913,2022,pl,Traplife, White 2115
54,55,352523,2022,pl,etc. (na disco), sanah
55,56,352105,2022,pl,Ale jazz!, sanah
56,57,350129,2022,pl,FALA, Guzior
57,58,350044,2022,pl,Z BRATEM ZARABIAM PAPIER, Alberto
