,Rank,Streams,Year,Country,Title,Artist
0,1,182326,2021,pt,São Paulo, Yuri NR5
1,2,166563,2021,pt,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
2,3,157882,2021,pt,inesquecível, GIULIA BE
3,4,153682,2021,pt,DÁKITI, Bad Bunny
4,5,153220,2021,pt,Mood (feat. iann dior), 24kGoldn
5,6,142860,2021,pt,Fica, Domingues
6,7,129396,2021,pt,Lonely (with benny blanco), Justin Bieber
7,8,123226,2021,pt,Blinding Lights, The Weeknd
8,9,116004,2021,pt,MODO TURBO, Luísa Sonza
9,10,115992,2021,pt,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
10,11,115084,2021,pt,For The Night (feat. Lil Ba, & DaBa
11,12,114480,2021,pt,Watermelon Sugar, Harry Styles
12,13,113278,2021,pt,Te Amo, Calema
13,14,111289,2021,pt,What You Know Bout Love, Pop Smoke
14,15,108671,2021,pt,positions, Ariana Grande
15,16,108598,2021,pt,Hawái, Maluma
16,17,106305,2021,pt,O Pai Ta On, Greg Ferreira
17,18,103965,2021,pt,Mood Swings (feat. Lil Tjay), Pop Smoke
18,19,103516,2021,pt,WITHOUT YOU, The Kid LAROI
19,20,99463,2021,pt,Tinoni, T-Rex
20,21,99114,2021,pt,Romance de Cinema, Domingues
21,22,98374,2021,pt,Whoopty, CJ
22,23,97610,2021,pt,ROCKSTAR (feat. Roddy Ricch), DaBa
23,24,94451,2021,pt,Ronaldo, Chico da Tina
24,25,92811,2021,pt,HOLIDAY, Lil Nas X
25,26,91212,2021,pt,Tempo, FRANKIEONTHEGUITAR
26,27,89701,2021,pt,Head & Heart (feat. MNEK), Joel Corry
27,28,88262,2021,pt,The City is a Jungle, Fumaxa
28,29,86259,2021,pt,00 Fala Bonito, Papillon
29,30,83011,2021,pt,Nada a Esconder, Slow J
30,31,82722,2021,pt,Therefore I Am, Billie Eilish
31,32,80895,2021,pt,you broke me first, Tate McRae
32,33,78041,2021,pt,34+35, Ariana Grande
33,34,77721,2021,pt,Dado, Rony Fuego
34,35,76824,2021,pt,Take You Dancing, Jason Derulo
35,36,76486,2021,pt,Oh Juliana, Niack
36,37,74747,2021,pt,Laugh Now Cry Later (feat. Lil Durk), Drake
37,38,72771,2021,pt,Breaking Me, Topic
38,39,72547,2021,pt,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
39,40,71899,2021,pt,Resort, Chico da Tina
40,41,68853,2021,pt,Amor ou o Litrão, Petter Ferraz
41,42,67735,2021,pt,Vai Ter Que Aguentar, Mc Don Juan
42,43,67503,2021,pt,menina solta, GIULIA BE
43,44,66993,2021,pt,Prisoner (feat. Dua Lipa), Miley Cyrus
44,45,66697,2021,pt,Borboletas, Gama WNTD
45,46,66479,2021,pt,Anyone, Justin Bieber
46,47,65047,2021,pt,Bem-Disposto, Rony Fuego
47,48,65046,2021,pt,Galileu, Dillaz
48,49,64328,2021,pt,Somos Iguais, Plutónio
49,50,64298,2021,pt,Don't Start Now, Dua Lipa
50,51,64264,2021,pt,Heather, Conan Gray
51,52,63929,2021,pt,Comprei um Lança, Mc Jacaré
52,53,62547,2021,pt,Someone You Loved, Lewis Capaldi
53,54,62127,2021,pt,1000 Jogos, Sippinpurpp
54,55,61409,2021,pt,Levitating (feat. DaBa,)  
55,56,59452,2021,pt,Roses - Imanbek Remix, SAINt JHN
56,57,58575,2021,pt,Dynamite, BTS
57,58,58436,2021,pt,Put Your Records On, Ritt Momney
58,59,58189,2021,pt,Mds, Kawe
59,60,56483,2021,pt,goosebumps, Travis Scott
60,61,53765,2021,pt,Blueberry Faygo, Lil Mosey
61,62,53738,2021,pt,The Box, Roddy Ricch
62,63,53677,2021,pt,Influencer, Bispo
63,64,53671,2021,pt,WAP (feat. Megan Thee Stallion), Cardi B
64,65,53179,2021,pt,Before You Go, Lewis Capaldi
65,66,53108,2021,pt,L.O.M., MOBBERS
66,67,52924,2021,pt,Jerusalema (feat. Nomcebo Zikode), Master KG
67,68,52727,2021,pt,Dance Monkey, Tones And I
68,69,52706,2021,pt,TRIBUNAL, ProfJam
69,70,52356,2021,pt,Sweater Weather, The Neighbourhood
70,71,51955,2021,pt,Louco, Piruka
71,72,51541,2021,pt,Essa Saia, Bispo
72,73,51501,2021,pt,Wonder, Shawn Mendes
73,74,51375,2021,pt,La Bella Mafia, Wet Bed Gang
