,Rank,Streams,Year,Country,Title,Artist
0,1,163897,2018,py,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
1,2,133221,2018,py,Sensualidad, Bad Bunny
2,3,115883,2018,py,Criminal, Natti Natasha
3,4,113448,2018,py,Corazón, Maluma
4,5,99013,2018,py,Échame La Culpa, Luis Fonsi
5,6,97630,2018,py,Downtown, Anitta
6,7,90896,2018,py,Se Preparó, Ozuna
7,8,88584,2018,py,Dembow, Danny Ocean
8,9,82828,2018,py,Que Va, Alex Sensation
9,10,79378,2018,py,Quiero Repetir, Ozuna
10,11,76364,2018,py,Vuelve, Daddy Yankee
11,12,74269,2018,py,Bella y Sensual, Romeo Santos
12,13,72034,2018,py,Solo, Amenazzy
13,14,70447,2018,py,Mayores, Becky G
14,15,69013,2018,py,Báilame - Remix, Nacho
15,16,61566,2018,py,Suena El Dembow, Joey Montana
16,17,59600,2018,py,Bella, Wolfine
17,18,59481,2018,py,Me Rehúso, Danny Ocean
18,19,56844,2018,py,Explícale (feat. Bad Bunny), Yandel
19,20,55887,2018,py,Perro Fiel (feat. Nicky Jam), Shakira
20,21,53649,2018,py,Besame, Valentino
21,22,53411,2018,py,Robarte un Beso, Carlos Vives
22,23,51857,2018,py,Agora Vai Sentar, MC's Jhowzinho & Kadinho
23,24,49509,2018,py,Síguelo Bailando, Ozuna
24,25,49200,2018,py,Escápate Conmigo (feat. Ozuna), Wisin
25,26,49110,2018,py,Sola, Anuel AA
26,27,46963,2018,py,SUTRA, Sebastian Yatra
27,28,44464,2018,py,El Farsante, Ozuna
28,29,43298,2018,py,Ahora Dice, Chris Jedi
29,30,41816,2018,py,Esperándote, Manuel Turizo
30,31,41728,2018,py,Havana - Remix, Camila Cabello
31,32,41109,2018,py,Loco Enamorado, Abraham Mateo
32,33,39046,2018,py,Chambea, Bad Bunny
33,34,38137,2018,py,Una Lady Como Tú, Manuel Turizo
34,35,37468,2018,py,Senta Porra, Aldair Playboy
35,36,36542,2018,py,Tú Foto, Ozuna
36,37,35826,2018,py,Besándote, Piso 21
37,38,35589,2018,py,Como Antes (feat. Wisin), Yandel
38,39,35483,2018,py,Quiéreme, Jacob Forever
39,40,35250,2018,py,Vai malandra (feat. Tropkillaz & DJ Yuri Martins), Anitta
40,41,35129,2018,py,Bum Bum Tam Tam, MC Fioti
41,42,34899,2018,py,Havana (feat. Young Thug), Camila Cabello
42,43,34100,2018,py,Bebe (feat. Anuel AA), Ozuna
43,44,33767,2018,py,rockstar, Post Malone
44,45,33742,2018,py,New Rules, Dua Lipa
45,46,33516,2018,py,Bonita, J Balvin
46,47,32354,2018,py,Felices los 4, Maluma
47,48,31947,2018,py,Mi Gente, J Balvin
48,49,29972,2018,py,Sexto Sentido (feat. Bad Bunny), Gigolo Y La Exce
49,50,29894,2018,py,Si Tú La Ves (feat. Wisin), Nicky Jam
50,51,28252,2018,py,Déjate Llevar, Juan Magán
51,52,26133,2018,py,#Natural, Paty Cantú
52,53,25791,2018,py,Troféu do Ano, Jerry Smith
53,54,25178,2018,py,Hey DJ, CNCO
54,55,24353,2018,py,Solo - Remix, Lary Over
55,56,24283,2018,py,Mamita, CNCO
56,57,23679,2018,py,Perfect, Ed Sheeran
57,58,23468,2018,py,Shape of You, Ed Sheeran
58,59,22291,2018,py,La fórmula (feat. Chris Jedi), De La Ghetto
59,60,22106,2018,py,Vuelve, Danny Ocean
60,61,21544,2018,py,3 A.M., Jesse & Joy
61,62,21210,2018,py,Gucci Gang, Lil Pump
62,63,21207,2018,py,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
63,64,20155,2018,py,Thunder, Imagine Dragons
64,65,19731,2018,py,Olha a Explosão, MC Kevinho
65,66,18999,2018,py,Loca, KHEA
66,67,18783,2018,py,Cásate Conmigo, Silvestre Dangond
67,68,18506,2018,py,Mi Mala, Mau y Ricky
68,69,17869,2018,py,Wolves, Selena Gomez
69,70,17809,2018,py,Escápate Conmigo (feat. Ozuna Bad Bunny De La Ghetto Arcángel Noriel & Almighty) - Remix, Wisin
70,71,17728,2018,py,Bonita - Remix, J Balvin
71,72,17521,2018,py,Abusadamente, MC Gustta
72,73,17506,2018,py,GPS (feat. French Montana), Maluma
73,74,17225,2018,py,Aquecimento das Potrancas, MC WM
74,75,17208,2018,py,Ahora Me Llama, KAROL G
75,76,17193,2018,py,La Realidad (Remix), Pusho
76,77,17189,2018,py,Pode Se Soltar, Jerry Smith
77,78,16903,2018,py,Me llamas (feat. Maluma) - Remix, Piso 21
78,79,16691,2018,py,Todo Comienza en la Disco, Wisin
79,80,16603,2018,py,Ritmo Mexicano, Mc Gw
80,81,16510,2018,py,Diabla - Official Remix, Farruko
81,82,16486,2018,py,Krippy Kush, Farruko
82,83,16094,2018,py,What Lovers Do (feat. SZA), Maroon 5
83,84,15808,2018,py,No Te Hagas, Jory Boy
84,85,15606,2018,py,She Don't Give a FO (feat. Khea), Duki
85,86,15571,2018,py,La Última Vez, Anuel AA
86,87,15224,2018,py,Otra vez (feat. J Balvin), Zion & Lennox
87,88,15094,2018,py,Believer, Imagine Dragons
88,89,14798,2018,py,Rabiola, MC Kevinho
89,90,14663,2018,py,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
90,91,14651,2018,py,Una Lady Como Tú (feat. Nicky Jam) - Remix, Manuel Turizo
91,92,14548,2018,py,Netflixxx, Brytiago
92,93,14541,2018,py,Imitadora, Romeo Santos
93,94,14504,2018,py,Amar Amei, Mc Don Juan
94,95,14255,2018,py,Un Ratito Mas, Bryant Myers
95,96,14062,2018,py,Soy Peor, Bad Bunny
96,97,13835,2018,py,Amor Amor Amor (feat. Wisin), Jennifer Lopez
97,98,13826,2018,py,La Modelo, Ozuna
98,99,13789,2018,py,O Grave Bater, MC Kevinho
99,100,13496,2018,py,Encaixa, MC Kevinho
100,101,12983,2018,py,Something Just Like This, The Chainsmokers
101,102,12777,2018,py,La Rompe Corazones, Daddy Yankee
