,Rank,Streams,Year,Country,Title,Artist
0,1,82935,2020,ro,Dance Monkey, Tones And I
1,2,74339,2020,ro,Falling, Trevor Daniel
2,3,58382,2020,ro,The Box, Roddy Ricch
3,4,57574,2020,ro,ROXANNE, Arizona Zervas
4,5,57384,2020,ro,HIGHEST IN THE ROOM, Travis Scott
5,6,55800,2020,ro,No Idea, Don Toliver
6,7,50710,2020,ro,everything i wanted, Billie Eilish
7,8,48244,2020,ro,Ayy Macarena, Tyga
8,9,47100,2020,ro,Don't Start Now, Dua Lipa
9,10,46521,2020,ro,Blinding Lights, The Weeknd
10,11,45150,2020,ro,Yummy, Justin Bieber
11,12,44629,2020,ro,My Oh My (feat. DaBa,)  
12,13,43523,2020,ro,Circles, Post Malone
13,14,43129,2020,ro,Memories, Maroon 5
14,15,41535,2020,ro,bad guy, Billie Eilish
15,16,40515,2020,ro,Mili, Ian
16,17,38701,2020,ro,BOP, DaBa
17,18,38501,2020,ro,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
18,19,37893,2020,ro,Heartless, The Weeknd
19,20,36249,2020,ro,Someone You Loved, Lewis Capaldi
20,21,36227,2020,ro,Señorita, Shawn Mendes
21,22,35264,2020,ro,hot girl bummer, blackbear
22,23,34424,2020,ro,Let Me Down Slowly, Alec Benjamin
23,24,34195,2020,ro,Lose Control, MEDUZA
24,25,32901,2020,ro,Lalala, Y2K
25,26,32848,2020,ro,60 De Zile, Ian
26,27,32843,2020,ro,Futsal Shuffle 2020, Lil Uzi Vert
27,28,32347,2020,ro,Roses - Imanbek Remix, SAINt JHN
28,29,31861,2020,ro,WHAT TO DO? (feat. Don Toliver), JACKBOYS
29,30,31673,2020,ro,Bag Un Blunt, Ian
30,31,30074,2020,ro,How Do You Sleep?, Sam Smith
31,32,30065,2020,ro,Hocus Pocus, 5GANG
32,33,29714,2020,ro,Adore You, Harry Styles
33,34,29445,2020,ro,RITMO (Bad Boys For Life), Black Eyed Peas
34,35,29071,2020,ro,7 rings, Ariana Grande
35,36,29069,2020,ro,Lucid Dreams, Juice WRLD
36,37,28431,2020,ro,Nefiu, Ian
37,38,28056,2020,ro,OUT WEST (feat. Young Thug), JACKBOYS
38,39,27448,2020,ro,Watermelon Sugar, Harry Styles
39,40,27194,2020,ro,GANG GANG, JACKBOYS
40,41,27124,2020,ro,Lose You To Love Me, Selena Gomez
41,42,26590,2020,ro,SICKO MODE, Travis Scott
42,43,26522,2020,ro,Ransom, Lil Tecca
43,44,26496,2020,ro,I Don't Care (with Justin Bieber), Ed Sheeran
44,45,26420,2020,ro,Ride It, Regard
45,46,25485,2020,ro,Bandit (with YoungBoy Never Broke Again), Juice WRLD
46,47,25322,2020,ro,Contactu, OG Eastbull
47,48,24470,2020,ro,lovely (with Khalid), Billie Eilish
48,49,24409,2020,ro,Seara De Seara, Carla's Dreams
49,50,24195,2020,ro,Beautiful People (feat. Khalid), Ed Sheeran
50,51,24175,2020,ro,Trampoline (with ZAYN), SHAED
51,52,23847,2020,ro,Sarpe, Exploit
52,53,23670,2020,ro,B.M.V., Nane
53,54,23083,2020,ro,Dior, Marko Glass
54,55,22968,2020,ro,Se Misca Beat, Tzanca Uraganu
55,56,22742,2020,ro,goosebumps, Travis Scott
56,57,22572,2020,ro,Haolo, Killa Fonic
57,58,22390,2020,ro,Bambolina, Killa Fonic
58,59,22010,2020,ro,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
59,60,21967,2020,ro,Hate Me (with Juice WRLD), Ellie Goulding
60,61,21919,2020,ro,VIBEZ, DaBa
61,62,21828,2020,ro,when the party's over, Billie Eilish
62,63,21597,2020,ro,Hot (Remix) [feat. Gunna and Travis Scott], Young Thug
63,64,21506,2020,ro,Candy, Doja Cat
64,65,21303,2020,ro,Strazile din Bucuresti, Florian Rus
65,66,21297,2020,ro,Wow., Post Malone
66,67,21248,2020,ro,Zendaya, Ian
67,68,21179,2020,ro,Flexez, Ian
68,69,21020,2020,ro,Old Town Road - Remix, Lil Nas X
69,70,20739,2020,ro,Without Me, Halsey
70,71,20316,2020,ro,SAD!, XXXTENTACION
71,72,20314,2020,ro,VALENTINO, 24kGoldn
72,73,20161,2020,ro,Retrograd, DJ Project
73,74,20044,2020,ro,Piece Of Your Heart, MEDUZA
74,75,20019,2020,ro,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
75,76,19783,2020,ro,Say So, Doja Cat
76,77,19680,2020,ro,Sucker, Jonas Brothers
77,78,19636,2020,ro,Milano Mood, Nane
78,79,19520,2020,ro,Liar, Camila Cabello
79,80,19513,2020,ro,Leila, Exploit
80,81,19251,2020,ro,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
81,82,19150,2020,ro,Yellow Hearts, Ant Saunders
82,83,18942,2020,ro,rockstar (feat. 21 Savage), Post Malone
83,84,18736,2020,ro,Before You Go, Lewis Capaldi
84,85,18650,2020,ro,bury a friend, Billie Eilish
85,86,18195,2020,ro,Youngblood, 5 Seconds of Summer
86,87,18182,2020,ro,Ok Okey, Oscar
87,88,18168,2020,ro,Had Enough (feat. Quavo & Offset), Don Toliver
88,89,18132,2020,ro,Happier, Marshmello
89,90,18066,2020,ro,Suicidal, YNW Melly
90,91,17866,2020,ro,Lowkey, Nane
91,92,17782,2020,ro,Good,es (Feat. Young Thug)  
92,93,17752,2020,ro,Look At Her Now, Selena Gomez
93,94,17442,2020,ro,Shallow, Lady Gaga
94,95,17332,2020,ro,If the World Was Ending (feat. Julia Michaels), JP Saxe
95,96,17125,2020,ro,3 Lucruri, Nane
96,97,17088,2020,ro,Graveyard, Halsey
97,98,16769,2020,ro,Alone Pt. II, Alan Walker
