,Rank,Streams,Year,Country,Title,Artist
0,1,207221,2020,sa,Dance Monkey, Tones And I
1,2,146055,2020,sa,نساني, Ali Arnoos
2,3,121626,2020,sa,Warqa, Saif Amer
3,4,90212,2020,sa,Maktoob Ma Artah, Ahmed Al Maslawi
4,5,86769,2020,sa,Falling, Trevor Daniel
5,6,67181,2020,sa,Al Mafrood, Aseel Hameem
6,7,52752,2020,sa,Waed Menni, Rahma Riad
7,8,51457,2020,sa,bad guy, Billie Eilish
8,9,51448,2020,sa,Ya Sattar, Mohamed Hamaki
9,10,49543,2020,sa,Ya A,ad Ya Eswed  
10,11,47658,2020,sa,Señorita, Shawn Mendes
11,12,46982,2020,sa,Old Town Road - Remix, Lil Nas X
12,13,45947,2020,sa,بلوه غيابك, Assala Al Magdi
13,14,44641,2020,sa,ROXANNE, Arizona Zervas
14,15,42317,2020,sa,lovely (with Khalid), Billie Eilish
15,16,42247,2020,sa,Lalala, Y2K
16,17,41988,2020,sa,Alahh Esahilak, Ali Saber
17,18,37379,2020,sa,Moonlight, XXXTENTACION
18,19,37366,2020,sa,My Oh My (feat. DaBa,)  
19,20,36598,2020,sa,The Box, Roddy Ricch
20,21,35548,2020,sa,Believer, Imagine Dragons
21,22,35265,2020,sa,Ransom, Lil Tecca
22,23,35159,2020,sa,Sah Alnomaa, Husam Al Rassam
23,24,34224,2020,sa,No Idea, Don Toliver
24,25,33367,2020,sa,Let Me Down Slowly, Alec Benjamin
25,26,32927,2020,sa,Circles, Post Malone
26,27,32517,2020,sa,Ltshofoni Taaban, Ali Saber
27,28,32292,2020,sa,Meshtaq Moot, Aseel Hameem
28,29,32262,2020,sa,everything i wanted, Billie Eilish
29,30,31703,2020,sa,La Ya Qalb, Raad And Methaq
30,31,30937,2020,sa,Happier, Marshmello
31,32,30881,2020,sa,Without Me, Halsey
32,33,30758,2020,sa,تمر الذكرى, Ali Arnoos
33,34,30285,2020,sa,Dancin (feat. Luvli) - Krono Remix, Aaron Smith
34,35,28974,2020,sa,Yummy, Justin Bieber
35,36,28318,2020,sa,Memories, Maroon 5
36,37,27891,2020,sa,SAD!, XXXTENTACION
37,38,27120,2020,sa,It's You, Ali Gatie
38,39,26851,2020,sa,اضم حبك, Ali Arnoos
39,40,26029,2020,sa,خلك بحر, Aseel Hameem
40,41,25816,2020,sa,Tholami, شيمي
41,42,25198,2020,sa,7 rings, Ariana Grande
42,43,24903,2020,sa,Детство, Rauf & Faik
43,44,24161,2020,sa,لبى العرب ياعرب, غريب ال مخلص
44,45,23827,2020,sa,Don't Start Now, Dua Lipa
45,46,23798,2020,sa,rockstar (feat. 21 Savage), Post Malone
46,47,23710,2020,sa,Hate Me (with Juice WRLD), Ellie Goulding
47,48,23473,2020,sa,Walla Haram, Habeeb Ali
48,49,23320,2020,sa,Someone You Loved, Lewis Capaldi
49,50,23276,2020,sa,Lucid Dreams, Juice WRLD
