,Rank,Streams,Year,Country,Title,Artist
0,1,794598,2022,se,SOM DOM, Sarettii
1,2,751564,2022,se,M5, C.Gambino
2,3,646274,2022,se,Easy On Me, Adele
3,4,626637,2022,se,Lotta & Sanna, Mohelá
4,5,613348,2022,se,abcdefu, GAYLE
5,6,603582,2022,se,Sacrifice, The Weeknd
6,7,588423,2022,se,Babblarnas vaggvisa, Babblarna
7,8,566348,2022,se,Shivers, Ed Sheeran
8,9,557381,2022,se,ABTI, ADAAM
9,10,525967,2022,se,STAY (with Justin Bieber), The Kid LAROI
10,11,525130,2022,se,Cold Heart - PNAU Remix, Elton John
11,12,513320,2022,se,Where Are You Now, Lost Frequencies
12,13,490277,2022,se,Eld & lågor, Victor Leksell
13,14,479691,2022,se,Trapper Of The Year (Intro) - Bonus Track, 23
14,15,475024,2022,se,Vänner, Newkid
15,16,467767,2022,se,Fingers Crossed, Lauren Spencer-Smith
16,17,455018,2022,se,Heat Waves, Glass Animals
17,18,444772,2022,se,Moth To A Flame (with The Weeknd), Swedish House Mafia
18,19,437826,2022,se,Man On The Moon, Alan Walker
19,20,432026,2022,se,Bad Habits, Ed Sheeran
20,21,429398,2022,se,FUCK MITT EKS, LOAM
21,22,421179,2022,se,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
22,23,382743,2022,se,Lämna honom, Melissa Horn
23,24,377957,2022,se,TOPP, ADAAM
24,25,376416,2022,se,It'll Be Okay, Shawn Mendes
25,26,371403,2022,se,BLOCK, A36
26,27,357102,2022,se,Dirty Kalle, VC Barre
27,28,356922,2022,se,How Do I Make You Love Me?, The Weeknd
28,29,356436,2022,se,Vi ska aldrig gå hem, Molly Sandén
29,30,353351,2022,se,Milli, Rami
30,31,350598,2022,se,Fläta/Inte mitt krig, VC Barre
31,32,348077,2022,se,Thunder, Gabry Ponte
32,33,347831,2022,se,Oh My God, Adele
33,34,344327,2022,se,DANSA, Einár
34,35,339513,2022,se,The Motto, Tiësto
35,36,332633,2022,se,Samma gamla vanliga, A36
36,37,322538,2022,se,Ingen luft mellan oss, Newkid
37,38,318555,2022,se,GHOST TOWN, Benson Boone
38,39,316657,2022,se,Svag, Victor Leksell
39,40,314093,2022,se,RIDER, C.Gambino
40,41,310052,2022,se,Lose my mind, Myra Granberg
41,42,298794,2022,se,FÖRSENT, 1.Cuz
42,43,295649,2022,se,Is There Someone Else?, The Weeknd
43,44,284470,2022,se,Gasoline, The Weeknd
44,45,283413,2022,se,Josefin, Albin Lee Meldau
45,46,275076,2022,se,Out of Time, The Weeknd
46,47,272614,2022,se,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
47,48,272064,2022,se,tystnar i luren, Miriam Bryant
48,49,270421,2022,se,Infinity, Jaymes Young
49,50,262209,2022,se,Do It To It, ACRAZE
50,51,260937,2022,se,Ser du månen där du är ikväll? (Tillsammans igen), Thomas Stenström
51,52,260892,2022,se,Pepas, Farruko
52,53,254082,2022,se,Peru, Fireboy DML
53,54,253786,2022,se,Skotthål, Daniel Adams-Ray
54,55,249624,2022,se,Take My Breath, The Weeknd
55,56,249450,2022,se,One Right Now (with The Weeknd), Post Malone
56,57,245148,2022,se,Soldier of Heaven, Sabaton
57,58,241755,2022,se,My Universe, Coldplay
58,59,241502,2022,se,Är det kärlek du behöver - N!NE EPA Remix, Lasse Stefanz
59,60,240958,2022,se,Miserable Man, David Kushner
60,61,240617,2022,se,Gamora, Hov1
61,62,239410,2022,se,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
62,63,234495,2022,se,Blinding Lights, The Weeknd
63,64,229678,2022,se,Nia Mondo, Owen
64,65,229226,2022,se,Faller Ner, Adel
65,66,225242,2022,se,good 4 u, Olivia Rodrigo
66,67,224370,2022,se,Best Friends, The Weeknd
67,68,223463,2022,se,Kan Inte Gå, Bolaget
68,69,221829,2022,se,Less Than Zero, The Weeknd
69,70,219727,2022,se,Young & Heartless, Yasin
70,71,217916,2022,se,Vvvalsta, VC Barre
71,72,210017,2022,se,För Evigt, Hanna Ferm
72,73,207599,2022,se,Here We Go… Again (feat. Tyler the Creator), The Weeknd
73,74,207287,2022,se,Dawn FM, The Weeknd
74,75,206557,2022,se,Du måste finnas, Newkid
75,76,206010,2022,se,CCTV, C.Gambino
76,77,200530,2022,se,Hiphop N RnB, Yasin
77,78,198747,2022,se,MEDVETSLÖS, LOAM
78,79,196430,2022,se,Paparazzi, Asme
79,80,194415,2022,se,Gubben i lådan (feat. Miriam Bryant), Thomas Stenström
80,81,193992,2022,se,Djurens vaggvisa, Humlan Djojj
81,82,192003,2022,se,Instruktionsboken, Miss Li
82,83,191470,2022,se,Flyg Fula Fluga Flyg, Hanna Ferm
83,84,191123,2022,se,Starry Eyes, The Weeknd
84,85,189338,2022,se,Färger, Asme
85,86,189322,2022,se,2step, Ed Sheeran
86,87,188593,2022,se,Räkna dagar, Hov1
87,88,184111,2022,se,FAST HÄR I TRAKTEN, Einár
88,89,184075,2022,se,Softcore, The Neighbourhood
89,90,182656,2022,se,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
90,91,181492,2022,se,I Heard You’re Married (feat. Lil Wayne), The Weeknd
91,92,180475,2022,se,Lonely In A Crowd (feat. Joakim Berg), Miriam Bryant
92,93,179296,2022,se,SKAKAR, C.Gambino
93,94,176847,2022,se,Mina områden, Kartellen
94,95,176661,2022,se,2022, 1.Cuz
95,96,173241,2022,se,TANKAR, C.Gambino
96,97,173200,2022,se,Nån annan nu, Molly Sandén
97,98,171893,2022,se,Aldrig vågat, Melissa Horn
98,99,171771,2022,se,Marbella, Ant Wan
99,100,170132,2022,se,VET ATT DU HÖR, Ivory
100,101,169173,2022,se,Love Me Now (feat. Zoe Wees), Kygo
101,102,168528,2022,se,Weightless, Birkir Blær
102,103,167541,2022,se,Savastano, 23
103,104,166423,2022,se,Starkare, Newkid
104,105,166135,2022,se,Wenak, Ant Wan
105,106,165662,2022,se,Dum av dig, Melissa Horn
106,107,165392,2022,se,Parklands, Melissa Horn
107,108,164112,2022,se,Love Grows (Where My Rosemary Goes), Edison Lighthouse
108,109,164065,2022,se,love nwantiti (ah ah ah), CKay
109,110,162732,2022,se,Coming for You (feat. A1 x J1), SwitchOTR
110,111,161772,2022,se,I AM WOMAN, Emmy Meli
111,112,161700,2022,se,BANDO, C.Gambino
112,113,161465,2022,se,FALLER, C.Gambino
113,114,160572,2022,se,Unge Med Extra Energi, Einár
114,115,160446,2022,se,A.D.A.M, ADAAM
115,116,160439,2022,se,Aldrig haft något annat val, Newkid
116,117,158829,2022,se,A Tale By Quincy, The Weeknd
117,118,157444,2022,se,Can I Get It, Adele
118,119,156187,2022,se,Surface Pressure, Jessica Darrow
119,120,156144,2022,se,Don’t Break My Heart, The Weeknd
120,121,155803,2022,se,PIPPI, Dree Low
121,122,154739,2022,se,Emiliana, CKay
122,123,154565,2022,se,ManyMen, C.Gambino
123,124,151478,2022,se,Hur mycket? (pengar vill du ha), Hov1
124,125,151287,2022,se,När solen går ner, AKI
125,126,151286,2022,se,Allt det vackra, Benjamin Ingrosso
126,127,149158,2022,se,Du kommer sakna mig mindre och mindre, Thomas Stenström
127,128,148411,2022,se,Lova ingenting, Melissa Horn
128,129,146820,2022,se,Drömmare, Thomas Stenström
129,130,145810,2022,se,Ghost, Justin Bieber
130,131,145516,2022,se,Chanel, Rio
131,132,142772,2022,se,Woman, Doja Cat
132,133,142520,2022,se,Acapulco, Jason Derulo
133,134,141418,2022,se,Säg Mig Var Du Står, Carola
134,135,140608,2022,se,MALI, Robbz x Brookz
135,136,139690,2022,se,Barn av vår tid, Hov1
136,137,139303,2022,se,Mitt i prick, L1NA
137,138,139278,2022,se,Beggin', Måneskin
138,139,139235,2022,se,Every Angel is Terrifying, The Weeknd
139,140,139166,2022,se,En säng av rosor, Darin
140,141,138307,2022,se,THATS WHAT I WANT, Lil Nas X
141,142,137949,2022,se,Ge upp igen, Miriam Bryant
142,143,135653,2022,se,Heartbreaker, Ant Wan
143,144,135607,2022,se,Another Love, Tom Odell
144,145,134878,2022,se,Meet Me At Our Spot, THE ANXIETY
145,146,134726,2022,se,Toxic, BoyWithUke
146,147,133734,2022,se,Wake Me Up, Avicii
147,148,133348,2022,se,drivers license, Olivia Rodrigo
148,149,132582,2022,se,HKF (Håll käften & försvinn), Myra Granberg
149,150,132166,2022,se,2VS2, Blizzy
150,151,131982,2022,se,Someone You Loved, Lewis Capaldi
151,152,131578,2022,se,SE MIG, Veronica Maggio
152,153,131481,2022,se,Sweater Weather, The Neighbourhood
153,154,129832,2022,se,Cover Me In Sunshine, P!nk
154,155,129768,2022,se,Första Klass, Einár
155,156,129263,2022,se,Save Your Tears, The Weeknd
156,157,129238,2022,se,Head & Heart (feat. MNEK), Joel Corry
157,158,128932,2022,se,PS jag hatar dig, Miriam Bryant
158,159,128353,2022,se,Ey Maria, C.Gambino
159,160,128308,2022,se,MONTERO (Call Me By Your Name), Lil Nas X
160,161,128191,2022,se,Happier Than Ever, Billie Eilish
161,162,127468,2022,se,Älska mig, Melissa Horn
162,163,127331,2022,se,Snälla bli min - Spotify Studio It's Hits Recording, Victor Leksell
163,164,126853,2022,se,Kiss Me More (feat. SZA), Doja Cat
164,165,126743,2022,se,Raggarbil, Albatraoz
165,166,126618,2022,se,Katten i trakten, Einár
166,167,126391,2022,se,Nätterna, Thomas Stenström
167,168,125350,2022,se,MIDDLE OF THE NIGHT, Elley Duhé
168,169,124477,2022,se,Lost in the Fire (feat. The Weeknd), Gesaffelstein
169,170,123789,2022,se,Overpass Graffiti, Ed Sheeran
170,171,123425,2022,se,TO THE MOON, Jnr Choi
171,172,123380,2022,se,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
172,173,122931,2022,se,Without Me, Eminem
173,174,122756,2022,se,Frozen, Madonna
174,175,122166,2022,se,When I’m Gone (with Katy Perry), Alesso
175,176,122139,2022,se,The Real Slim Shady, Eminem
176,177,121470,2022,se,Ensam Hemma, KD
177,178,121443,2022,se,I Hate U, SZA
178,179,120929,2022,se,Jungle, 23
179,180,119758,2022,se,Sweet Jackie, Thomas Stenström
180,181,119199,2022,se,Stockholm i natt, Cherrie
181,182,118177,2022,se,Lev nu dö sen, Miss Li
182,183,117885,2022,se,Shallow, Lady Gaga
183,184,117850,2022,se,Komplicerad, Miss Li
184,185,117610,2022,se,Vi pratar inte om Bruno, Anna Sahlene
185,186,116786,2022,se,Only Love Can Hurt Like This, Paloma Faith
186,187,116777,2022,se,Till slutet av augusti, Thomas Stenström
187,188,116475,2022,se,Skadad, 1.Cuz
188,189,114771,2022,se,RUTHLESS, VC Barre
189,190,113583,2022,se,Sunshine, OneRepublic
190,191,113269,2022,se,1942, Ant Wan
191,192,113120,2022,se,Blå, Hov1
192,193,113093,2022,se,Eloise, Maxida Märak
193,194,112663,2022,se,Smile, Benjamin Ingrosso
194,195,112279,2022,se,Gråt inte mer, Daniel Adams-Ray
195,196,112220,2022,se,feel like shit, Tate McRae
196,197,112135,2022,se,To Be Loved, Adele
197,198,111980,2022,se,Sätter Dom På Plats, Einár
198,199,111606,2022,se,ALKALINE, C.Gambino
199,200,111038,2022,se,DAG HAMMARSKJÖLD, Dree Low
