,Rank,Streams,Year,Country,Title,Artist
0,1,333513,2019,sg,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
1,2,326781,2019,sg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
2,3,326291,2019,sg,thank u next, Ariana Grande
3,4,265455,2019,sg,Without Me, Halsey
4,5,253415,2019,sg,SOLO, JENNIE
5,6,231103,2019,sg,Sweet but Psycho, Ava Max
6,7,225789,2019,sg,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version, Skylar Grey
7,8,191458,2019,sg,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
8,9,186914,2019,sg,Kiss and Make Up, Dua Lipa
9,10,184074,2019,sg,Wow., Post Malone
10,11,180521,2019,sg,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
11,12,177985,2019,sg,Saturday Nights, Khalid
12,13,175747,2019,sg,Happier, Marshmello
13,14,174112,2019,sg,Love Someone, Lukas Graham
14,15,165447,2019,sg,High Hopes, Panic! At The Disco
15,16,163640,2019,sg,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
16,17,162706,2019,sg,Be Alright, Dean Lewis
17,18,158318,2019,sg,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
18,19,156881,2019,sg,Eastside (with Halsey & Khalid), benny blanco
19,20,154248,2019,sg,Empty Space, James Arthur
20,21,145180,2019,sg,imagine, Ariana Grande
21,22,144812,2019,sg,Better, Khalid
22,23,142468,2019,sg,Bad Liar, Imagine Dragons
23,24,141000,2019,sg,Beautiful (feat. Camila Cabello), Bazzi
24,25,128872,2019,sg,Ruin My Life, Zara Larsson
25,26,126211,2019,sg,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
26,27,124777,2019,sg,This Feeling, The Chainsmokers
27,28,121392,2019,sg,Waste It On Me, Steve Aoki
28,29,121060,2019,sg,2002, Anne-Marie
29,30,115081,2019,sg,Shallow, Lady Gaga
30,31,114230,2019,sg,Hope, The Chainsmokers
31,32,112573,2019,sg,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
32,33,111863,2019,sg,Gotta Go, CHUNG HA
33,34,110949,2019,sg,Love Shot, EXO
