,Rank,Streams,Year,Country,Title,Artist
0,1,120121,2020,sk,J Lo, Kontrafakt
1,2,89843,2020,sk,Neviditelnej, Kontrafakt
2,3,70541,2020,sk,Mesiac, Kontrafakt
3,4,65470,2020,sk,Dance Monkey, Tones And I
4,5,61890,2020,sk,Pocity, Kontrafakt
5,6,58734,2020,sk,Ideme Dnu, Kontrafakt
6,7,57707,2020,sk,Si Sa Namotal, Kontrafakt
7,8,54046,2020,sk,Playbackaris, Kontrafakt
8,9,52807,2020,sk,Čo Ja Viem, Kontrafakt
9,10,52445,2020,sk,Real Newz, Kontrafakt
10,11,49805,2020,sk,Falling, Trevor Daniel
11,12,49340,2020,sk,Instagram, Kontrafakt
12,13,45765,2020,sk,Make Money Go Shoppin, Kontrafakt
13,14,45595,2020,sk,G.O.a.T., Kontrafakt
14,15,44311,2020,sk,Yummy, Justin Bieber
15,16,40263,2020,sk,Circles, Post Malone
16,17,39890,2020,sk,Memories, Maroon 5
17,18,39184,2020,sk,V Korunách Stromov, Kontrafakt
18,19,37381,2020,sk,Don't Start Now, Dua Lipa
19,20,36012,2020,sk,Blinding Lights, The Weeknd
20,21,35592,2020,sk,Ride It, Regard
21,22,34708,2020,sk,everything i wanted, Billie Eilish
22,23,32215,2020,sk,ROXANNE, Arizona Zervas
23,24,31276,2020,sk,bad guy, Billie Eilish
24,25,28870,2020,sk,My Oh My (feat. DaBa,)  
25,26,28323,2020,sk,Lose Control, MEDUZA
26,27,26633,2020,sk,The Box, Roddy Ricch
27,28,26632,2020,sk,Señorita, Shawn Mendes
28,29,24841,2020,sk,Adore You, Harry Styles
29,30,24179,2020,sk,Watermelon Sugar, Harry Styles
30,31,24068,2020,sk,Lose You To Love Me, Selena Gomez
31,32,22574,2020,sk,Someone You Loved, Lewis Capaldi
32,33,22451,2020,sk,Beautiful People (feat. Khalid), Ed Sheeran
33,34,21493,2020,sk,Až na měsíc, Viktor Sheen
34,35,21174,2020,sk,MY, Samey
35,36,20644,2020,sk,DRAP, Dalyb
36,37,20477,2020,sk,HIGHEST IN THE ROOM, Travis Scott
37,38,20220,2020,sk,Heartless, The Weeknd
38,39,20071,2020,sk,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
39,40,19992,2020,sk,hot girl bummer, blackbear
40,41,19476,2020,sk,I Don't Care (with Justin Bieber), Ed Sheeran
41,42,19301,2020,sk,Piece Of Your Heart, MEDUZA
42,43,19030,2020,sk,4eva, Dalyb
43,44,18652,2020,sk,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
44,45,18529,2020,sk,Mdms, DMS
45,46,18473,2020,sk,Roses - Imanbek Remix, SAINt JHN
46,47,18439,2020,sk,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
47,48,18413,2020,sk,No Idea, Don Toliver
48,49,18234,2020,sk,Lalala, Y2K
49,50,17641,2020,sk,Lepšia Pesnička, DMS
50,51,17623,2020,sk,Before You Go, Lewis Capaldi
51,52,17040,2020,sk,Trampoline (with ZAYN), SHAED
52,53,16945,2020,sk,when the party's over, Billie Eilish
53,54,16932,2020,sk,Peroxid 3, Pil C
54,55,16829,2020,sk,Lucid Dreams, Juice WRLD
55,56,16131,2020,sk,hello kitty, Dalyb
56,57,15923,2020,sk,RITMO (Bad Boys For Life), Black Eyed Peas
57,58,15772,2020,sk,Old Town Road - Remix, Lil Nas X
58,59,15512,2020,sk,How Do You Sleep?, Sam Smith
59,60,15458,2020,sk,ruky, Samey
60,61,15267,2020,sk,GANG GANG, JACKBOYS
61,62,15175,2020,sk,RBMK, Pil C
62,63,15009,2020,sk,Higher Love, Kygo
63,64,14994,2020,sk,Ayy Macarena, Tyga
64,65,14925,2020,sk,Včera Mi Zhorel Dom, Saul
65,66,14905,2020,sk,fantázia, Dalyb
66,67,14869,2020,sk,Všetko čo ma trápi, Pil C
67,68,14840,2020,sk,7 rings, Ariana Grande
68,69,14576,2020,sk,Falling, Harry Styles
69,70,14561,2020,sk,Růže, Calin
70,71,14332,2020,sk,Zlatí a Zároveň Kanál, DMS
71,72,14101,2020,sk,Good,es (Feat. Young Thug)  
72,73,14061,2020,sk,Turn Me On (feat. Vula), Riton
73,74,14051,2020,sk,lovely (with Khalid), Billie Eilish
74,75,14018,2020,sk,Wow., Post Malone
75,76,13908,2020,sk,Rescue Me, OneRepublic
76,77,13870,2020,sk,Celou Noc, Nik Tendo
77,78,13813,2020,sk,Bla bla, Pil C
78,79,13702,2020,sk,WHAT TO DO? (feat. Don Toliver), JACKBOYS
79,80,13700,2020,sk,OUT WEST (feat. Young Thug), JACKBOYS
80,81,13589,2020,sk,bagstage, Dalyb
81,82,13261,2020,sk,Sucker, Jonas Brothers
82,83,13196,2020,sk,Family, The Chainsmokers
83,84,13182,2020,sk,Alone Pt. II, Alan Walker
84,85,12901,2020,sk,!, Samey
85,86,12764,2020,sk,Shallow, Lady Gaga
86,87,12749,2020,sk,Sweet but Psycho, Ava Max
87,88,12681,2020,sk,TAG, Dalyb
88,89,12669,2020,sk,Stanko Lobotka, Porsche Boy
89,90,12668,2020,sk,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
90,91,12634,2020,sk,Look At Her Now, Selena Gomez
91,92,12577,2020,sk,Ritual, Tiësto
92,93,12471,2020,sk,Mráz, Viktor Sheen
93,94,12394,2020,sk,nikoho, Dalyb
94,95,12359,2020,sk,Happier, Marshmello
95,96,12230,2020,sk,Bandit (with YoungBoy Never Broke Again), Juice WRLD
96,97,12217,2020,sk,Futsal Shuffle 2020, Lil Uzi Vert
97,98,12126,2020,sk,High Hopes, Panic! At The Disco
98,99,12097,2020,sk,Hate Me (with Juice WRLD), Ellie Goulding
99,100,12017,2020,sk,Nprblm, DMS
100,101,11997,2020,sk,ocean eyes, Billie Eilish
101,102,11941,2020,sk,Let Me Down Slowly, Alec Benjamin
102,103,11886,2020,sk,Liar, Camila Cabello
103,104,11776,2020,sk,Only Human, Jonas Brothers
104,105,11703,2020,sk,Gauč Storytelling, Gleb
105,106,11679,2020,sk,Graveyard, Halsey
106,107,11661,2020,sk,Takeaway, The Chainsmokers
107,108,11619,2020,sk,blok123, Dalyb
108,109,11614,2020,sk,Take What You Want (feat. Ozzy Osbourne & Travis Scott), Post Malone
109,110,11576,2020,sk,BOP, DaBa
110,111,11528,2020,sk,SICKO MODE, Travis Scott
111,112,11522,2020,sk,Povedz dosť, Pil C
112,113,11396,2020,sk,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy), Martin Garrix
113,114,11368,2020,sk,bury a friend, Billie Eilish
114,115,11279,2020,sk,Good as Hell (feat. Ariana Grande) - Remix, Lizzo
115,116,11258,2020,sk,Better Now, Post Malone
116,117,11220,2020,sk,Say So, Doja Cat
117,118,11087,2020,sk,Černobílej svět, Viktor Sheen
118,119,11059,2020,sk,If the World Was Ending (feat. Julia Michaels), JP Saxe
119,120,11035,2020,sk,Don't Call Me Up, Mabel
120,121,11000,2020,sk,Lights Up, Harry Styles
121,122,10983,2020,sk,Na Chvíli, Nik Tendo
122,123,10929,2020,sk,SOS (feat. Aloe Blacc), Avicii
123,124,10845,2020,sk,Mean It, Lauv
124,125,10841,2020,sk,Yellow Hearts, Ant Saunders
125,126,10831,2020,sk,all the good girls go to hell, Billie Eilish
126,127,10749,2020,sk,Nice To Meet Ya, Niall Horan
127,128,10732,2020,sk,Sajnim, Sima
128,129,10707,2020,sk,Keď Nechcem, Rida Radar
129,130,10613,2020,sk,Youngblood, 5 Seconds of Summer
130,131,10612,2020,sk,Zlato, Viktor Sheen
131,132,10588,2020,sk,Skrjud, Dalyb
132,133,10575,2020,sk,Post Malone (feat. RANI), Sam Feldt
133,134,10570,2020,sk,Up All Night, Khalid
134,135,10549,2020,sk,Ransom, Lil Tecca
135,136,10490,2020,sk,Nonstop High, Rida Radar
136,137,10465,2020,sk,fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”, Lauv
137,138,10443,2020,sk,Without Me, Halsey
138,139,10422,2020,sk,HUF, Dalyb
139,140,10386,2020,sk,Kým nebude svit, Pil C
140,141,10379,2020,sk,Go Go Go, Gleb
141,142,10288,2020,sk,rockstar (feat. 21 Savage), Post Malone
142,143,10180,2020,sk,6:00 Ráno, Nik Tendo
143,144,10067,2020,sk,If I Can't Have You, Shawn Mendes
144,145,10047,2020,sk,i'm so tired..., Lauv
145,146,10046,2020,sk,Believer, Imagine Dragons
146,147,10019,2020,sk,Had Enough (feat. Quavo & Offset), Don Toliver
147,148,10010,2020,sk,Hollywood's Bleeding, Post Malone
148,149,9969,2020,sk,Je Mi Jedno, Sima
