,Rank,Streams,Year,Country,Title,Artist
0,1,53925,2018,sv,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
1,2,51120,2018,sv,Sensualidad, Bad Bunny
2,3,43880,2018,sv,Criminal, Natti Natasha
3,4,38347,2018,sv,Échame La Culpa, Luis Fonsi
4,5,37648,2018,sv,Downtown, Anitta
5,6,36137,2018,sv,Corazón, Maluma
6,7,35300,2018,sv,Se Preparó, Ozuna
7,8,31597,2018,sv,Que Va, Alex Sensation
8,9,28432,2018,sv,Vuelve, Daddy Yankee
9,10,28304,2018,sv,Mayores, Becky G
10,11,26927,2018,sv,Me Rehúso, Danny Ocean
11,12,26855,2018,sv,rockstar, Post Malone
12,13,26172,2018,sv,Báilame - Remix, Nacho
13,14,26118,2018,sv,Suena El Dembow, Joey Montana
14,15,25824,2018,sv,Robarte un Beso, Carlos Vives
15,16,23857,2018,sv,Escápate Conmigo (feat. Ozuna), Wisin
16,17,22953,2018,sv,Sola, Anuel AA
17,18,22354,2018,sv,SUTRA, Sebastian Yatra
18,19,22219,2018,sv,Bella y Sensual, Romeo Santos
19,20,21900,2018,sv,New Rules, Dua Lipa
20,21,21742,2018,sv,Perro Fiel (feat. Nicky Jam), Shakira
21,22,21587,2018,sv,Havana (feat. Young Thug), Camila Cabello
22,23,20979,2018,sv,Explícale (feat. Bad Bunny), Yandel
23,24,20277,2018,sv,Perfect, Ed Sheeran
24,25,20144,2018,sv,Dembow, Danny Ocean
25,26,20058,2018,sv,Quiero Repetir, Ozuna
26,27,20020,2018,sv,Chambea, Bad Bunny
27,28,19883,2018,sv,Ahora Dice, Chris Jedi
28,29,19404,2018,sv,3 A.M., Jesse & Joy
29,30,19232,2018,sv,Wolves, Selena Gomez
30,31,18796,2018,sv,El Farsante, Ozuna
31,32,18733,2018,sv,Adiós Amor, Christian Nodal
32,33,18704,2018,sv,Una Lady Como Tú, Manuel Turizo
33,34,18683,2018,sv,Bonita, J Balvin
34,35,18132,2018,sv,Havana - Remix, Camila Cabello
35,36,17959,2018,sv,Mi Gente, J Balvin
36,37,17262,2018,sv,Déjate Llevar, Juan Magán
37,38,17112,2018,sv,Como Antes (feat. Wisin), Yandel
38,39,17036,2018,sv,Shape of You, Ed Sheeran
39,40,16181,2018,sv,Felices los 4, Maluma
40,41,15242,2018,sv,Loco Enamorado, Abraham Mateo
41,42,14972,2018,sv,Tú Foto, Ozuna
42,43,14909,2018,sv,Mamita, CNCO
43,44,14824,2018,sv,What Lovers Do (feat. SZA), Maroon 5
44,45,14592,2018,sv,Gucci Gang, Lil Pump
45,46,13708,2018,sv,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
46,47,13633,2018,sv,Vivo Pensando En Ti (feat. Maluma), Felipe Peláez
47,48,13434,2018,sv,Thunder, Imagine Dragons
48,49,13270,2018,sv,Esperándote, Manuel Turizo
49,50,13057,2018,sv,Amantes, Greeicy
50,51,12983,2018,sv,Bum Bum Tam Tam, MC Fioti
51,52,12827,2018,sv,Bella, Wolfine
52,53,12447,2018,sv,Síguelo Bailando, Ozuna
53,54,12129,2018,sv,Krippy Kush, Farruko
54,55,11893,2018,sv,GPS (feat. French Montana), Maluma
55,56,11796,2018,sv,#Natural, Paty Cantú
56,57,11511,2018,sv,Ahora Me Llama, KAROL G
57,58,11486,2018,sv,Hey DJ, CNCO
58,59,11433,2018,sv,Too Good At Good,es  
59,60,11391,2018,sv,La fórmula (feat. Chris Jedi), De La Ghetto
60,61,11279,2018,sv,Si Tú La Ves (feat. Wisin), Nicky Jam
61,62,11193,2018,sv,El Color de Tus Ojos, Banda MS de Sergio Lizárraga
62,63,11187,2018,sv,Otra vez (feat. J Balvin), Zion & Lennox
63,64,11174,2018,sv,Mi Mala, Mau y Ricky
64,65,11115,2018,sv,Por Hacerme el Bueno, Bacilos
65,66,11001,2018,sv,Besos En Guerra, Morat
66,67,10632,2018,sv,Congratulations, Post Malone
67,68,10431,2018,sv,Something Just Like This, The Chainsmokers
68,69,10403,2018,sv,Sexto Sentido (feat. Bad Bunny), Gigolo Y La Exce
69,70,10206,2018,sv,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
70,71,10045,2018,sv,Soy Peor, Bad Bunny
71,72,10029,2018,sv,Besándote, Piso 21
72,73,9939,2018,sv,La Modelo, Ozuna
73,74,9849,2018,sv,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
74,75,9509,2018,sv,Silence, Marshmello
75,76,9449,2018,sv,Despacito (Featuring Daddy Yankee), Luis Fonsi
76,77,9227,2018,sv,Todo Comienza en la Disco, Wisin
77,78,9153,2018,sv,Me llamas (feat. Maluma) - Remix, Piso 21
78,79,9151,2018,sv,La Rompe Corazones, Daddy Yankee
79,80,9131,2018,sv,Cásate Conmigo, Silvestre Dangond
80,81,9110,2018,sv,Believer, Imagine Dragons
81,82,9103,2018,sv,Olha a Explosão, MC Kevinho
82,83,8906,2018,sv,Scared to Be Lonely, Martin Garrix
83,84,8888,2018,sv,Closer, The Chainsmokers
84,85,8853,2018,sv,Faded, Alan Walker
85,86,8699,2018,sv,El Granjero, Arcangel
86,87,8481,2018,sv,Thinking out Loud, Ed Sheeran
87,88,8440,2018,sv,Bebe (feat. Anuel AA), Ozuna
88,89,8337,2018,sv,Attention, Charlie Puth
89,90,8333,2018,sv,Me Mata, Bad Bunny
90,91,8282,2018,sv,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
91,92,8202,2018,sv,Sigo Extrañándote, J Balvin
92,93,8043,2018,sv,That's What I Like, Bruno Mars
93,94,8019,2018,sv,Feels (feat. Pharrell Williams Katy Perry & Big Sean), Calvin Harris
94,95,7932,2018,sv,Bonita - Remix, J Balvin
95,96,7927,2018,sv,It Ain't Me (with Selena Gomez), Kygo
96,97,7854,2018,sv,Movimiento Naranja Yuawi, Yuawi
97,98,7853,2018,sv,Let Me Love You, DJ Snake
98,99,7812,2018,sv,Netflixxx, Brytiago
99,100,7772,2018,sv,HUMBLE., Kendrick Lamar
100,101,7767,2018,sv,XO Tour Llif3, Lil Uzi Vert
101,102,7717,2018,sv,No Te Hagas, Jory Boy
102,103,7710,2018,sv,Finesse - Remix; feat. Cardi B, Bruno Mars
103,104,7689,2018,sv,Him & I (with Halsey), G-Eazy
104,105,7653,2018,sv,Si Tu Novio Te Deja Sola, J Balvin
105,106,7583,2018,sv,Friends (with BloodPop®), Justin Bieber
106,107,7438,2018,sv,Photograph, Ed Sheeran
107,108,7415,2018,sv,There's Nothing Holdin' Me Back, Shawn Mendes
108,109,7411,2018,sv,100 Años, Ha*Ash
109,110,7358,2018,sv,I Feel It Coming, The Weeknd
110,111,7305,2018,sv,Diabla - Official Remix, Farruko
111,112,7276,2018,sv,El Amante, Nicky Jam
112,113,7256,2018,sv,Por Pura Curiosidad, Fonseca
113,114,7146,2018,sv,Reggaetón Lento (Bailemos), CNCO
114,115,7107,2018,sv,Roast Yourself, La Divaza
