,Rank,Streams,Year,Country,Title,Artist
0,1,599048,2021,th,ถ้าเธอรักฉันจริง, Three Man Down
1,2,393432,2021,th,จำเลยรัก - Defendant Of Love, F.HERO
2,3,383014,2021,th,แฟนใหม่หน้าคุ้น, Maiyarap
3,4,357778,2021,th,ช่วยไม่ได้, URBOYTJ
4,5,334542,2021,th,โคตรพิเศษ - (From “แปลรักฉันด้วยใจเธอ”), Billkin
5,6,330997,2021,th,คิด(แต่ไม่)ถึง (Same Page?), Tilly Birds
6,7,316847,2021,th,Melbourne, Morvasu
7,8,307238,2021,th,จีบ, QLER
8,9,301809,2021,th,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง, BamBam
9,10,300963,2021,th,อยากเริ่มต้นใหม่กับคนเดิม (repeat), Ink Waruntorn
10,11,300646,2021,th,34+35, Ariana Grande
11,12,296748,2021,th,กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ, Billkin
12,13,294402,2021,th,แปลไม่ออก - Ost. แปลรักฉันด้วยใจเธอ, Billkin
13,14,293336,2021,th,ฝนตกไหม, Three Man Down
14,15,280609,2021,th,Roses, Finn Askew
15,16,276662,2021,th,ถ้าเขาจะรัก (ยืนเฉยๆเขาก็รัก), First Anuwat
16,17,262123,2021,th,จำเก่ง (Slipped Your Mind), F.HERO
17,18,260619,2021,th,เจอแต่คนใจร้าย feat. Ink Waruntorn, Lipta
18,19,258168,2021,th,นิโคติน, Mirrr
19,20,257981,2021,th,กอดได้ไหม, URBOYTJ
20,21,252373,2021,th,ลบไม่ได้ช่วยให้ลืม (Erase), Ink Waruntorn
21,22,244483,2021,th,ไม่อยากฟัง, SERIOUS BACON
22,23,233351,2021,th,ฝันถึงแฟนเก่า, Three Man Down
23,24,232679,2021,th,พี่ๆ ตัดแว่นให้หน่อย, SERIOUS BACON
24,25,232548,2021,th,Life Goes On, BTS
25,26,211803,2021,th,positions, Ariana Grande
26,27,206879,2021,th,A Rocket to the Moon, Gavin D
27,28,203590,2021,th,Afterglow, Ed Sheeran
28,29,201977,2021,th,ถ้าเธอได้รู้ (The Secret ∆), Safeplanet
29,30,191759,2021,th,Anyone, Justin Bieber
30,31,187411,2021,th,willow, Taylor Swift
31,32,186449,2021,th,ข่าวดี, Polycat
32,33,184260,2021,th,ขวัญเอยขวัญมา, Palmy
33,34,181456,2021,th,เลือกคนที่เขารักเรา, Three Man Down
34,35,180768,2021,th,คนเราจะแอบรักใครสักคนได้นานแค่ไหน, ROOFTOP
35,36,178230,2021,th,Dynamite, BTS
36,37,174540,2021,th,ก่อนนอนคืนนี้, YOUNGOHM
37,38,170105,2021,th,หรือฉันคิดไปเอง, Zom Marie
38,39,165424,2021,th,รองช้ำ, DTK BOY BAND
39,40,162777,2021,th,ลงใจ, BOWKYLION
40,41,159299,2021,th,แค่เธอเข้ามา (Worth The Wait), Tilly Birds
41,42,158034,2021,th,ผ่านตา (Everyday), Three Man Down
42,43,157835,2021,th,คนเก่าเขาทำไว้ดี (Can’t win), Chilling Sunday
43,44,156511,2021,th,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
44,45,154632,2021,th,ใกล้ (Closer), SCRUBB
45,46,148790,2021,th,เมษา (MAYSA) feat. BLACKSHEEP, fellow fellow
46,47,148161,2021,th,ภาวนา, MEYOU
47,48,147836,2021,th,โรคแอบชอบ (Love Fever), Lipta
48,49,145310,2021,th,ยิ้มมา, BOWKYLION
49,50,142879,2021,th,โลมาไม่ใช่ปลา, NaNa
50,51,133202,2021,th,อย่าอยู่เลย, Tilly Birds
51,52,127656,2021,th,At My Worst, Pink Sweat$
52,53,114796,2021,th,คำตอบ, Safeplanet
53,54,111909,2021,th,เวลาเธอยิ้ม, Polycat
54,55,107915,2021,th,Best Part (feat. Daniel Caesar), H.E.R.
55,56,107858,2021,th,Green Tea & Honey, Dane Amar
56,57,107252,2021,th,TIID TIIW, MILLI
57,58,102710,2021,th,ตาแตก, MILLI
58,59,102079,2021,th,คงคา, BOWKYLION
59,60,95795,2021,th,Psycho, Red Velvet
60,61,95426,2021,th,แค่นี้...พอ, The Parkinson
61,62,95000,2021,th,ยิ่งใกล้ยิ่งไม่รู้จัก, Wan Thanakrit
62,63,94793,2021,th,I’d Do It Again, Violette Wautier
63,64,94474,2021,th,How You Like That, BLACKPINK
64,65,93823,2021,th,วังวน(BOXX FROM HOME), SERIOUS BACON
65,66,93347,2021,th,Ice Cream (with Selena Gomez), BLACKPINK
66,67,92269,2021,th,อย่าบอกใครนะ, SOYBAD
67,68,91086,2021,th,Lovesick Girls, BLACKPINK
68,69,90909,2021,th,ซุปเปอร์ไซย่า, URBOYTJ
69,70,90868,2021,th,I CAN'T STOP ME, TWICE
70,71,88953,2021,th,Black Mamba, aespa
71,72,88346,2021,th,ข้างกัน (City), Three Man Down
72,73,87753,2021,th,เก็บทรงไม่อยู่ Feat. DIAMOND MQT, VANGOE
73,74,87052,2021,th,ถ้าฉันเป็นเขา, Indigo
74,75,86182,2021,th,หวง (You're Mine), Earth Patravee
75,76,85572,2021,th,comethru, Jeremy Zucker
76,77,82863,2021,th,Keep Cold, Numcha
77,78,82855,2021,th,Make A Wish (Birthday Song), NCT U
78,79,82775,2021,th,Strawberries & Cigarettes, Troye Sivan
79,80,82743,2021,th,Stuck with U (with Justin Bieber), Ariana Grande
80,81,82565,2021,th,แอบดี (How to live without you), Stamp
81,82,82271,2021,th,90's Love, NCT U
82,83,78979,2021,th,Heather, Conan Gray
83,84,78627,2021,th,How Can I, H 3 F
84,85,77063,2021,th,ไม่น่าไปรักเธอเลย (Walk Away), Chilling Sunday
85,86,75351,2021,th,เคยคิดถึงฉันไหมในตอนที่, ROOFTOP
86,87,75184,2021,th,ถามคำ, URBOYTJ
87,88,74702,2021,th,WAP (feat. Megan Thee Stallion), Cardi B
88,89,74659,2021,th,Mood (feat. iann dior), 24kGoldn
89,90,73541,2021,th,What You Know Bout Love, Pop Smoke
90,91,73422,2021,th,วาฬเกยตื้น, GUNGUN
91,92,72169,2021,th,ที่ผ่านมา, YERM
92,93,72066,2021,th,Someone You Loved, Lewis Capaldi
93,94,71408,2021,th,Blueberry Faygo, Lil Mosey
94,95,71110,2021,th,ยังไปไม่ไหว, Earth Patravee
95,96,70959,2021,th,ใจเดียว, Whal & Dolph
96,97,70954,2021,th,I Like Me Better, Lauv
97,98,70625,2021,th,Pretty Savage, BLACKPINK
98,99,70478,2021,th,เจ็บไม่จำ, O-Pavee
99,100,70435,2021,th,รางวัลปลอบใจ, Zom Marie
100,101,70150,2021,th,หัวหิน, WANYAi
101,102,70080,2021,th,she likes spring I prefer winter, slchld
102,103,69997,2021,th,คิดถึงแต่, BOWKYLION
103,104,69959,2021,th,รู้ตัวอีกที, MEYOU
104,105,69813,2021,th,นี่ฉันเอง feat. KOB FLAT BOY, Lipta
105,106,69047,2021,th,Therefore I Am, Billie Eilish
106,107,68227,2021,th,Her, YENTED
107,108,67456,2021,th,พอเถอะ, MEAN
108,109,66736,2021,th,Intentions (feat. Quavo), Justin Bieber
109,110,66504,2021,th,กอดในใจ, Billkin
110,111,66410,2021,th,eight(Prod.&Feat. SUGA of BTS), IU
111,112,65929,2021,th,Levitating (feat. DaBa,)  
112,113,65551,2021,th,แก้มน้องนางนั้นแดงกว่าใคร, เขียนไขและวานิช
113,114,64427,2021,th,Teach Me How To Love, Shawn Mendes
114,115,64273,2021,th,Blinding Lights, The Weeknd
115,116,64187,2021,th,ไม่พูดดีกว่า, NINEW
116,117,63892,2021,th,ยังคงคอย, Hers
117,118,62805,2021,th,ดีใจด้วยนะ(Glad), Ink Waruntorn
118,119,62073,2021,th,รอยยิ้ม, SCRUBB
119,120,61961,2021,th,Smoke, Violette Wautier
120,121,61869,2021,th,ไปเถอะเธอ, Three Man Down
121,122,61588,2021,th,2 soon, keshi
122,123,59552,2021,th,3:00 AM, Finding Hope
123,124,59515,2021,th,炎, LiSA
124,125,59337,2021,th,I.F.L.Y., Bazzi
125,126,59106,2021,th,โลกอีกใบ, Zom Marie
126,127,59080,2021,th,เจ็บจนพอ, WANYAi
127,128,58641,2021,th,รักได้ป่าว, Gavin D
128,129,58555,2021,th,lowkey, NIKI
129,130,58441,2021,th,Memories, Maroon 5
130,131,58206,2021,th,2002, Anne-Marie
131,132,57809,2021,th,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
132,133,57020,2021,th,CRY FOR ME, TWICE
133,134,56911,2021,th,คนไกล, Patrickananda
134,135,56764,2021,th,มาเฟียสเปน, YOUNGOHM
135,136,56681,2021,th,Lonely (with benny blanco), Justin Bieber
136,137,56513,2021,th,10000 Hours (with Justin Bieber), Dan + Shay
137,138,56495,2021,th,Bet You Wanna (feat. Cardi B), BLACKPINK
138,139,56295,2021,th,กอดความเจ็บช้ำ, Safeplanet
139,140,56186,2021,th,ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ, THE TOYS
140,141,55775,2021,th,death bed (coffee for your head), Powfu
141,142,55731,2021,th,ยิ้มอ่อนและมองบน, Zom Marie
142,143,55634,2021,th,From Home, NCT U
143,144,55429,2021,th,Future, Red Velvet
144,145,54986,2021,th,จีบก่อนผิดไหม, Natherine Dusita
145,146,54974,2021,th,Señorita, Shawn Mendes
146,147,54906,2021,th,หยุดอยู่ตรงนั้น, SCRUBB
147,148,54822,2021,th,จังหวะจะรัก, Violette Wautier
148,149,54803,2021,th,ไฟเย็น, YOUNGOHM
149,150,54131,2021,th,Day 1 ◑, HONNE
150,151,54111,2021,th,เหมาะสม, MEAN
151,152,54089,2021,th,สองใจ [Ost. วอน(เธอ)], MEYOU
152,153,53466,2021,th,Circles, Post Malone
153,154,53203,2021,th,มนุษย์เอ๋ย (HUMAN ERROR), Pop Pongkool
154,155,52819,2021,th,Boy With Luv (feat. Halsey), BTS
155,156,52804,2021,th,Call You Mine (feat. Geologic Of The Blue Scholars), Jeff Bernat
156,157,52328,2021,th,ลืมได้แล้ว, O-Pavee
157,158,51913,2021,th,Extraordinary, Anatomy Rabbit
158,159,51202,2021,th,Like I'm Gonna Lose You (feat. John Legend), Meghan Trainor
159,160,51158,2021,th,ความคิดถึงที่ฉันได้เคยส่งไปในคืนที่ฝนโปรยลงมา, Three Man Down X Tilly Birds
160,161,51128,2021,th,ร W8, Gene Kasidit
161,162,51001,2021,th,แพ้ทุกที (LOOPER), fellow fellow
162,163,50919,2021,th,ทีมรอเธอ, Three Man Down
163,164,50789,2021,th,My Favourite Clothes, RINI
164,165,50657,2021,th,อยู่ก่อน, URBOYTJ
165,166,50371,2021,th,紅蓮華, LiSA
166,167,50152,2021,th,บวบ, Gavin D
167,168,50113,2021,th,Wonder, Shawn Mendes
168,169,50029,2021,th,Mean It, Lauv
169,170,49949,2021,th,Wish, Blackbeans
170,171,49457,2021,th,New Year's Resolution, Morvasu
171,172,48906,2021,th,ทุกเทศกาล, CYANIDE
172,173,48336,2021,th,เรื่องจริง, SIN
173,174,47948,2021,th,Say So, Doja Cat
174,175,47861,2021,th,Paris in the Rain, Lauv
175,176,47548,2021,th,ขอ, Lomosonic
176,177,47545,2021,th,Not Shy, ITZY
177,178,47536,2021,th,Panorama, IZ*ONE
178,179,47454,2021,th,Never Not, Lauv
179,180,47377,2021,th,Wings, So!YoON!
180,181,46821,2021,th,Fake, Lauv
181,182,46790,2021,th,you broke me first, Tate McRae
182,183,46455,2021,th,Savage Love (Laxed – Siren Beat) [BTS Remix], Jawsh 685
183,184,46443,2021,th,Are You out yet ?, Anatomy Rabbit
184,185,46408,2021,th,I Love You 3000, Stephanie Poetri
185,186,46357,2021,th,thank u next, Ariana Grande
186,187,46042,2021,th,pov, Ariana Grande
187,188,45865,2021,th,เธอทั้งนั้น, Groove Riders
188,189,45691,2021,th,Some, BOL4
189,190,45489,2021,th,หนีห่าง, เขียนไขและวานิช
190,191,45486,2021,th,What Do I Call You, TAEYEON
191,192,45312,2021,th,ดาว - Cover version, Pause
192,193,45107,2021,th,อย่าเสียใจคนเดียว ost. HORMONES 3 THE FINAL SEASON, Better Weather
193,194,45008,2021,th,Copines, Aya Nakamura
194,195,44776,2021,th,"โคตรพิเศษ - From ""I Told Sunset About You""", PP Krit
195,196,44509,2021,th,Mmmh, KAI
196,197,44480,2021,th,hate you love you, Plastic Plastic
197,198,44357,2021,th,Mariposa, Peach Tree Rascals
198,199,44319,2021,th,Still, Jeff Bernat
199,200,44314,2021,th,อยากบอกให้รู้, SCRUBB
