,Rank,Streams,Year,Country,Title,Artist
0,1,807355,2019,tr,Bir İhtimal Biliyorum, Gülşen
1,2,525987,2019,tr,3 2 1, Ben Fero
2,3,492336,2019,tr,Sana Doğru, Bora Duran
3,4,452297,2019,tr,İçimdeki Sen, Bilal Sonses
4,5,435008,2019,tr,Geceler, Ezhel
5,6,401161,2019,tr,Kazıdık Tırnaklarla, Ezhel
6,7,396807,2019,tr,KAFA10, Anıl Piyancı
7,8,377531,2019,tr,Mary Jane (Radio Edit), Burry Soprano
8,9,365784,2019,tr,Leyla, Tahribad-ı İsyan
9,10,350584,2019,tr,Mahallemiz Esmer, Ben Fero
10,11,328909,2019,tr,Ay Tenli Kadın, Ufuk Beydemir
11,12,324511,2019,tr,Islah, Muşta
12,13,324311,2019,tr,Yak Yak Yak, Şehinşah
13,14,319320,2019,tr,Unutturmam, Cengiz Ateş
14,15,318565,2019,tr,Tarifi Zor, Soner Sarıkabadayı
15,16,309570,2019,tr,Elbet Bir Gün, Canbay & Wolker
16,17,306599,2019,tr,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
17,18,302662,2019,tr,Boş Gemiler, Yüzyüzeyken Konuşuruz
18,19,297313,2019,tr,Bu Havada Gidilmez, Manuş Baba
19,20,291291,2019,tr,Oldu Olanlar, DJ Tarkan
20,21,283719,2019,tr,İmkansızım, Ezhel
21,22,281921,2019,tr,Catla, Velet
22,23,278300,2019,tr,Öpücem, Simge
23,24,277377,2019,tr,Dinle Beni Bi', Yüzyüzeyken Konuşuruz
24,25,276404,2019,tr,Unuturum Elbet, Rafet El Roman
25,26,275114,2019,tr,Dünya'dan Atlas'a, Şehinşah
26,27,272934,2019,tr,Milyon, Şehinşah
27,28,258264,2019,tr,Kiss and Make Up, Dua Lipa
28,29,250623,2019,tr,Tamam Tamam, Summer Cem
29,30,247435,2019,tr,Without Me, Halsey
30,31,245568,2019,tr,In My Mind, Dynoro
31,32,239946,2019,tr,Say My Name, David Guetta
32,33,239091,2019,tr,Ne Farkeder, Yüzyüzeyken Konuşuruz
33,34,238801,2019,tr,Beni Sev, Hande Yener
34,35,238420,2019,tr,Bir Derdim Var, mor ve ötesi
35,36,233316,2019,tr,Neyim Var Ki (feat. Sagopa K), Ceza
36,37,227076,2019,tr,Kibir, Contra
37,38,222758,2019,tr,Yanlış, Tuğçe Kandemir
38,39,221156,2019,tr,lovely, Billie Eilish
39,40,215160,2019,tr,Yaramızda Kalsın, Onur Can Özcan
40,41,214993,2019,tr,Bu Gece, Ceg
41,42,214076,2019,tr,Aşk Bitsin, Buray
42,43,213677,2019,tr,Sürgün Aşkımız, Emrah Karaduman
43,44,212047,2019,tr,Pavyon (feat. Ezhel), Artz
44,45,209725,2019,tr,Dipsiz Kuyum, Emrah Karaduman
45,46,208073,2019,tr,Sarmaşık, Mabel Matiz
46,47,206953,2019,tr,Vuracak, Merve Özbey
47,48,205685,2019,tr,Thunderclouds, Sia
48,49,201216,2019,tr,A Canım, Mabel Matiz
49,50,197419,2019,tr,Güzelliğine, EDIS
50,51,197015,2019,tr,Sensiz Ben Ne Olayım, Yalın
51,52,196913,2019,tr,Suspus, Ceza
52,53,191597,2019,tr,Salla, Aynur Aydın
53,54,190683,2019,tr,Uyan, Velet
54,55,189996,2019,tr,Sıfır Sıkıntı, Istanbul Trip
55,56,189162,2019,tr,Bazen (feat. Emel), Ezhel
56,57,182632,2019,tr,Legal, Khontkar
57,58,180603,2019,tr,An, EDIS
58,59,179465,2019,tr,Kabahat Bende, Buray
59,60,177141,2019,tr,Nilüfer, Müslüm Gürses
60,61,175037,2019,tr,Şehrimin Tadı, Ezhel
61,62,174463,2019,tr,Heyecanı Yok, Gazapizm
62,63,172425,2019,tr,Solo (feat. Demi Lovato), Clean Bandit
63,64,172291,2019,tr,Lafügüzaf, Gökhan Türkmen
64,65,171612,2019,tr,Bodrum, Yüzyüzeyken Konuşuruz
65,66,170776,2019,tr,thank u next, Ariana Grande
66,67,170490,2019,tr,Kimlerdensin, Ben Fero
67,68,168393,2019,tr,Natural, Imagine Dragons
68,69,166112,2019,tr,Düşün ki, Sancak
69,70,165621,2019,tr,Sen Benim Şarkılarımsın, Cem Adrian
