,Rank,Streams,Year,Country,Title,Artist
0,1,231955,2019,tw,怪美的, Jolin Tsai
1,2,190347,2019,tw,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version, Skylar Grey
2,3,179378,2019,tw,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
3,4,172430,2019,tw,浪流連, EggPlantEgg
4,5,163792,2019,tw,thank u next, Ariana Grande
5,6,146760,2019,tw,Without Me, Halsey
6,7,145398,2019,tw,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
7,8,137615,2019,tw,Shallow, Lady Gaga
8,9,136454,2019,tw,Wow., Post Malone
9,10,135979,2019,tw,浪子回頭, EggPlantEgg
10,11,127853,2019,tw,年少有為, Ronghao Li
11,12,126101,2019,tw,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
12,13,123162,2019,tw,消極掰, Jolin Tsai
13,14,121272,2019,tw,玫瑰少年, Jolin Tsai
14,15,114714,2019,tw,倒數, G.E.M.
15,16,109722,2019,tw,"Fire On Fire - From ""Watership Down""", Sam Smith
16,17,109497,2019,tw,Forever Young, Eve Ai
17,18,107672,2019,tw,SOLO, JENNIE
18,19,105742,2019,tw,體面(電影《前任3:再見前任》插曲), Kelly Yu
19,20,105458,2019,tw,你也有今天, Jolin Tsai
20,21,103082,2019,tw,Saturday Nights, Khalid
21,22,98083,2019,tw,Bad Liar, Imagine Dragons
22,23,97363,2019,tw,imagine, Ariana Grande
23,24,96300,2019,tw,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
24,25,95656,2019,tw,連名帶姓, A-Mei Chang
25,26,94436,2019,tw,慢慢喜歡你, Karen Mok
26,27,93349,2019,tw,Always Remember Us This Way, Lady Gaga
27,28,91078,2019,tw,Hope, The Chainsmokers
28,29,90955,2019,tw,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
29,30,90409,2019,tw,甜秘密, Jolin Tsai
30,31,90209,2019,tw,我還年輕 我還年輕, 老王樂隊
31,32,88791,2019,tw,如果我沒有傷口, Jolin Tsai
32,33,88643,2019,tw,Ruin My Life, Zara Larsson
33,34,88509,2019,tw,Sweet but Psycho, Ava Max
34,35,85821,2019,tw,2002, Anne-Marie
35,36,84507,2019,tw,幾分之幾 - 電影<花甲大人轉男孩>主題曲, Crowd Lu
36,37,81995,2019,tw,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
37,38,80603,2019,tw,追光者 - 電視劇夏至未至插曲, Yoyo Sham
38,39,79066,2019,tw,Lie To Me, 5 Seconds of Summer
39,40,78869,2019,tw,Eastside (with Halsey & Khalid), benny blanco
40,41,78808,2019,tw,Happier, Marshmello
41,42,77030,2019,tw,Be Alright, Dean Lewis
42,43,76934,2019,tw,腦公, Jolin Tsai
43,44,76436,2019,tw,紅衣女孩, Jolin Tsai
44,45,75564,2019,tw,YES or YES, TWICE
45,46,73613,2019,tw,This Feeling, The Chainsmokers
46,47,73158,2019,tw,愛的羅曼死, Jolin Tsai
47,48,72708,2019,tw,轉眼(2018 自傳最終章), Mayday
48,49,71745,2019,tw,備胎 (feat. Eetu Kalavainen), R-chord
49,50,69815,2019,tw,進階, JJ Lin
50,51,68949,2019,tw,買榜, Kumachan
51,52,67792,2019,tw,Better, Khalid
52,53,67688,2019,tw,Lemon, Kenshi Yonezu
53,54,67685,2019,tw,Love Someone, Lukas Graham
54,55,67102,2019,tw,惡之必要, Jolin Tsai
55,56,67065,2019,tw,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
