,Rank,Streams,Year,Country,Title,Artist
0,1,23844,2020,ua,Blinding Lights, The Weeknd
1,2,22197,2020,ua,ROCKSTAR (feat. Roddy Ricch), DaBa
2,3,18849,2020,ua,Come & Go (with Marshmello), Juice WRLD
3,4,15849,2020,ua,Cadillac, MORGENSHTERN
4,5,13418,2020,ua,How You Like That, BLACKPINK
5,6,12884,2020,ua,Watermelon Sugar, Harry Styles
6,7,12664,2020,ua,Wishing Well, Juice WRLD
7,8,12121,2020,ua,Savage Love (Laxed - Siren Beat), Jawsh 685
8,9,9653,2020,ua,Roses - Imanbek Remix, SAINt JHN
9,10,9624,2020,ua,Stay Gold, BTS
10,11,9572,2020,ua,Breaking Me, Topic
11,12,8739,2020,ua,Your eyes tell, BTS
12,13,8734,2020,ua,Toosie Slide, Drake
13,14,8684,2020,ua,Дежавю, kizaru
14,15,8649,2020,ua,THE SCOTTS, THE SCOTTS
15,16,8231,2020,ua,Party Girl (Remix), StaySolidRocky
16,17,8094,2020,ua,ily (i love you ba,) (feat. Emilee)  
17,18,8073,2020,ua,Rain On Me (with Ariana Grande), Lady Gaga
18,19,7839,2020,ua,Break My Heart, Dua Lipa
19,20,7588,2020,ua,Blueberry Faygo, Lil Mosey
20,21,7395,2020,ua,death bed (coffee for your head), Powfu
21,22,6967,2020,ua,SICKO MODE, Travis Scott
22,23,6890,2020,ua,Life's A Mess (feat. Halsey), Juice WRLD
23,24,6867,2020,ua,X.O, The Limba
24,25,6848,2020,ua,HIGHEST IN THE ROOM, Travis Scott
25,26,6625,2020,ua,Honey's Kettle, kizaru
26,27,6454,2020,ua,WHATS POPPIN (feat. DaBa,
27,28,6317,2020,ua,Don't Start Now, Dua Lipa
28,29,6062,2020,ua,goosebumps, Travis Scott
29,30,6016,2020,ua,Friendly Fire - Prod. Avepack, Boulevard Depo
30,31,5717,2020,ua,Righteous, Juice WRLD
31,32,5705,2020,ua,The Box, Roddy Ricch
32,33,5656,2020,ua,Smile, Katy Perry
33,34,5532,2020,ua,Положение, Skryptonite
34,35,5484,2020,ua,Dance Monkey, Tones And I
35,36,5471,2020,ua,In Your Eyes, The Weeknd
36,37,5267,2020,ua,Малый повзрослел, Max Korzh
37,38,5178,2020,ua,ВЕЧЕРиНОЧКА, MONATIK
38,39,5175,2020,ua,Москва любит..., Skryptonite
39,40,5122,2020,ua,Поболело и прошло, HENSY
40,41,5060,2020,ua,Kings & Queens, Ava Max
41,42,4979,2020,ua,Conversations, Juice WRLD
42,43,4955,2020,ua,bad guy, Billie Eilish
43,44,4942,2020,ua,MAMACITA, Black Eyed Peas
44,45,4881,2020,ua,Шантаж, Max Korzh
45,46,4880,2020,ua,Колхозник, Mnogoznaal
46,47,4807,2020,ua,Last Dance, Vremya i Steklo
47,48,4783,2020,ua,2 типа людей, Max Korzh
48,49,4776,2020,ua,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
49,50,4737,2020,ua,Say So, Doja Cat
50,51,4688,2020,ua,Gimme The Loot, Big Ba
51,52,4683,2020,ua,MONEY LONG, kizaru
52,53,4636,2020,ua,God’s Menu, Stray Kids
53,54,4636,2020,ua,Stunnin' (feat. Harm Franklin), Curtis Waters
54,55,4600,2020,ua,Stuck with U (with Justin Bieber), Ariana Grande
55,56,4587,2020,ua,Разнесем, Max Korzh
56,57,4481,2020,ua,РАТАТАТАТА, MORGENSHTERN
57,58,4415,2020,ua,Supalonely, BENEE
58,59,4411,2020,ua,Be Kind (with Halsey), Marshmello
59,60,4403,2020,ua,Новый Мерин, MORGENSHTERN
60,61,4358,2020,ua,Life Is Good (feat. Drake), Future
61,62,4346,2020,ua,TKN (feat. Travis Scott), ROSALÍA
62,63,4324,2020,ua,Someone You Loved, Lewis Capaldi
63,64,4301,2020,ua,Ламбада, T-Fest
64,65,4297,2020,ua,Believer, Imagine Dragons
65,66,4281,2020,ua,Circles, Post Malone
66,67,4262,2020,ua,Малолетка, Max Korzh
67,68,4247,2020,ua,Godzilla (feat. Juice WRLD), Eminem
68,69,4203,2020,ua,Мультибрендовый, Skryptonite
69,70,4202,2020,ua,Daechwita, Agust D
70,71,4157,2020,ua,Trap Luv, Big Ba
71,72,4139,2020,ua,Малиновый закат, Max Korzh
72,73,4110,2020,ua,7 rings, Ariana Grande
73,74,4097,2020,ua,The Woo (feat. 50 Cent & Roddy Ricch), Pop Smoke
74,75,4064,2020,ua,queen of broken hearts, blackbear
75,76,4064,2020,ua,ЮМОРИСТ - Original Motion Picture Soundtrack, FACE
76,77,4025,2020,ua,For The Night (feat. Lil Ba, & DaBa
77,78,3909,2020,ua,Краш, Klava Koka
78,79,3867,2020,ua,Hate The Other Side (with Marshmello & The Kid Laroi), Juice WRLD
79,80,3846,2020,ua,ON, BTS
80,81,3845,2020,ua,Рашан моуст уонтэд, kizaru
81,82,3827,2020,ua,Boy With Luv (feat. Halsey), BTS
82,83,3728,2020,ua,Falling, Trevor Daniel
83,84,3682,2020,ua,everything i wanted, Billie Eilish
84,85,3671,2020,ua,Горы по колено, Max Korzh
85,86,3611,2020,ua,nursery, bbno$
86,87,3569,2020,ua,lovely (with Khalid), Billie Eilish
87,88,3569,2020,ua,Конфеты, Markul
88,89,3568,2020,ua,Angry toy$ - Prod. Ray Qwa, Boulevard Depo
89,90,3560,2020,ua,Евгений Онегин, kizaru
90,91,3558,2020,ua,Parasite Eve, Bring Me The Horizon
91,92,3555,2020,ua,Little Sadie, Crooked Still
92,93,3547,2020,ua,Maria, Hwa Sa
93,94,3516,2020,ua,Цепи, Skryptonite
94,95,3513,2020,ua,Привычка, Skryptonite
95,96,3495,2020,ua,Yung Hefner, MORGENSHTERN
96,97,3452,2020,ua,Starboy, The Weeknd
