,Rank,Streams,Year,Country,Title,Artist
0,1,9855305,2018,us,rockstar, Post Malone
1,2,8504248,2018,us,Finesse - Remix; feat. Cardi B, Bruno Mars
2,3,7685058,2018,us,No Limit, G-Eazy
3,4,7439471,2018,us,Bartier Cardi (feat. 21 Savage), Cardi B
4,5,6971450,2018,us,I Fall Apart, Post Malone
5,6,6419256,2018,us,Ric Flair Drip (with Metro Boomin), Offset
6,7,6406373,2018,us,All The Stars (with SZA), Kendrick Lamar
7,8,6239280,2018,us,Him & I (with Halsey), G-Eazy
8,9,5860925,2018,us,Havana (feat. Young Thug), Camila Cabello
9,10,5657847,2018,us,LOVE. FEAT. ZACARI., Kendrick Lamar
10,11,5505158,2018,us,Codeine Dreaming (feat. Lil Wayne), Kodak Black
11,12,5215443,2018,us,Let You Down, NF
12,13,5110437,2018,us,Candy Paint, Post Malone
13,14,5048103,2018,us,Filthy, Justin Timberlake
14,15,4996794,2018,us,Gucci Gang, Lil Pump
15,16,4875212,2018,us,River (feat. Ed Sheeran), Eminem
16,17,4828478,2018,us,XO Tour Llif3, Lil Uzi Vert
17,18,4680932,2018,us,PICK IT UP (feat. A$AP Rocky), Famous Dex
18,19,4589237,2018,us,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
19,20,4497907,2018,us,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
20,21,4457378,2018,us,MotorSport, Migos
21,22,4419534,2018,us,Bank Account, 21 Savage
22,23,4409183,2018,us,Wolves, Selena Gomez
23,24,4362005,2018,us,Too Good At Good,es  
24,25,4361670,2018,us,Plain Jane, A$AP Ferg
25,26,4306140,2018,us,HUMBLE., Kendrick Lamar
26,27,4290792,2018,us,Sky Walker (feat. Travis Scott), Miguel
27,28,4268123,2018,us,Perfect, Ed Sheeran
28,29,4227667,2018,us,New Rules, Dua Lipa
29,30,4113995,2018,us,Congratulations, Post Malone
30,31,4014104,2018,us,Young Dumb & Broke, Khalid
31,32,3929719,2018,us,Betrayed, Lil Xan
32,33,3884863,2018,us,Silence, Marshmello
33,34,3815871,2018,us,Never Be the Same, Camila Cabello
34,35,3745379,2018,us,1-800-273-8255, Logic
35,36,3728239,2018,us,What Lovers Do (feat. SZA), Maroon 5
36,37,3700208,2018,us,Stir Fry, Migos
37,38,3688248,2018,us,Tell Me You Love Me, Demi Lovato
38,39,3648863,2018,us,I Get the Bag (feat. Migos), Gucci Mane
39,40,3615183,2018,us,Bodak Yellow, Cardi B
40,41,3459502,2018,us,Bad At Love, Halsey
41,42,3327102,2018,us,goosebumps, Travis Scott
42,43,3257935,2018,us,BUTTERFLY EFFECT, Travis Scott
43,44,3252233,2018,us,Thunder, Imagine Dragons
44,45,3212271,2018,us,Roll in Peace (feat. XXXTENTACION), Kodak Black
45,46,3164402,2018,us,End Game, Taylor Swift
46,47,3163879,2018,us,Location, Khalid
47,48,3090793,2018,us,The Way Life Goes (feat. Oh Wonder), Lil Uzi Vert
48,49,3036983,2018,us,Unforgettable, French Montana
49,50,3012676,2018,us,Wanted You (feat. Lil Uzi Vert), NAV
50,51,2956614,2018,us,Sorry Not Sorry, Demi Lovato
51,52,2952867,2018,us,Jocelyn Flores, XXXTENTACION
52,53,2868264,2018,us,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
53,54,2833539,2018,us,Rewrite The Stars, Zac Efron
54,55,2813994,2018,us,Fuck Love (feat. Trippie Redd), XXXTENTACION
55,56,2801608,2018,us,IDGAF, Dua Lipa
56,57,2787070,2018,us,Saint, Huncho Jack
57,58,2701157,2018,us,I Miss You (feat. Julia Michaels), Clean Bandit
58,59,2692281,2018,us,Rubbin Off The Paint, YBN Nahmir
59,60,2613131,2018,us,Nowadays (feat. Landon Cube), Lil Skies
60,61,2603261,2018,us,Ghostface Killers (feat. Travis Scott), 21 Savage
61,62,2593273,2018,us,Slippery (feat. Gucci Mane), Migos
62,63,2570227,2018,us,This Is Me, Keala Settle
63,64,2567244,2018,us,Designer, Lil Pump
64,65,2494436,2018,us,Drowning (feat. Kodak Black), A Boogie Wit da Hoodie
65,66,2484706,2018,us,GUMMO, 6ix9ine
66,67,2484315,2018,us,DNA., Kendrick Lamar
67,68,2464024,2018,us,Shape of You, Ed Sheeran
68,69,2341546,2018,us,Go Flex, Post Malone
69,70,2339051,2018,us,Real Friends, Camila Cabello
70,71,2337131,2018,us,Échame La Culpa, Luis Fonsi
71,72,2306298,2018,us,Feel It Still, Portugal. The Man
72,73,2303477,2018,us,Dubai Shit, Huncho Jack
73,74,2302090,2018,us,The Greatest Show, Hugh Jackman
74,75,2287917,2018,us,How Long, Charlie Puth
75,76,2281315,2018,us,Believer, Imagine Dragons
76,77,2267969,2018,us,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
77,78,2264515,2018,us,MIC Drop (feat. Desiigner) [Steve Aoki Remix], BTS
78,79,2233975,2018,us,Go Legend (& Metro Boomin), Big Sean
79,80,2183403,2018,us,Body Like A Back Road, Sam Hunt
80,81,2145086,2018,us,Sober, G-Eazy
81,82,2138590,2018,us,Never Enough, Loren Allred
82,83,2117766,2018,us,A Million Dreams, Ziv Zaifman
83,84,2106003,2018,us,Love Galore (feat. Travis Scott), SZA
84,85,2096245,2018,us,Redbone, Childish Gambino
85,86,2093230,2018,us,Rake It Up (feat. Nicki Minaj), Yo Gotti
86,87,2066321,2018,us,Plain Jane REMIX (feat. Nicki Minaj), A$AP Ferg
87,88,2065643,2018,us,Ice Tray, Quality Control
88,89,2045781,2018,us,For You (Fifty Shades Freed) (& Rita Ora), Liam Payne
89,90,2035386,2018,us,New Freezer (feat. Kendrick Lamar), Rich The Kid
90,91,2016953,2018,us,White Iverson, Post Malone
91,92,2011856,2018,us,Sensualidad, Bad Bunny
92,93,2011792,2018,us,Magnolia, Playboi Carti
93,94,2010275,2018,us,The Other Side, Hugh Jackman
94,95,1974154,2018,us,Attention, Charlie Puth
95,96,1972464,2018,us,Mask Off, Future
96,97,1959396,2018,us,Losin Control, Russ
97,98,1954887,2018,us,Wait, Maroon 5
98,99,1942835,2018,us,The Weekend, SZA
99,100,1921901,2018,us,Sauce It Up, Lil Uzi Vert
100,101,1904034,2018,us,That's What I Like, Bruno Mars
101,102,1874545,2018,us,Relationship (feat. Future), Young Thug
102,103,1861312,2018,us,Marry Me, Thomas Rhett
103,104,1856942,2018,us,Delicate, Taylor Swift
104,105,1850900,2018,us,Say You Won't Let Go, James Arthur
105,106,1831110,2018,us,Tip Toe (feat. French Montana), Jason Derulo
106,107,1828254,2018,us,The Weekend - Funk Wav Remix, SZA
107,108,1813165,2018,us,What Ifs (feat. Lauren Alaina), Kane Brown
108,109,1807133,2018,us,It's A Vibe, 2 Chainz
109,110,1798190,2018,us,iSpy (feat. Lil Yachty), KYLE
110,111,1796584,2018,us,Dark Knight Dummo (Feat. Travis Scott), Trippie Redd
111,112,1794457,2018,us,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
112,113,1790194,2018,us,Despacito - Remix, Luis Fonsi
113,114,1782571,2018,us,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
114,115,1780184,2018,us,Mi Gente, J Balvin
115,116,1775232,2018,us,Transportin', Kodak Black
116,117,1771671,2018,us,La Modelo, Ozuna
117,118,1765206,2018,us,Everybody Dies In Their Nightmares, XXXTENTACION
118,119,1765016,2018,us,Bad and Boujee (feat. Lil Uzi Vert), Migos
119,120,1759652,2018,us,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne), DJ Khaled
120,121,1752779,2018,us,Strip That Down, Liam Payne
121,122,1752229,2018,us,Corazón, Maluma
122,123,1739236,2018,us,Bounce Back, Big Sean
123,124,1735913,2018,us,Crew (feat. Brent Faiyaz & Shy Glizzy), GoldLink
124,125,1728903,2018,us,I Like Me Better, Lauv
125,126,1722083,2018,us,Look What You Made Me Do, Taylor Swift
126,127,1713795,2018,us,Red Roses (feat. Landon Cube), Lil Skies
127,128,1710412,2018,us,Icon, Jaden
128,129,1708449,2018,us,do re mi, blackbear
129,130,1701407,2018,us,Passionfruit, Drake
130,131,1694705,2018,us,Tunnel Vision, Kodak Black
131,132,1680632,2018,us,The Race, Tay-K
132,133,1669562,2018,us,LOYALTY. FEAT. RIHANNA., Kendrick Lamar
133,134,1666931,2018,us,Modern Slavery, Huncho Jack
134,135,1637167,2018,us,Come Alive, Hugh Jackman
135,136,1622079,2018,us,...Ready For It?, Taylor Swift
136,137,1592429,2018,us,No Role Modelz, J. Cole
137,138,1583728,2018,us,Love Scars, Trippie Redd
138,139,1583435,2018,us,wokeuplikethis*, Playboi Carti
139,140,1576833,2018,us,From Now On, Hugh Jackman
140,141,1568534,2018,us,Pills & Automobiles (feat. Yo Gotti A Boogie Wit Da Hoodie & Kodak Black), Chris Brown
141,142,1567787,2018,us,Black & Chinese, Huncho Jack
142,143,1550003,2018,us,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix, Lil Uzi Vert
143,144,1537449,2018,us,Look At Me!, XXXTENTACION
144,145,1525089,2018,us,Something Just Like This, The Chainsmokers
145,146,1522209,2018,us,Closer, The Chainsmokers
146,147,1517198,2018,us,KOODA, 6ix9ine
147,148,1501830,2018,us,T-Shirt, Migos
148,149,1497973,2018,us,Unforgettable, Thomas Rhett
149,150,1490807,2018,us,Sucker for You, Matt Terry
150,151,1465946,2018,us,beibs in the trap, Travis Scott
151,152,1460160,2018,us,There's Nothing Holdin' Me Back, Shawn Mendes
152,153,1457879,2018,us,Fake Love, Drake
153,154,1457857,2018,us,Slow Hands, Niall Horan
154,155,1448094,2018,us,Starboy, The Weeknd
155,156,1437753,2018,us,20 Min, Lil Uzi Vert
156,157,1435805,2018,us,Lemon, N.E.R.D
157,158,1433607,2018,us,All Falls Down (feat. Juliander), Alan Walker
158,159,1431986,2018,us,PRBLMS, 6LACK
159,160,1429040,2018,us,Caroline, Aminé
160,161,1428118,2018,us,Praying, Kesha
161,162,1421904,2018,us,Tightrope, Michelle Williams
162,163,1416416,2018,us,Greatest Love Story, LANCO
163,164,1410265,2018,us,Die For You, The Weeknd
164,165,1405568,2018,us,Don't, Bryson Tiller
165,166,1405347,2018,us,Wild Thoughts (feat. Rihanna & Bryson Tiller), DJ Khaled
166,167,1404404,2018,us,No Option, Post Malone
167,168,1394352,2018,us,Se Preparó, Ozuna
168,169,1390749,2018,us,In Case You Didn't Know, Brett Young
169,170,1386971,2018,us,Issues, Julia Michaels
170,171,1376080,2018,us,Yours, Russell Dickerson
171,172,1357126,2018,us,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
172,173,1356040,2018,us,Stay, Zedd
173,174,1352221,2018,us,Glorious (feat. Skylar Grey), Macklemore
174,175,1350906,2018,us,You Broke Up with Me, Walker Hayes
175,176,1343948,2018,us,Money Longer, Lil Uzi Vert
176,177,1343059,2018,us,Exchange, Bryson Tiller
177,178,1342572,2018,us,First Day Out, Tee Grizzley
178,179,1339080,2018,us,Myself, NAV
179,180,1336349,2018,us,Poles 1469, Trippie Redd
180,181,1334327,2018,us,One Dance, Drake
181,182,1331187,2018,us,Craving You, Thomas Rhett
182,183,1330606,2018,us,Bring It Back (with Drake & Mike WiLL Made-It), Trouble
183,184,1327023,2018,us,Saved, Khalid
184,185,1317977,2018,us,X (feat. Future), 21 Savage
185,186,1312635,2018,us,When It Rains It Pours, Luke Combs
186,187,1308623,2018,us,Heartache On The Dance Floor, Jon Pardi
187,188,1304797,2018,us,Criminal, Natti Natasha
188,189,1304729,2018,us,Anywhere, Rita Ora
189,190,1303804,2018,us,Portland, Drake
190,191,1300513,2018,us,Mayores, Becky G
191,192,1299033,2018,us,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
192,193,1295916,2018,us,Eye 2 Eye, Huncho Jack
193,194,1276913,2018,us,Havana - Remix, Camila Cabello
194,195,1276157,2018,us,Danger (with Migos & Marshmello), Migos
195,196,1273030,2018,us,So Good (& Metro Boomin), Big Sean
196,197,1272767,2018,us,Motorcycle Patches, Huncho Jack
197,198,1270760,2018,us,pick up the phone, Young Thug
198,199,1263910,2018,us,Now Or Never, Halsey
199,200,1253378,2018,us,Good Old Days (feat. Kesha), Macklemore
