,Rank,Streams,Year,Country,Title,Artist
0,1,226313,2020,uy,Tusa, KAROL G
1,2,120780,2020,uy,Hola - Remix, Dalex
2,3,120345,2020,uy,Dance Monkey, Tones And I
3,4,110365,2020,uy,RITMO (Bad Boys For Life), Black Eyed Peas
4,5,109906,2020,uy,Fantasias, Rauw Alejandro
5,6,97701,2020,uy,China, Anuel AA
6,7,94028,2020,uy,Que Tire Pa Lante, Daddy Yankee
7,8,89438,2020,uy,Perreo en La Luna, Rich Music LTD
8,9,86903,2020,uy,Vete, Bad Bunny
9,10,82629,2020,uy,Whine Up, Nicky Jam
10,11,80051,2020,uy,Bellaquita - Remix, Dalex
11,12,77885,2020,uy,Adicto (with Anuel AA & Ozuna), Tainy
12,13,74202,2020,uy,Tutu, Camilo
13,14,72567,2020,uy,Si Te Vas, Sech
14,15,72379,2020,uy,Sigues Con El, Arcangel
15,16,70770,2020,uy,Fresa, TINI
16,17,69979,2020,uy,Aventura, Lunay
17,18,66418,2020,uy,Callaita, Bad Bunny
18,19,66302,2020,uy,Quizas, Rich Music LTD
19,20,66052,2020,uy,Indeciso, Reik
20,21,62168,2020,uy,LA CANCIÓN, J Balvin
21,22,62065,2020,uy,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
22,23,61119,2020,uy,Ya No Mas, Fer Palacio
23,24,56855,2020,uy,Blanco, J Balvin
24,25,56764,2020,uy,C90 (Remix), John C
25,26,55678,2020,uy,No Me Conoce - Remix, Jhay Cortez
26,27,55344,2020,uy,Señorita, Shawn Mendes
27,28,54706,2020,uy,Goteo, Duki
28,29,53007,2020,uy,Fantasía, Ozuna
29,30,49322,2020,uy,Otro Trago - Remix, Sech
30,31,46377,2020,uy,Yo x Ti Tu x Mi, ROSALÍA
31,32,46373,2020,uy,¿Qué Ha Pasao'?, Abraham Mateo
32,33,46180,2020,uy,Soltera - Remix, Lunay
33,34,45762,2020,uy,Japón, Rombai
34,35,42753,2020,uy,CANGURO, WOS
35,36,42733,2020,uy,Uniforme, Rich Music LTD
