,Rank,Streams,Year,Country,Title,Artist
0,1,143836,2020,vn,Psycho, Red Velvet
1,2,138009,2020,vn,Có Chàng Trai Viết Lên Cây, Phan Mạnh Quỳnh
2,3,135587,2020,vn,Dance Monkey, Tones And I
3,4,128499,2020,vn,Lối Nhỏ, Đen
4,5,118513,2020,vn,Duyen Am, Hoang Thuy Linh
5,6,117663,2020,vn,Señorita, Shawn Mendes
6,7,116497,2020,vn,Yummy, Justin Bieber
7,8,110270,2020,vn,Memories, Maroon 5
8,9,96751,2020,vn,Em Day Chang Phai Thuy Kieu, Hoang Thuy Linh
9,10,91242,2020,vn,Bài Này Chill Phết, Đen
10,11,85996,2020,vn,Mascara, Chillies
11,12,80783,2020,vn,Hãy Trao Cho Anh, Sơn Tùng M-TP
12,13,76784,2020,vn,Đi Đu Đưa Đi, Bich Phuong
13,14,74581,2020,vn,De Mi Noi Cho Ma Nghe, Hoang Thuy Linh
14,15,67984,2020,vn,everything i wanted, Billie Eilish
15,16,67888,2020,vn,LẦN CUỐI (đi bên em xót xa người ơi), Ngọt
16,17,66896,2020,vn,bad guy, Billie Eilish
17,18,66861,2020,vn,7 rings, Ariana Grande
18,19,66346,2020,vn,Can We Kiss Forever?, Kina
19,20,65823,2020,vn,Thanh Xuan, Da LAB
20,21,62006,2020,vn,Let Me Down Slowly, Alec Benjamin
21,22,60390,2020,vn,ROXANNE, Arizona Zervas
22,23,60151,2020,vn,Mượn Rượu Tỏ Tình, BigDaddy
23,24,59050,2020,vn,Lam Moi Toi Ngoi Khong, Hoang Thuy Linh
24,25,59047,2020,vn,I'm Still Loving You, Noo Phước Thịnh
25,26,58912,2020,vn,Có Người, Vu Cat Tuong
26,27,56408,2020,vn,Don't Start Now, Dua Lipa
27,28,55031,2020,vn,Lạ Lùng, Vũ.
28,29,54028,2020,vn,2002, Anne-Marie
29,30,53940,2020,vn,I Love You 3000, Stephanie Poetri
30,31,53833,2020,vn,Falling, Trevor Daniel
31,32,53117,2020,vn,Anh Đếch Cần Gì Nhiều Ngoài Em, Đen
32,33,52988,2020,vn,Circles, Post Malone
33,34,52873,2020,vn,Someone You Loved, Lewis Capaldi
34,35,50663,2020,vn,comethru, Jeremy Zucker
35,36,50436,2020,vn,Đâu Cần Một Bài Ca Tình Yêu, Tiên Tiên
36,37,50261,2020,vn,Truyen Thai Y (feat. Masew), Ngô Kiến Huy
37,38,49988,2020,vn,Without Me, Halsey
38,39,47802,2020,vn,10000 Hours (with Justin Bieber), Dan + Shay
39,40,47153,2020,vn,Boy With Luv (feat. Halsey), BTS
40,41,47125,2020,vn,Trampoline (with ZAYN), SHAED
41,42,46980,2020,vn,Hai Triệu Năm, Đen
42,43,44975,2020,vn,Lose You To Love Me, Selena Gomez
43,44,42870,2020,vn,thank u next, Ariana Grande
44,45,42628,2020,vn,Sáng Mắt Chưa, Truc Nhan
45,46,42433,2020,vn,Noi Minh Dung Chan (Nhac Phim Chi Tro Ly Cua Anh), Mỹ Tâm
46,47,42269,2020,vn,Và Thế Là Hết, Chillies
47,48,41908,2020,vn,On My Way, Alan Walker
48,49,40488,2020,vn,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
49,50,39589,2020,vn,Alone Pt. II, Alan Walker
50,51,39448,2020,vn,Ke Cap Gap Ba Gia (feat. BINZ), Hoang Thuy Linh
51,52,39250,2020,vn,WINTER FLOWER(Feat.RM), Younha
52,53,39041,2020,vn,Sweet but Psycho, Ava Max
53,54,37551,2020,vn,Mean It, Lauv
54,55,35069,2020,vn,Lily, Alan Walker
55,56,34847,2020,vn,My Oh My (feat. DaBa,)  
56,57,34514,2020,vn,I Don't Care (with Justin Bieber), Ed Sheeran
57,58,34387,2020,vn,Sucker, Jonas Brothers
58,59,34210,2020,vn,Blinding Lights, The Weeknd
59,60,33460,2020,vn,Cho Tôi Lang Thang, Ngọt
60,61,33136,2020,vn,HONGKONG12, Nguyễn Trọng Tài
61,62,32670,2020,vn,SUGA's Interlude, Halsey
62,63,32586,2020,vn,Beautiful People (feat. Khalid), Ed Sheeran
63,64,31998,2020,vn,Ngày Mai Em Đi, Lê Hiếu
64,65,30071,2020,vn,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
65,66,29913,2020,vn,Thuong Em La Dieu Anh Khong The Ngo, Noo Phước Thịnh
