,Rank,Streams,Year,Country,Title,Artist
0,1,129273,2022,za,Asibe Happy, Kabza De Small
1,2,125519,2022,za,Ngixolele, Busta 929
2,3,122721,2022,za,Adiwele (feat. Kabza De Small & DJ Maphorisa), Young Stunna
3,4,114170,2022,za,Paris, Q-Mark
4,5,112478,2022,za,Abalele, Kabza De Small
5,6,107050,2022,za,Nkao Tempela, Ch'cco
6,7,106210,2022,za,Easy On Me, Adele
7,8,103381,2022,za,Cold Heart - PNAU Remix, Elton John
8,9,103134,2022,za,STAY (with Justin Bieber), The Kid LAROI
9,10,101648,2022,za,Dipatje Tsa Felo (feat. Daliwonga), Felo Le Tee
10,11,101320,2022,za,Heat Waves, Glass Animals
11,12,100009,2022,za,Dali Nguwe, Wanitwa Mos
12,13,93423,2022,za,Bad Habits, Ed Sheeran
13,14,90890,2022,za,Sacrifice, The Weeknd
14,15,86520,2022,za,66, Felo Le Tee
15,16,86398,2022,za,Shivers, Ed Sheeran
16,17,85456,2022,za,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
17,18,84767,2022,za,Is There Someone Else?, The Weeknd
18,19,79726,2022,za,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
19,20,78829,2022,za,Out of Time, The Weeknd
20,21,77787,2022,za,abcdefu, GAYLE
21,22,76009,2022,za,Gasoline, The Weeknd
22,23,75424,2022,za,Where Are You Now, Lost Frequencies
23,24,75091,2022,za,Phakade Lami, Nomfundo Moh
24,25,75054,2022,za,Sithi Shwi (feat. Big Zulu DJ Maphorisa & Kabza De Small), Young Stunna
25,26,74001,2022,za,How Do I Make You Love Me?, The Weeknd
26,27,71999,2022,za,pushin P (feat. Young Thug), Gunna
27,28,69490,2022,za,Trigger, Dj Karri
28,29,65134,2022,za,Here We Go… Again (feat. Tyler the Creator), The Weeknd
29,30,64614,2022,za,Osama, Zakes Bantwini
30,31,64399,2022,za,Take My Breath, The Weeknd
31,32,64271,2022,za,Best Friends, The Weeknd
32,33,62937,2022,za,The Motto, Tiësto
33,34,62656,2022,za,Dawn FM, The Weeknd
34,35,60403,2022,za,Do It To It, ACRAZE
35,36,59738,2022,za,Mmapula, Busta 929
